"|","|__0","|__1","|__2","|__3","|__4","|__5","|__6","|__7","|__8","|__9","|__10","|__11","|__12","|__13","|__14","|__15","|__16","|__17","|__18","|__19","|__20","|__21","|__22","|__23","|__24","|__25","|__26","|__27","|__28","|__29","|__30","|__31","|__32","|__33","|__34","|__35","|__36","|__37","|__38","|__39","|__40","|__41","|__42","|__43","|__44","|__45","|__46","|__47","|__48","|__49","|__50","|__51","|__52","|__53","|__54","|__55","|__56","|__57","|__58","|__59","|__60","|__61","|__62","|__63","|__64","|__65","|__66","|__67","|__68","|__69","|__70","|__71","|__72","|__73","|__74","|__75","|__76","|__77","|__78","|__79","|__80","|__81","|__82","|__83","|__84","|__85","|__86","|__87","|__88","|__89","|__90","|__91"
"Date","1996-02-29","1996-05-31","1996-08-31","1996-11-30","1997-02-28","1997-05-31","1997-08-31","1997-11-30","1998-02-28","1998-05-31","1998-08-31","1998-11-30","1999-02-28","1999-05-31","1999-08-31","1999-11-30","2000-02-29","2000-05-31","2000-08-31","2000-11-30","2001-02-28","2001-05-31","2001-08-31","2001-11-30","2002-02-28","2002-05-31","2002-08-31","2002-11-30","2003-02-28","2003-05-31","2003-08-31","2003-11-30","2004-02-29","2004-05-31","2004-08-31","2004-11-30","2005-02-28","2005-05-31","2005-08-31","2005-11-30","2006-02-28","2006-05-31","2006-08-31","2006-11-30","2007-02-28","2007-05-31","2007-08-31","2007-11-30","2008-02-29","2008-05-31","2008-08-31","2008-11-30","2009-02-28","2009-05-31","2009-08-31","2009-11-30","2010-02-28","2010-05-31","2010-08-31","2010-11-30","2011-02-28","2011-05-31","2011-08-31","2011-11-30","2012-02-29","2012-05-31","2012-08-31","2012-11-30","2013-02-28","2013-05-31","2013-08-31","2013-11-30","2014-02-28","2014-05-31","2014-08-31","2014-11-30","2015-02-28","2015-05-31","2015-08-31","2015-11-30","2016-02-29","2016-05-31","2016-08-31","2016-11-30","2017-02-28","2017-05-31","2017-08-31","2017-11-30","2018-02-28","2018-05-31","2018-08-31","2018-11-30"
"Season","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH"
"AS_ARIMA","0.0","0.0","0.0","0.0","3.3171997681","2.8367727097","2.0255109694","2.5611334239","3.367349396","3.2356630182","2.0886972364","2.8217403754","3.4602648877","3.1576543795","1.9973521545","2.8216447394","3.5424149996","3.5581726121","1.9691535298","2.7667413063","3.6097581221","3.4375749262","1.8802890916","2.7506338319","3.5692997811","3.376824778","1.9940944106","2.7055305005","3.5507904451","3.1592954208","1.9868619583","2.7783730288","3.5441118062","3.0770688886","1.9435003196","2.7011817924","3.5121277086","2.8411489953","2.022016132","2.6869705624","3.5115376677","2.8162839022","1.9289894792","2.6701959074","3.573232289","2.951984174","2.1489400379","2.7951231584","3.6095919578","2.9739511475","2.021165815","2.8222773965","3.8000912312","3.1337025313","1.8714193959","2.7824077293","3.9753546061","3.2345207589","1.8218709758","2.8129794544","4.0781579214","3.298147338","1.8123088801","2.7709311512","4.0034084293","3.3383023828","2.0150703495","2.79417606","4.1685451367","3.3636444748","2.0175159833","2.7383886184","3.9328091614","3.5561386025","2.0539331123","2.7652282621","3.7582425126","3.7055252049","1.964255259","2.7561325243","3.7038888651","3.792243376","1.8838688608","2.7070396016","3.6467250709","4.0143978486","2.0200579804","2.8650342342","3.7773481502","4.0646888419","2.3275403689","2.770781266"
"HR_Trend","null","null","8.3023486752","8.2747670068","8.3466887774","8.4263037821","8.4545427335","8.3516626502","8.1373410616","7.9018468477","7.6318355674","7.4982481675","7.5430611654","7.7727271546","8.1111576664","8.3963146184","8.6126939344","8.6954056151","8.7941766353","9.0245813821","9.2238244464","9.4549257385","9.6572555395","9.771626697","9.9543023354","10.2311279963","10.5066759342","10.6830415075","10.7067224813","10.57565122","10.3681853965","10.159862913","10.055492898","10.0462296405","10.1195837515","10.4997076263","10.7847422125","10.754032279","10.7722659893","10.666375433","10.6586375892","10.8741813278","11.0723581025","11.0721335825","10.92706813","10.9212498025","10.8635569675","10.8631744713","11.0098636812","11.0988712863","11.1627994625","11.2068675675","11.2620693763","11.3461614037","11.43954901","11.5828989775","11.61649848","11.5334439237","11.4471416475","11.3145586887","11.2498334125","11.2187105062","11.6352810975","12.5832026813","13.8069604188","14.95923135","15.0153878812","14.4959074687","13.652056665","12.9841369225","13.1279888225","13.22063891","13.1208273712","13.003802225","12.8295274712","12.8389469175","13.22691705","13.5363837725","14.3991960262","15.16139102","14.9818651637","14.9178648525","14.9682499813","15.04854101","15.0709133637","14.9227708462","14.5540127362","14.30508846","14.83826441","16.5837571563","null","null"
"HR_SMA","null","null","null","8.3310103713","8.2736869793","8.2758470343","8.4175305205","8.4350770438","8.4740084233","8.2293168773","8.045365246","7.7583284495","7.5053426853","7.4911536498","7.594968681","7.9504856283","8.2718297045","8.5207995323","8.7045883365","8.6862228938","8.9021303768","9.1470323875","9.3006165053","9.6092349718","9.7052761073","9.8379772868","10.070627384","10.3916286085","10.62172326","10.744359755","10.6690852075","10.4822172325","10.2541535605","10.0655722655","10.0454135305","10.0470457505","10.1921217525","10.8072935","10.762190925","10.745873633","10.7986583455","10.5340925205","10.783182658","10.9651799975","11.1795362075","10.9647309575","10.8894053025","10.9530943025","10.7740196325","10.95232931","11.0673980525","11.13034452","11.195254405","11.21848073","11.3056580225","11.386664785","11.492433235","11.67336472","11.55963224","11.5072556075","11.3870276875","11.24208969","11.257577135","11.1798438775","12.0907183175","13.075687045","14.5382337925","15.3802289075","14.650546855","14.3412680825","12.9628452475","13.0054285975","13.2505490475","13.1907287725","13.05092597","12.95667848","12.7023764625","12.9755173725","13.4783167275","13.5944508175","15.203941235","15.118840805","14.8448895225","14.9908401825","14.94565978","15.15142224","14.9904044875","14.855137205","14.2528882675","14.3572886525","15.3192401675","17.848274145"
"HR_EWMA","8.233126492","8.5163667568","8.3780189493","8.21848761","8.1326257356","8.4595223909","8.5706059078","8.3621142223","8.2810919102","8.1570956221","8.0948272365","7.6173881451","7.429479041","7.6234254438","7.9407291795","8.0937564265","8.2294505319","8.5017600627","8.7617920376","8.557009433","8.8528543086","9.267645546","9.467057916","9.4739585064","9.5566895694","9.9022685897","10.2200718978","10.4393688547","10.5040872208","10.6669255725","10.5584268115","10.3433930429","10.0815998585","10.1117030831","10.1930393419","10.1267721131","10.1837489039","11.1572673063","10.7482137558","10.4337690943","10.4524026326","10.8951542235","10.9894901261","10.8697306597","11.0569495078","10.9141939487","10.8803929132","10.9061747319","10.7922964792","11.0406976155","11.1404051013","11.1628963928","11.0501852917","11.232593023","11.3950260138","11.4452797603","11.3888448322","11.7252791233","11.508665706","11.4296609636","11.1871088822","11.3723367573","11.3216801984","11.193096447","12.5025692762","13.7375629577","15.0808907146","14.7958149408","13.4967090885","13.8392008091","12.9363968894","13.5772520057","13.1577640474","13.5401213444","12.5332647267","13.184576724","12.5152756504","13.5916537622","13.3686631453","13.8716303192","15.5026924755","15.2479431693","13.9241147376","14.4384223306","15.7704790383","15.737835043","13.9604214578","14.2437787107","14.6900945664","15.2566449758","15.2108298415","19.0404781049"
"HR_DES","7.7792414856","7.8422401872","7.9057490281","7.9697721696","8.0343137877","8.0993781289","8.1649693663","8.2310917424","8.2977495997","8.3649472592","8.4326891036","8.5009794815","8.5698229047","8.6392238787","8.7091869052","8.7797165049","8.8508172766","8.9224938647","8.9947509203","9.0675930848","9.1410251976","9.2150520126","9.2896783088","9.3649089328","9.4407488034","9.5172028825","9.59427612","9.6719735196","9.7503001234","9.8292610517","9.9088613986","9.9891063496","10.070001127","10.1515510347","10.2337613622","10.3166374344","10.4001846704","10.4844086142","10.569314496","10.6549079579","10.7411946039","10.8281800765","10.915869957","11.0042699492","11.0933858601","11.1832234209","11.2737885154","11.3650870346","11.4571248953","11.5499081425","11.6434427652","11.7377348497","11.8327905188","11.9286160048","12.0252175163","12.1226013249","12.2207737606","12.3197412692","12.4195101871","12.5200870653","12.6214784148","12.7236908997","12.8267311057","12.9306057444","13.0353217653","13.1408858607","13.2473049185","13.3545856432","13.462735008","13.5717603386","13.68166844","13.7924667577","13.9041622438","14.0167623498","14.1302741597","14.2447053789","14.3600631536","14.4763553155","14.593589128","14.7117724115","14.8309129448","14.9510181482","15.072095842","15.1941542225","15.3172011947","15.4412445243","15.5662921603","15.692352638","15.8194340205","15.9475445785","16.0766925579","null"
"HR_TES","8.1606694769","8.9547328486","8.8322019999","8.1018761119","8.3541006733","8.9044832563","8.6602927806","8.4474051262","8.5004627816","9.1490514697","8.2657406404","7.7605405638","7.5832651491","7.984482508","7.9020226654","7.6682851946","8.3912206382","9.1309181907","9.1067266643","8.6579040915","8.6744347883","9.6590298153","9.9361158393","9.2668159083","9.8568061927","10.3272807149","10.4372664418","10.0862598048","10.8290269925","11.335595353","11.2110929155","10.3915620479","10.3634435998","10.5876088811","10.367594958","10.0560701761","10.1371062477","10.8450593028","11.8786458747","10.6787705063","10.4341033215","11.4833246731","10.7914021184","10.9349060123","11.1194475034","12.2666192704","10.768733009","10.6272254075","11.2181922482","11.5138882242","11.1744125268","11.1222568291","11.3691494016","11.8392255424","11.4278506898","11.4163419971","11.5464969604","12.1829812526","12.1006160974","11.4679926264","11.3784196091","11.9177431374","11.4419731099","11.3693417333","11.0736916129","13.7675180794","14.4132123998","15.8214251393","15.8395772052","14.101736453","14.1196865976","11.7940792323","13.3617889884","14.5224629019","13.5342736957","12.4674997262","12.6367588326","13.743056119","13.2486743353","14.3870273908","13.1227260158","17.9849244932","14.6732826537","14.5864488143","14.6066016643","16.7161881436","14.6006559892","15.0033825498","15.1155558679","14.6955076578","13.331477244","17.1391042641"
"HR_ARIMA","0.0","8.2331170106","8.7234807667","8.2688911044","8.1434611336","8.428366417","8.4394772225","8.4482645036","8.1492926297","8.5991176257","8.1716032751","7.9039422348","7.4761512291","7.434086598","7.8689986981","7.6765247629","8.029947187","8.4158604358","8.7610894452","8.7849153663","8.3968812073","9.1446351579","9.5129727699","9.0641129743","9.6155274508","9.7727772038","10.0116096852","10.1220694011","10.3753479183","10.6181799954","10.7733369235","10.4860778045","10.1804714609","10.1375133426","10.0593709073","10.0927133771","9.8879580875","10.302541731","11.588073212","10.1942490558","10.2460587308","11.4612710282","10.4369603346","10.7257156474","10.7893540886","11.5062407743","10.7494962759","10.7028318624","11.1421491475","10.5443234621","11.1663336901","11.1573337539","10.9636574725","11.2184644052","11.324338951","11.4049428381","11.252322905","11.4939770401","11.927248441","11.3116194674","11.2934363719","11.461317183","11.2178429599","11.2953405782","10.9193321968","13.3026683812","13.7626380855","14.8164587833","15.1425549233","13.3244241746","15.0878030677","12.0019786204","12.8708875644","13.6940871103","12.7201450871","12.9609434554","13.0459285437","12.7673149615","13.0379233349","14.031276707","13.0754966286","17.2020119937","13.9868105644","13.5539832714","16.2951394783","15.6457634487","14.0762803479","13.7851020035","15.8325776395","14.7026938769","13.6948954208","15.7302945282"
"CH_Trend","null","null","7.870729167","8.0640000008","8.7953750008","9.2670208341","8.6207708338","8.2322916666","8.2193333333","8.1183958333","8.1926458333","8.8632500004","9.4963809538","10.4330238112","11.6509166687","12.2988392875","12.6933333337","12.7626190475","12.657738095","12.7987599212","12.8215377","12.5051091288","12.4855555575","12.5622222237","12.41810764","12.54967014","12.6647222225","12.5969444438","12.6868229162","12.8685044637","12.8871726188","12.81077381","12.70327381","12.5887797625","12.6667261912","12.7702083338","13.230863095","14.1360416662","15.0088095225","15.5360119025","15.1466904738","14.1197619025","13.2018690462","12.5995","13.0721666675","14.5369791675","16.0329375013","17.0944062512","16.8925416675","16.0657291675","15.0361011912","14.522723215","15.440535715","16.32349026","16.7966144475","17.02981534","16.59478409","15.907954545","15.76475","16.1086022725","16.4064886362","16.7845681825","17.6465823875","17.9922821988","18.3511041687","19.4538778837","20.1243814138","21.25273244","22.7053309238","23.5714776625","23.9109542463","23.557935065","23.5589496762","22.68640801","20.991997025","19.9955193462","18.0690684537","17.39786012","18.458828125","18.751006945","18.4877539313","17.9768198663","17.9700216788","19.2356094025","21.1535127138","22.5383356675","23.4776957637","26.4127056625","29.2523237175","31.3085737175","null","null"
"CH_SMA","null","null","null","7.6664583332","8.0750000008","8.0530000008","9.5377500008","8.9962916675","8.24525","8.2193333333","8.2193333333","8.0174583333","8.3678333333","9.3586666675","9.63409524","11.2319523825","12.069880955","12.52779762","12.8588690475","12.6663690475","12.6491071425","12.9484127","12.6946627","12.3155555575","12.6555555575","12.46888889","12.36732639","12.73201389","12.597430555","12.5964583325","12.7771875","12.9598214275","12.81452381","12.80702381","12.59952381","12.578035715","12.7554166675","12.785","13.67672619","14.5953571425","15.4222619025","15.6497619025","14.643619045","13.59590476","12.8078333325","12.3911666675","13.7531666675","15.3207916675","16.745083335","17.4437291675","16.3413541675","15.7901041675","14.282098215","14.763348215","16.117723215","16.529257305","17.06397159","16.99565909","16.19390909","15.622","15.9075","16.309704545","16.5032727275","17.0658636375","18.2273011375","17.75726326","18.9449450775","19.96281069","20.2859521375","22.2195127425","23.191149105","23.95180622","23.8701022725","23.2457678575","23.872131495","21.500684525","20.483309525","19.5077291675","16.63040774","18.1653125","18.75234375","18.74967014","18.2258377225","17.72780201","18.2122413475","20.2589774575","22.04804797","23.028623365","23.9267681625","28.8986431625","29.6060042725","33.0111431625"
"CH_EWMA","8.4625","7.8275","7.0145","8.0220333332","8.8518866679","8.0259320008","9.5091592005","8.6524955203","8.0284973122","7.4904317205","9.1878590323","8.1367154194","8.2796292516","9.226444219","10.6701522474","11.5826627764","11.6878833819","12.0040633611","12.8664380167","12.592434238","12.2661272108","12.8298985505","12.9559391303","12.0395634782","12.4784047549","12.6585984089","12.6906590454","12.4638954272","12.5176705883","12.680602353","12.9930280798","12.9375311319","12.5693758231","12.6996254939","12.6724419643","12.7107985106","12.7171457744","12.8356207966","14.18080105","15.085623486","15.4650883756","14.8483863574","13.7786318144","13.1679790886","13.0535874532","12.7348191399","14.6896914839","16.2228148904","17.1653556022","16.3197133613","15.0768280168","15.5730968101","14.36271523","15.408129138","16.6968774828","17.2035810337","16.1965486202","16.3991291721","16.0086775033","15.875606502","15.8565639012","16.8386656127","16.5821084596","17.1198105318","18.4613863191","17.6494984594","18.9688990757","20.1804698814","20.8148082448","22.1552485829","23.2269673297","23.9523622178","22.9472173307","22.4357589704","24.3974553823","20.8603398974","19.4642039384","18.785022363","17.6032991338","19.2396937643","19.4310662586","18.7608619791","16.7506710355","17.9312597653","19.4211087992","22.0296652795","21.5744658357","22.3944572774","23.5360589825","32.4536353895","28.9606256777","32.2743754066"
"CH_DES","8.0644196091","7.7917005283","7.2353193826","8.1535838177","8.9649400893","8.3660494849","9.6734630441","9.0424827013","8.5237008217","8.0339018111","9.4504034053","8.613623151","8.720030028","9.5354188144","10.8395096398","11.755283997","11.9881701479","12.3631926249","13.1962044158","13.0718635418","12.8484805791","13.354691371","13.5112941149","12.7594125888","13.1086442572","13.2713720647","13.3149456456","13.1316734625","13.1726026825","13.3129805331","13.5927177242","13.5706784123","13.266573489","13.3657207377","13.3413007685","13.3721310581","13.3784363099","13.4817384185","14.6518833676","15.522136366","15.9653739744","15.5335244874","14.6389649294","14.0651632851","13.8975352195","13.568855795","15.202304181","16.6104746209","17.5757395121","17.0047850286","15.9859059902","16.3747012773","15.3328246498","16.1637671006","17.2933124221","17.8215932436","17.0436675149","17.2182827456","16.893199855","16.762317708","16.7269504137","17.5615692537","17.3913170367","17.8745290801","19.0793772479","18.4916308479","19.6576965418","20.8035927379","21.493133081","22.7854695953","23.8844317287","24.6936182678","23.9926058116","23.6009921673","25.2979578976","22.3647504857","21.0222552407","20.2576169064","19.0752183637","20.3075202158","20.4521627458","19.8710653806","18.0915082976","18.9584376011","20.2158224052","22.5416322599","22.3580785906","23.1792169588","24.2919029304","32.1518183664","29.7897824959","null"
"CH_TES","7.6406979474","7.3952621964","8.9603512576","7.0366472193","8.8108208429","8.451870603","9.0970355962","10.2758520509","9.9786639094","7.6146720766","9.3745865526","9.342275851","9.0921835449","7.895603367","11.5635388172","10.1276768536","12.2129933045","11.7692978237","14.4488695926","12.7978485039","13.077132244","12.5347938886","15.1592672352","12.8589078888","12.4670324741","13.0826350187","14.6337601426","12.3375259857","13.1920727043","13.2146418644","14.3689858996","12.74542252","13.6324944649","13.3709358284","14.3378436857","12.6489372246","13.1921694991","13.5489383945","14.2477993411","14.1630990849","15.3188839179","16.0607821907","16.7190372281","14.504444267","13.8127380953","13.4232882441","13.9246825077","14.9586792002","16.4997047569","17.0804513318","18.2702179724","16.3173141908","16.3544312757","14.1170899049","16.3493740014","17.8965859077","17.1891662863","16.7359166264","17.8738491069","17.3753906273","15.5528961294","16.5366704468","17.7987207261","17.7388439979","16.9521258087","19.3357550857","18.335467198","20.0607489578","20.5373082047","20.8511484899","23.0649085336","24.3691212123","24.2750789364","23.6349617859","23.7518927022","25.449624762","21.0766243229","20.3171412496","21.3555967763","17.2556897809","18.9755890525","19.9531903584","20.5118688505","17.9962820275","18.0475718361","19.4016714027","21.9921876996","23.1046480234","23.1382516719","24.5767100243","30.6017789528","30.0864879156"
"CH_ARIMA","0.0","8.4623542951","7.9633195158","6.6120161526","7.467199212","9.1190159338","8.3121958242","8.8309677022","9.7639023728","7.2569416644","7.990103107","8.148232282","9.5438750796","7.0341057711","9.9581020027","10.0587457589","12.4308796439","11.5822406232","12.3445451363","12.6777731588","13.1963410925","11.9941029011","12.8809888456","13.0405628304","12.2933622687","11.9691268167","13.0333299228","12.4586433203","12.7368161724","12.2486761901","12.8451098709","12.8418930049","13.1843146934","12.5039704549","12.6332636716","12.7234350324","12.6513833033","12.7673288267","12.7754275567","13.9681916626","15.4754195869","15.5725694092","15.2710850278","13.6934083451","13.0491168459","12.8212200839","12.7696409621","14.0229764714","16.8816320225","17.1589616606","17.1640901491","14.7810691173","15.3602555934","14.7728138613","14.483344224","17.2478083702","17.1162125524","16.8728797301","15.7273017764","16.6221026262","15.3165447352","16.194208373","16.3033157408","17.3195936963","16.4910092517","18.8447401222","18.0370378695","18.3937540885","20.7638367974","20.7987990394","22.3603941939","23.4885889926","24.2528620687","23.4989181062","22.1097859464","24.0554092387","22.4153224863","17.7665183363","19.4118738568","16.7418302329","18.8580310873","19.822207663","18.7356423258","17.0793957407","16.7398962811","20.0194981954","21.4423750417","23.1500299417","21.3851854521","24.5140150646","30.3023912395","34.3843305247"
"RJ_Trend","null","null","20.0099083638","20.0024648187","19.9280887","19.80479656","19.7507494025","19.68946403","19.9161548912","20.328620405","20.6780584425","21.0201710562","21.3417523925","21.7367441113","22.2125847575","22.6794770575","22.9078025825","23.0890023425","23.3440586938","23.6042792175","23.6581737075","23.3803519225","23.0008628575","22.67815467","22.7977705187","23.3173795988","23.8180114063","24.2422382662","24.1954705763","21.6041954762","19.0224348037","18.5097760925","18.24785","19.86085","21.3214466025","21.001851345","20.7455047225","20.807503225","20.9729771725","21.0116634688","20.8575698475","20.5929045463","20.4227840475","20.3233655538","20.5000735238","20.8785782387","21.20540496","21.4269050888","21.5526617287","21.6949920788","21.947192975","22.150437","22.304921875","22.4150568137","22.44477117","22.5924745237","22.6974643612","22.5823013","22.34138188","22.137450325","22.0356502675","22.0087350938","21.9743242788","21.77120065","22.9460533187","24.1323254037","23.9793141037","24.0756418175","22.758269815","21.4354580887","21.5685448425","21.5048375512","21.364690565","21.211505495","20.9942420175","20.7990671425","20.6660235687","20.7229975775","21.701156445","22.5917895663","22.5173201675","22.3549495125","21.549778175","20.76108047","20.7557375175","20.647901335","20.30936095","21.5428927963","23.1733113125","23.590700445","null","null"
"RJ_SMA","null","null","null","20.0373829425","19.982433785","20.0224958525","19.8336815475","19.7759115725","19.7255872325","19.6533408275","20.178968955","20.478271855","20.87784503","21.1624970825","21.5210077025","21.95248052","22.472688995","22.88626512","22.929340045","23.24866464","23.4394527475","23.7691056875","23.5472417275","23.2134621175","22.7882635975","22.5680457425","23.027495295","23.6072639025","24.02875891","24.4557176225","23.93522353","19.2731674225","18.771702185","18.24785","18.24785","21.47385","21.169043205","20.834659485","20.65634996","20.95865649","20.987297855","21.0360290825","20.6791106125","20.50669848","20.338869615","20.3078614925","20.692285555","21.0648709225","21.3459389975","21.50787118","21.5974522775","21.79253188","22.10185407","22.19901993","22.41082382","22.4192898075","22.4702525325","22.714696515","22.6802322075","22.4843703925","22.1983933675","22.0765072825","21.9947932525","22.022676935","21.9259716225","21.6164296775","24.27567696","23.9889738475","23.96965436","24.181629275","21.334910355","21.5360058225","21.6010838625","21.40859124","21.32078989","21.1022211","20.886262935","20.71187135","20.6201757875","20.8258193675","22.5764935225","22.60708561","22.427554725","22.2823443","20.81721205","20.70494889","20.806526145","20.489276525","20.129445375","22.9563402175","23.3902824075","23.7911184825"
"RJ_EWMA","20.05248996","20.430957252","20.0199489632","19.8899482139","19.8670462604","20.3837903402","19.6895459281","19.5992744329","19.6121230477","20.1152421646","20.3694220268","20.4860847321","20.7835263072","21.2735274043","21.6380101626","21.9375941216","22.4867655009","22.9571927206","22.7171292323","23.0959849154","23.4870609492","24.0848146935","23.0387200801","22.7548920481","22.6020875968","23.2014821141","23.2438398165","23.8055936619","23.9069005771","24.6675038423","23.2906623054","16.3743973832","18.6458384299","20.672703058","20.8937818348","20.0978691009","20.3922305885","21.1855244011","20.9161794007","20.5949980884","20.736334165","21.469956511","20.5157691146","20.0788925048","20.1581446309","21.0734297945","20.8929315847","20.9013265748","21.1013139929","21.8984229037","21.5312572062","21.5964493117","22.013303139","22.6010817674","22.2917387485","22.0662838171","22.3767442022","23.2102567773","22.6021008624","21.9391221814","21.8428839809","22.6949229085","22.1621580931","21.7197704119","21.5565444191","22.0278520595","26.0167112357","23.5737773174","22.6380373824","23.0159077015","22.0547943489","21.5183799333","21.508923816","22.0304513656","21.3230383874","20.7296162924","20.6901325674","21.2601500805","20.7141447163","20.6933098178","23.4694273307","22.9766742784","21.456809819","20.9065721994","21.2531731597","21.4673007198","20.7137092919","19.9531124911","20.1053674947","25.3016490688","23.7086258053","22.3914001192"
"RJ_DES","20.816888331","20.8337348018","20.8459914355","20.8590452532","20.8724573782","20.8896223845","20.8995827876","20.9118365688","20.9245333668","20.9407322722","20.9565566532","20.9720909248","20.9892149342","21.0085297103","21.0283148328","21.0486447806","21.0715799079","21.0954896043","21.1156383431","21.1394878623","21.1644751929","21.1920241212","21.2095123135","21.2294213654","21.249421995","21.2743238813","21.2969287704","21.3233309128","21.3480186938","21.3776717325","21.3942049242","21.367216569","21.3860263278","21.4095432589","21.4259228679","21.4356370155","21.4508251802","21.4703810663","21.4845810838","21.4976056006","21.5129787992","21.5329492131","21.5429294059","21.5538403025","21.5671513585","21.5866219016","21.6008481648","21.6158714696","21.6322508903","21.6534297948","21.6685383754","21.6856494978","21.7054225939","21.7275725257","21.7449620469","21.7620317519","21.782248748","21.8070530407","21.8239113258","21.8386054748","21.8554162654","21.878687545","21.8944710176","21.9093419077","21.9249059741","21.9444983083","21.9905188663","22.0019818349","22.0171911354","22.039070771","22.0524345111","22.0660480904","22.08185479","22.1013892809","22.1136029323","22.1245719131","22.1377627356","22.1551551518","22.1661706357","22.1793379634","22.21237946","22.2299787775","22.2388004876","22.2501651303","22.2663233854","22.2824889042","22.2923192974","22.2999080419","22.3118024422","22.3601097886","22.3747556952","null"
"RJ_TES","21.2194011163","22.7964031052","20.6916223092","19.591730686","21.2565695301","22.8253821122","20.727216292","19.645386637","21.290401211","22.8560642917","20.7525425339","19.695347224","21.3211826041","22.8826001256","20.8048384479","19.7602049332","21.3723171511","22.9235771594","20.8750767404","19.8466296181","21.4498041704","22.9855004725","20.94664244","19.9485153801","21.5361918502","23.0637353149","21.0057545814","20.0317447286","21.5993800912","23.1295230588","21.087962454","20.1440014123","21.6836211144","23.2166106909","21.1420564335","20.0126999307","21.7407360478","23.2753734358","21.1954561237","20.0506244413","21.781280318","23.3160093468","21.2389041432","20.1037542241","21.8227839707","23.3586460363","21.2632523179","20.1472414986","21.8550357177","23.39912209","21.3072497048","20.2095138677","21.9014657027","23.4474834123","21.3553295213","20.2811099443","21.9633566622","23.5002633457","21.4137847772","20.35221684","22.0270904963","23.5650501478","21.4696894264","20.4122279787","22.0751456391","23.6226658127","21.5206236547","20.4729148304","22.117561293","23.6634663111","21.7089891849","20.5179171416","22.1584153403","23.7147366837","21.747081187","20.5727772091","22.202116819","23.7553437196","21.7801172182","20.6155733581","22.2340361105","23.7863732003","21.8079687112","20.6684977097","22.3564513709","23.8185828053","21.8261302433","20.7131896216","22.4011929667","23.8445426481","21.8493373664","20.7408356259"
"RJ_ARIMA","0.0","19.6939628133","20.3404288772","20.0299683857","19.9692942404","20.1533016924","19.9336036288","19.8565419051","19.8476138713","20.112788615","19.6362747279","19.8956637434","19.9855105862","20.3330660999","20.4109864018","20.4949863521","20.7210344568","21.0231660502","21.1918685139","21.2903188023","21.5956066943","21.7782733093","21.6309317614","21.9049073035","22.0089731314","22.2171198371","21.5308948668","21.7763981324","21.8813569289","22.3221246787","22.2608921855","22.5171135497","21.9044418633","22.2839697985","21.3406815595","18.071674354","21.5370475388","21.8750110312","21.3539809572","20.8353906246","21.2320295774","21.5560800689","21.1796130613","21.0471087007","21.190639623","21.5189492048","20.7907256519","20.8599801242","21.0441323348","21.5165423994","21.1559761836","21.2151936305","21.3287305589","21.7160080589","21.294686426","21.4572852898","21.664595536","21.8659936281","21.5550486726","21.535928844","21.7652168389","22.1112145448","21.5466399069","21.3838949063","21.5405123489","22.024882255","21.4757446812","21.566544336","21.5970176457","21.897019108","23.9085212805","21.2685311645","21.54501917","22.0480342576","21.4214461018","21.427449209","21.5738849614","21.8442219949","21.3005748506","21.1919357605","21.3549748128","21.7520770803","21.2818906496","21.4205661197","22.8997125519","21.7287084037","21.0729245217","21.2493428734","21.5838517609","21.5727341294","21.2313414869","21.0669259968"
