Date,Season,Thoubal,Bishnupur,Imphal East,Senapati,Thoubal_Trend,Thoubal_SMA,Thoubal_EWMA,Thoubal_DES,Thoubal_TES,Thoubal_ARIMA,Bishnupur_SMA,Bishnupur_EWMA,Bishnupur_TES,Imphal East_SMA,Imphal East_EWMA,Imphal East_TES,Imphal East_ARIMA,Senapati_SMA,Senapati_EWMA,Senapati_TES
2005-02-28,POMRB,0.91,2.4,3.515,3.375,1.3287499999999999,1.3287499999999994,1.0553969798149168,1.0861621636284795,0.8969866095461303,0.91,2.375,2.3812519042491873,2.4,3.601250000000002,3.5353696938000017,3.6722353381552613,3.709613375917979,3.2624999999999993,3.2906335691213435,3.375
2005-05-31,PREMON,2.53,,4.2,,1.32875,1.3287499999999994,1.6452381878889502,1.673655026097625,2.5174060623496377,2.53,,,,3.7725000000000017,3.801221816280001,3.655879121602354,3.706014809644895,,,
2005-08-31,MONSOON,1.2,,,,1.3287499999999999,1.3287499999999994,1.4671429127333702,1.6074037347846726,1.1876162006616813,1.2,,,,,,,,,,
2005-11-30,POMKH,0.675,2.35,3.175,3.15,1.3287499999999999,1.3287499999999994,1.1502857476400221,1.3046402056121091,0.662693027875572,0.675,2.375,2.3687511425495122,2.35,3.516250000000002,3.5507330897680003,4.069986105544158,3.0325324746233773,3.262499999999999,3.2343801414728057,3.15
2006-02-28,POMRB,0.91,2.4,3.515,3.375,1.3287499999999999,1.3287499999999994,1.0541714485840132,1.1371693505850278,0.8977951778791705,0.91,2.375,2.3812506855297073,2.4,3.601250000000002,3.5364398538608004,3.2534697115063747,3.801821385513957,3.2624999999999993,3.2906280848836835,3.375
2006-05-31,PREMON,2.53,,4.2,,1.32875,1.3287499999999994,1.6445028691504078,1.7053742263520126,2.5179117882286515,2.53,,,,3.7725000000000017,3.80186391231648,3.6519882453497314,4.011919348624603,,,
2006-08-31,MONSOON,1.2,,,,1.3287499999999999,1.3287499999999994,1.4667017214902445,1.622204653435477,1.1880319201997627,1.2,,,,,,,,,,
2006-11-30,POMKH,0.675,2.35,3.175,3.15,1.3287499999999999,1.3287499999999994,1.1500210328941467,1.3076499487397542,0.6631486213954563,0.675,2.375,2.3687504113178246,2.35,3.516250000000002,3.551118347389888,3.788777826635079,3.03615000932676,3.262499999999999,3.23437685093021,3.15
2007-02-28,POMRB,0.91,2.4,3.515,3.375,1.3287499999999999,1.3287499999999994,1.054012619736488,1.1328555811141634,0.8982632947070247,0.91,2.375,2.3812502467906946,2.4,3.601250000000002,3.536671008433933,3.921768179725987,3.8076468177538314,3.2624999999999993,3.290626110558126,3.375
2007-05-31,PREMON,2.53,,4.2,,1.3928125,1.3287499999999994,1.6444075718418927,1.694045673114701,2.5183767732454423,2.53,,,,3.7725000000000017,3.80200260506036,3.2760437200418253,4.06834686142021,,,
2007-08-31,MONSOON,1.2,,,,1.5943749999999999,1.3287499999999994,1.4666445431051356,1.6071314805913732,1.1884893139173904,1.2,,,,,,,,,,
2007-11-30,POMKH,1.1875,2.35,2.7325,3.15,1.7318749999999998,1.4568749999999995,1.3549867258630814,1.500745911091266,0.663600806545664,0.675,2.375,2.3687501480744166,2.35,3.4056250000000015,3.3742015630362157,3.7794491555544196,3.0963206257377847,3.262499999999999,3.2343756663348753,3.15
2008-02-29,POMRB,2.01,2.4,3.515,3.375,1.7318749999999998,1.7318749999999994,1.6169920355178489,1.7482278539908722,0.9271045657844326,0.91,2.375,2.38125008884465,2.4,3.4906250000000014,3.4305209378217296,3.6133836836418434,3.7186523381315517,3.2624999999999993,3.290625399800925,3.375
2008-05-31,PREMON,2.53,,4.2,,1.7959374999999997,1.7318749999999996,1.9821952213107092,2.1927755286031467,2.608002351045094,2.53,,,,3.661875000000001,3.738312562693038,3.815456488423699,3.729619041503937,,,
2008-08-31,MONSOON,1.2,,,,1.8599999999999999,1.7318749999999994,1.6693171327864256,1.9722084123884862,1.2775579057738933,1.2,,,,,,,,,,
2008-11-30,POMKH,1.7,2.35,2.7325,3.15,1.8599999999999999,1.8599999999999994,1.6815902796718554,1.9522877616552,1.2374223087767913,1.1875,2.375,2.36875005330679,2.35,3.295000000000001,3.335987537615823,3.3949121992293927,2.7431467334910327,3.262499999999999,3.234375239880555,3.15
