Date,Season,Laharighat,Laharighat_Trend,Laharighat_SMA,Laharighat_EWMA,Laharighat_DES,Laharighat_TES,Laharighat_ARIMA
2010-05-31,PREMON,3.3171372549019598,2.484950980392157,2.4427843137254883,2.8830235864277967,2.713222437848076,2.470602159637912,2.379336944372506
2010-08-31,MONSOON,0.8666666666666667,2.41903431372549,2.474450980392155,2.0764808185233443,2.4374650429223665,1.07429151057132,1.1596845007812613
2010-11-30,POMKH,1.99,2.2299754901960784,2.495450980392155,2.0418884911140065,2.40745277165127,1.9293840532220805,1.8133917549075902
2011-02-28,POMRB,3.1966666666666668,2.1869166666666664,2.342617647058822,2.5037997613350704,2.64333768303102,3.908104486047622,3.731240259215684
2011-05-31,PREMON,2.416,2.20275,2.117333333333332,2.4686798568010424,2.6825483663921657,2.9600830063806463,2.8308002434799073
2011-08-31,MONSOON,1.4233333333333336,2.0964166666666664,2.2564999999999986,2.0505412474139586,2.482456602478019,0.8417487283018255,0.9050451402566995
2011-11-30,POMKH,1.5599999999999998,2.1885833333333333,2.1489999999999987,1.854324748448375,2.312913205849684,1.9427191571537228,2.1240724902785364
2012-02-29,POMRB,2.776,2.32609375,2.043833333333332,2.222994849069025,2.419497867959196,3.4747463911155587,3.2144557582656215
2012-05-31,PREMON,3.574,2.270104166666666,2.3333333333333317,2.763396909441415,2.701738256962721,2.611645085815859,2.576757064306149
2012-08-31,MONSOON,1.3654166666666667,2.1282604166666665,2.318854166666665,2.2042048123315157,2.4699320487751826,1.2673798561373308,1.557588704698499
2012-11-30,POMKH,1.17,1.8904166666666666,2.2213541666666647,1.7905228873989094,2.2019666011451724,1.8204449679826782,1.8153029594553929
2013-02-28,POMRB,2.03125,1.7966562499999998,2.035166666666665,1.8868137324393457,2.140047515053147,3.1573119913044345,2.7301216317535104
2013-05-31,PREMON,2.416,1.8853958333333332,1.745666666666665,2.0984882394636073,2.171133750923905,3.0581080034730466,2.8489806742849657
2013-08-31,MONSOON,1.7733333333333332,2.01778125,1.8476458333333317,1.9684262770114977,2.063763177402176,1.055565442913215,1.2971572725686342
2013-11-30,POMKH,1.472,2.4019166666666667,1.9231458333333316,1.7698557662068986,1.9030856214427265,1.3254093626791175,1.4414833255280226
2014-02-28,POMRB,2.7883333333333336,2.644541666666667,2.112416666666665,2.1772467930574724,2.048542363912346,2.539872155884443,2.2745395163936335
2014-05-31,PREMON,4.732,2.620541666666667,2.6914166666666652,3.1991480758344837,2.6414177196456574,2.877230065796911,2.863949399471902
2014-08-31,MONSOON,1.3983333333333334,2.7117500000000003,2.5976666666666652,2.4788221788340237,2.453666722170822,1.9064621279870306,2.179849759670964
2014-11-30,POMKH,1.655,2.7485833333333334,2.643416666666665,2.149293307300414,2.3203805740200347,1.7176474364457262,1.4523557338883863
2015-02-28,POMRB,3.335,2.8027083333333334,2.780083333333332,2.623575984380248,2.5663959699395607,2.9528276995852787,2.5823116854836337
2015-05-31,PREMON,4.48,2.9367083333333337,2.717083333333332,3.3661455906281494,3.067837070717177,4.106966650860695,3.974827903643596
