Date,Season,Maheshpur,Amrapara,Hiranpur,Pakaur,Litipara,Pakuria,Maheshpur_Trend,Maheshpur_SMA,Maheshpur_EWMA,Maheshpur_DES,Maheshpur_TES,Maheshpur_ARIMA,Amrapara_Trend,Amrapara_SMA,Amrapara_EWMA,Amrapara_DES,Amrapara_TES,Amrapara_ARIMA,Hiranpur_Trend,Hiranpur_SMA,Hiranpur_EWMA,Hiranpur_DES,Hiranpur_TES,Hiranpur_ARIMA,Pakaur_Trend,Pakaur_SMA,Pakaur_EWMA,Pakaur_DES,Pakaur_TES,Pakaur_ARIMA,Litipara_Trend,Litipara_SMA,Litipara_EWMA,Litipara_DES,Litipara_TES,Pakuria_Trend,Pakuria_SMA,Pakuria_EWMA,Pakuria_DES,Pakuria_TES,Pakuria_ARIMA
2005-08-31,MONSOON,4.57,2.99,5.4,8.3,7.53,5.55,4.425,4.557499999999999,4.727316536078255,4.531960397425689,3.161164494182863,3.904716112462168,2.6175,2.7950000000000013,3.0108301525000227,3.703934786062522,1.5559764433698877,1.9349058543736342,6.263958333333334,6.689166666666664,6.354922995164607,6.085513006433982,6.179519600099611,6.625229828747043,8.215,7.952500000000006,8.327990719258393,7.5668331079852065,5.1367754371898755,4.860685726660131,7.393750000000001,7.270000000000005,7.364274804297685,7.364304504714872,5.0352797085687495,4.871458333333333,4.746250000000002,5.242518290233177,5.0637536557154625,2.9286748309899906,2.912897941925226
2005-11-30,POMKH,2.93,1.28,5.583333333333332,6.61,6.42,1.8383333333333336,4.32125,4.557499999999999,4.008389921646953,4.221922515584054,4.7648647635851145,4.613708267793859,2.59375,2.765000000000001,2.3184980915000137,2.6502161584267445,1.8413616890101026,1.5600033298891522,6.2941666666666665,6.198333333333331,6.046287130432097,5.788978102796195,7.529205548072235,5.802188841132328,8.0946875,8.200000000000006,7.640794431555036,7.53004060299173,6.5840360198692025,6.137313379704131,7.276249999999999,7.527500000000005,6.986564882578611,7.23381922972874,6.663752810341245,4.7995833333333335,4.770833333333336,3.8808443074732395,4.6666240623427635,1.8618853993830489,1.7181098478127252
2006-02-28,POMRB,2.93,1.28,6.935,6.61,6.42,5.8,4.507499999999999,4.292499999999999,3.5770339529881716,3.972783553298628,3.96087318737184,3.216742140303095,2.35625,2.4700000000000006,1.9030988549000083,1.860004807097445,2.1962643041363883,2.2782909964985723,6.393749999999999,6.32958333333333,6.401772278259258,6.04105222367115,6.155305004985219,6.817749884222717,7.405625,8.230000000000006,7.228476658933022,7.475738482235937,6.702310418447189,6.226207523071711,7.001250000000001,7.260000000000005,6.759938929547166,7.062289671444569,7.267929577761464,3.9520833333333334,4.972083333333336,4.648506584483943,4.994955300380238,4.672512030316875,4.678545477334542
2006-05-31,PREMON,6.97,5.32,7.116666666666667,10.3175,8.8,5.32,5.0275,4.349999999999998,4.934220371792903,4.572513175510693,5.4184681663178855,5.307837850608625,1.86375,2.7175000000000007,3.269859312940005,3.956971141140708,3.895611298520058,4.058268746366572,6.355833333333334,6.258749999999997,6.687730033622222,6.358130148005379,6.771458382027886,7.212685812269857,6.530625000000001,7.959375000000007,8.464085995359813,8.098077502447437,10.198908955839574,9.787089059931937,6.5249999999999995,7.292500000000004,7.5759633577283,7.893317717486565,8.862104977659774,3.1666666666666665,4.627083333333336,4.917103950690366,5.210281625080871,5.819344283001445,5.883868417377261
2006-08-31,MONSOON,5.83,0.1,6.48,3.87,5.2,0.15,5.77,4.664999999999997,5.292532223075742,4.828718135259134,3.5313943826159577,4.528207280341371,2.2512499999999998,1.9950000000000006,2.0019155877640027,2.302275305565933,1.9416913655901586,2.0431445700469664,6.0997916666666665,6.528749999999997,6.604638020173334,6.418266309473401,5.417422336968151,6.061824013717716,6.045624999999999,6.851875000000006,6.626451597215888,7.4944640150635555,6.4161212691613185,6.01039193238334,6.1850000000000005,6.710000000000004,6.62557801463698,7.055465818487248,5.060406577633116,2.9737500000000003,3.2770833333333353,3.0102623704142197,4.444374275605891,3.6339970536603103,3.784956697921025
2006-11-30,POMKH,5.83,0.23,4.2,4.04,4.94,0.955,6.132499999999999,5.389999999999997,5.507519333845446,5.03459826005211,4.682357866700846,4.365528481548132,2.6978125,1.7325000000000006,1.2931493526584017,1.1857728686027595,1.5575962008452495,1.530938400081066,6.052083333333333,6.182916666666664,5.6427828121040005,5.6643536650478055,6.28843358812961,6.695203912287787,5.8609375,6.209375000000006,5.591870958329533,6.928312535069762,6.56526785212813,6.295324744041811,6.067500000000001,6.340000000000005,5.951346808782188,6.207585003190292,6.688819352668889,3.08875,3.056250000000002,2.1881574222485316,3.845840847315931,1.855548210380499,1.7502933437226555
2007-02-28,POMRB,5.97,5.43,6.27,5.3,5.18,5.14,6.105,6.149999999999997,5.692511600307267,5.227758966363679,4.747227635689405,4.336843250899673,2.631875,2.770000000000001,2.9478896115950413,4.030071333634224,1.7064905462102347,2.1834111367171096,5.42625,6.016666666666664,5.893669687262401,5.746849568862862,6.478584025840089,6.775942163750587,5.594999999999999,5.881875000000006,5.4751225749977195,6.612356591249516,6.497941711242441,6.354450465864915,5.9175,6.030000000000005,5.642808085269312,5.623062560259613,7.292957957136237,3.3268750000000002,2.891250000000002,3.368894453349119,4.034249886863112,4.975886164367098,5.032840030470259
2007-05-31,PREMON,6.830000000000001,4.7425,7.4,10.15,9.1,6.9,6.2125,6.1149999999999975,6.14750696018436,5.553260736759712,7.264966894032832,6.916127016318514,2.826875,2.6256250000000008,3.6657337669570245,6.053948147138043,4.310953902388945,4.177047986114593,5.03375,6.087499999999997,6.496201812357441,6.254208705018949,6.729310112228283,7.488567349822304,5.845,5.840000000000005,7.345073544998632,7.202471932961712,9.985911529481882,9.964324060441724,5.96,6.105000000000005,7.0256848511615875,6.820101861693447,8.88710172050147,3.600625,3.2862500000000026,4.781336672009472,4.548233758726531,5.684985265784919,5.666384426423783
2007-08-31,MONSOON,5.75,0.15,1.19,1.91,3.7,0.475,6.47625,6.094999999999997,5.988504176110617,5.600982983939729,5.061310919583647,5.109987883773327,2.850625,2.638125000000001,2.2594402601742147,4.126126382014932,2.0529463300402924,1.8588561406821136,5.46875,4.764999999999997,4.373721087414465,4.564865794954755,5.818607864261452,6.064546166999006,6.43625,5.350000000000005,5.171044126999179,6.277672205194323,5.3471183165435265,5.2951872927912,6.407500000000001,5.730000000000005,5.695410910696952,5.650685458472907,5.085410322146745,3.9675000000000002,3.3675000000000024,3.058802003205683,3.8702320058805437,2.696554969836932,2.5460649820207566
2007-11-30,POMKH,6.77,1.74,6.35,8.0,6.78,2.8200000000000003,6.652916666666666,6.3299999999999965,6.301102505666369,5.8412943798827595,5.596743731247194,5.3332561484742556,2.7553125,3.015625000000001,2.051664156104529,3.2395656840694924,1.7092857701184658,1.4075302429153371,5.594375,5.3024999999999975,5.164232652448678,4.923976491293948,4.196970517384883,5.142410900938476,6.60125,6.340000000000005,6.302626476199508,6.502084677290815,5.436575443089632,5.541715698744413,6.637500000000001,6.190000000000005,6.129246546418171,5.9336946975300915,6.713783992057813,3.9646875000000006,3.8337500000000024,2.96328120192341,3.646500279012074,1.6132369240060767,1.4748305885482986
