Date,Season,Matanhail,Bahadurgarh,Sahlawas,Beri,Jhajjar,Matanhail_Trend,Matanhail_SMA,Matanhail_EWMA,Matanhail_DES,Matanhail_TES,Matanhail_ARIMA,Bahadurgarh_Trend,Bahadurgarh_SMA,Bahadurgarh_EWMA,Bahadurgarh_DES,Bahadurgarh_TES,Bahadurgarh_ARIMA,Sahlawas_Trend,Sahlawas_SMA,Sahlawas_EWMA,Sahlawas_DES,Sahlawas_TES,Sahlawas_ARIMA,Beri_Trend,Beri_SMA,Beri_EWMA,Beri_DES,Beri_TES,Beri_ARIMA,Jhajjar_Trend,Jhajjar_SMA,Jhajjar_EWMA,Jhajjar_DES,Jhajjar_TES,Jhajjar_ARIMA
2002-05-31,PREMON,1.65,5.995000000000001,11.93,4.8966666666666665,6.1875,1.709270833333333,3.2891666666666604,2.7597032904360685,3.003943027555321,3.287451677686347,3.901151699004831,5.878589285714286,5.648916666666667,5.7073116323252435,5.6420121720265595,5.920914502690499,5.406575799901134,11.907708333333334,9.980833333333337,10.74530517503932,9.99128101147309,10.973723114924436,11.59244635759526,4.557833333333333,4.433666666666666,4.493268812089211,3.88712683986086,4.707340286542275,4.32404854812352,6.1890624999999995,8.947708333333336,7.12113573820759,6.62704933057979,7.438614163575518,5.427785122319449
2002-08-31,MONSOON,1.67,6.151666666666667,11.925,4.751666666666666,6.109999999999999,2.0247916666666663,1.3624999999999936,2.3238219742616413,2.51269456870343,2.8081048967755735,4.039253418890937,5.9031785714285725,5.898083333333333,5.885053646061813,5.817025460897712,5.303640721110588,5.639880136383692,12.266875,11.490416666666668,11.217183105023592,10.464854268102943,9.711617249561694,12.857229960425029,4.5741249999999996,4.547833333333333,4.596627953920192,3.9733771194409715,3.7406699953608555,4.104965201488528,6.1703125,6.169375000000003,6.716681442924553,6.518117865004945,8.828277917032612,9.725019542728049
2002-11-30,POMKH,3.7341666666666655,5.7857142857142865,12.655,4.345,5.9375,1.9822916666666666,2.05604166666666,2.887959851223651,2.8291312397129955,2.4010186376353557,2.6166550081338147,5.971845238095239,5.859095238095239,5.845317901922803,5.839154043923791,5.869223202684299,5.734059351361681,12.279375000000002,12.325000000000001,11.792309863014156,11.018613579154023,11.089751776919023,12.728415027707419,4.547499999999999,4.567833333333333,4.495976772352115,3.9994317304311076,3.957886233917712,4.1465538185460336,6.2996875,6.208750000000004,6.4050088657547315,6.399531109422595,5.927757927430401,5.17362956302134
2003-02-28,POMRB,0.92,5.8566666666666665,12.325,4.328333333333333,6.2925,1.7810416666666666,1.99354166666666,2.100775910734191,2.163316824692549,4.010465361252303,4.3737001912118405,5.899434523809524,5.9472619047619055,5.849857407820348,5.875575870957129,5.5873132126230916,5.663954248364565,12.325,12.20875,12.005385917808493,11.25137570021588,11.387296453499516,13.644322049485035,4.254583333333333,4.580416666666666,4.428919396744602,4.020180239104682,4.575175279910851,4.913467706910402,6.31025,6.131875000000004,6.3600053194528385,6.356639749173208,6.170759177109653,5.404351065961633
2003-05-31,PREMON,1.56,6.191666666666667,12.495,4.633333333333333,7.53,1.2280208333333333,1.9710416666666601,1.8844655464405144,1.9207408348207191,1.668321773528327,2.780483329730046,5.720684523809525,5.996428571428572,5.986581111358876,6.003140000511914,6.119634667362768,5.729316638299566,11.105625,12.35,12.201231550685096,11.457391124677937,13.09742128739242,11.826305859034806,3.8254166666666665,4.5145833333333325,4.510684971380094,4.075304554647164,4.990684437157452,4.664595749607683,6.0076875,6.467500000000005,6.828003191671703,6.517275153791753,6.620291402434072,5.512360475779614
2003-08-31,MONSOON,0.15,5.375714285714286,11.725,2.671666666666667,4.851999999999999,1.108125,1.5910416666666602,1.1906793278643086,1.3210148232177683,1.7351759252122863,2.2247335154047594,5.578095238095238,5.802440476190477,5.74223438110104,5.8518989372821,5.514476901453919,5.874027096396828,9.187708333333333,12.3,12.010738930411058,11.317182512501367,11.251773870545039,11.939131111381949,3.522708333333333,3.994583333333333,3.7750776494947234,3.8855608794246375,3.908470017866107,4.34548686734573,5.740562499999999,6.153000000000005,6.037601915003021,6.226425291745918,8.09363458513907,10.534257537013985
2003-11-30,POMKH,0.83,5.131666666666667,3.1,2.9916666666666667,4.775,1.5787499999999999,0.8649999999999939,1.046407596718585,1.1347337122706034,1.1683971428899542,2.459685382146887,5.484017857142857,5.638928571428572,5.498007295327291,5.659916093009847,5.97741482343523,5.600147890523162,8.206458333333334,9.91125,8.446443358246635,8.206584191097177,11.978432883032763,11.574070515110796,3.3137499999999998,3.65625,3.4617132563635007,3.758549019602514,3.650597923202807,3.889899789315261,5.40925,5.862375000000005,5.532561149001813,5.970716091328322,5.584818304711794,5.2412370314212815
2004-02-29,POMRB,2.865,5.369999999999999,6.536666666666666,3.26,5.318,2.115625,1.351249999999994,1.773844558031151,1.6444275788349187,2.1807725978756474,1.0127309200756436,5.214122023809524,5.517261904761905,5.446804377196374,5.583346283561002,5.60817866208149,5.50684831885556,8.235625,8.464166666666667,7.682532681614647,7.453813181867909,8.366098159278218,7.152629246017414,3.2475,3.389166666666666,3.3810279538181005,3.6800940430461138,4.046798001420372,4.350479579851461,5.354916666666667,5.618750000000005,5.446736689401087,5.842893404821491,5.718907398279229,5.770906664971225
2004-05-31,PREMON,3.38,5.925714285714286,10.433333333333334,4.029999999999999,5.854000000000001,2.67625,1.8062499999999937,2.416306734818691,2.1428552324096826,1.1869387266830267,2.0571219470232625,4.998720238095239,5.45077380952381,5.638368340603539,5.691878753243526,6.074305820693007,5.536420885182226,9.64,7.948750000000002,8.78285294230212,8.345678156237131,9.040269848160218,5.048757851952722,3.2675,3.2383333333333333,3.6406167722908602,3.704918443385643,4.348183651323304,4.040940013019008,5.646208333333333,5.199750000000005,5.609642013640652,5.821016971292482,6.223399334143178,6.125979763025079
2004-08-31,MONSOON,2.625,3.4825,14.02,2.745,6.093333333333334,2.988125,2.4249999999999936,2.4997840408912144,2.238589192728472,2.075840477479736,2.756488980402091,5.087261904761904,4.977470238095238,4.776021004362123,5.041271918374681,5.430708198856421,5.710900659434927,11.611666666666666,8.522500000000003,10.877711765381273,10.163645704506138,7.941687065579468,8.313233464438902,3.384333333333333,3.256666666666667,3.2823700633745165,3.5707634958214487,3.2742475479422146,3.5781328812330906,5.920916666666668,5.5100833333333386,5.803118541517724,5.840714685108391,6.775604324415207,4.915263317553036
