Date,Season,Nangal Choudhry,Ateli,Kanina,Narnaul,Mahendargarh,Nangal Choudhry_Trend,Nangal Choudhry_SMA,Nangal Choudhry_EWMA,Nangal Choudhry_DES,Nangal Choudhry_TES,Nangal Choudhry_ARIMA,Ateli_Trend,Ateli_SMA,Ateli_EWMA,Ateli_DES,Ateli_TES,Ateli_ARIMA,Kanina_Trend,Kanina_SMA,Kanina_EWMA,Kanina_DES,Kanina_TES,Kanina_ARIMA,Narnaul_Trend,Narnaul_SMA,Narnaul_EWMA,Narnaul_DES,Narnaul_TES,Narnaul_ARIMA,Mahendargarh_Trend,Mahendargarh_SMA,Mahendargarh_EWMA,Mahendargarh_DES,Mahendargarh_TES,Mahendargarh_ARIMA
2003-11-30,POMKH,23.0,32.8,25.735,20.8,25.245,23.11375,22.98187499999999,23.132761315302098,23.112310238971418,23.434129052603495,22.61779984718105,35.260625,31.941666666666663,31.940432266848276,30.70263701506633,32.176739000035695,30.941791783129087,25.183749999999996,25.367500000000003,25.471052358852752,25.259168213994897,25.251781166670984,26.15927955228932,21.07,21.1475,20.72078813544523,19.389650026785926,21.32610303798693,20.104896151933225,28.564791666666665,29.293333333333326,28.792167712975356,33.02235864057519,30.634465479856367,30.774596859015293
2004-02-29,POMRB,24.6,43.8,24.49,21.08,23.24,23.122812500000002,23.326874999999994,23.719656789181258,23.469821710135143,23.34882019562775,23.274022043407584,36.395624999999995,34.605,36.68425936010897,33.816528989679774,33.782383514221436,31.595031417656926,24.856249999999996,25.06875,25.078631415311648,25.03541248858585,24.901762623960607,25.620374482373535,21.107499999999998,21.12,20.864472881267137,19.611298915741465,19.600650211235973,19.868593750591206,28.897083333333335,26.636666666666656,26.571300627785213,29.479902208215513,29.532723429539836,30.175211417032568
2004-05-31,PREMON,20.07,35.05,24.29,21.7,37.39,22.912232142857142,22.90062499999999,22.259794073508754,22.864379403230302,21.989954201153317,22.932096237273985,37.295,35.91624999999999,36.03055561606538,33.96035967610515,36.869169623229325,32.67279237695647,24.273125,25.29875,24.76317884918699,24.818874099374664,24.414789710770677,23.549462857907447,21.43,21.020000000000003,21.19868372876028,19.925121236081605,21.715180830033557,19.932333412600407,26.420624999999998,30.492916666666652,30.898780376671127,32.33627468389315,26.265764394042787,25.065443954100374
2004-08-31,MONSOON,25.71,35.84999999999999,23.14,21.2,23.33,21.284226190476193,23.34499999999999,23.639876444105255,23.48902279503858,24.065702816299698,24.27977477904333,36.07156249999999,36.874999999999986,35.95833336963922,34.26693166733405,37.15418937712485,38.87098567065728,24.23875,24.41375,24.113907309512193,24.313771127735585,26.492648696284732,26.249490174042027,22.03,21.195000000000004,21.199210237256167,20.043592772733188,19.126043105868657,20.493436726087403,24.9725,27.30124999999999,27.871268226002677,28.99445197663789,34.22500365095424,31.802342410570773
2004-11-30,POMKH,19.537857142857145,36.16,24.61,22.68,18.2,19.986357886904763,22.47946428571428,21.999068723606012,22.77489427111869,23.635918090271634,20.684963636155253,33.856874999999995,37.71499999999999,36.03900002178353,34.572876171879386,37.21467409514078,36.66755864997812,24.56375,24.1325,24.312344385707316,24.418708424432502,24.826703740436084,24.08525902977892,22.057499999999997,21.665000000000003,21.791526142353703,20.48297577992788,22.14422294374238,21.064610412530847,24.626875,25.53999999999999,24.002760935601607,24.220002668356937,27.69599596628501,26.791480415836368
2005-02-28,POMRB,15.03809523809524,30.6525,25.34,24.0,18.7,18.722686011904763,20.088988095238086,19.214679329401704,21.31215909120758,23.523280434552355,25.39863528861848,32.685,34.428124999999994,33.88440001307012,33.429350656892254,40.2092065032544,36.20082564810756,25.048750000000002,24.345000000000002,24.72340663142439,24.716851681773047,23.830074806109078,24.120958515552452,21.69625,22.395000000000003,22.674915685412223,21.12658734951738,20.707195967664482,21.053540081499836,27.193125,24.40499999999999,21.881656561360963,20.79352253541839,25.723901259979087,24.715130765287924
2005-05-31,PREMON,19.248958333333334,30.48,26.04,19.0,39.165,17.561644345238097,19.883727678571418,19.228390930974356,20.96434935494591,16.541984098037144,18.517060264367565,30.479375,33.285624999999996,32.52264000784207,32.53321005640565,36.69737436029569,35.98958015283559,25.38125,24.782500000000006,25.250043978854634,25.139335407096524,23.93928280635684,24.69395519788554,21.597500000000004,21.720000000000002,21.204949411247334,20.429579543420793,23.314293577494023,22.109135363054826,29.687500000000004,24.848749999999992,28.794993936816578,26.77103061850489,29.841670185953536,28.455029346115907
2005-08-31,MONSOON,16.42166666666667,31.045,25.27,21.01,42.085,17.5616443452381,17.561644345238086,18.10570122525128,20.126556202406285,21.703962423431925,15.73459015254652,29.061979166666664,32.084375,31.931584004705243,32.005335125914755,35.334092741996926,32.86798097749866,25.735,25.315000000000005,25.258026387312782,25.19356736743203,24.7732709769848,24.40002895311469,20.7021875,21.672500000000003,21.1269696467484,20.37917851958822,19.5574390291355,21.580654907310507,32.403125,29.53749999999999,34.11099636208995,33.631131305731884,28.144345408818175,25.51396160901114
2005-11-30,POMKH,19.537857142857145,23.32,25.14,22.08,19.4,17.561644345238097,17.561644345238086,18.678563592293628,20.066268659182736,14.472645898614108,18.742581355010255,29.6475,28.874375,28.486950402823147,29.687376951166044,33.86960281217855,31.493129792081806,26.025,25.447500000000005,25.21081583238767,25.19090043786837,25.69303310049911,25.42538670877801,19.548958333333335,21.5225,21.508181788049036,20.594213923012706,22.406836488712063,19.000578396809814,34.960625,29.837499999999988,28.226597817253968,29.694756212458405,25.136015401725764,26.51448866379001
2006-02-28,POMRB,15.03809523809524,32.153333333333336,27.64,17.4375,39.225,17.561644345238097,17.561644345238086,17.222376250614275,19.13023326279602,13.354492403149287,14.56968017579421,29.639166666666668,29.249583333333334,29.953503575027224,30.158142251976244,32.16597773430613,30.96864639024006,26.08375,26.0225,26.182489499432602,25.961571126090725,25.557451874042528,25.459933862889635,18.117291666666667,19.881875,19.87990907282942,19.658472952968733,20.73550806291447,20.435961783558874,32.378125,34.96874999999999,32.62595869035238,34.39698642643667,24.66644634182746,25.51644994944244
2006-05-31,PREMON,19.248958333333334,33.66333333333333,26.06,16.336666666666666,39.1,17.561644345238097,17.561644345238086,18.0330090837019,19.206705072284503,16.99600924272647,19.262179566369493,29.721666666666664,30.045416666666664,31.437435478349663,30.885481685511472,30.2568913610841,26.804034962555956,26.259999999999998,26.027500000000003,26.13349369965956,26.006295240108898,26.118835122634938,26.89734018173931,15.814791666666666,19.21604166666667,18.46261211036432,18.692283728544687,21.5524218323066,21.115060480032348,29.84125,34.95249999999999,35.21557521421143,38.25387463437262,38.33411577134891,34.59475891045301
2006-08-31,MONSOON,16.42166666666667,27.795,25.72,12.22,21.49,17.5616443452381,17.561644345238086,17.388472116887808,18.71069073890364,16.829745486517655,15.5805179981225,29.893125,29.232916666666664,29.9804612870098,29.966480378688132,30.716888761594358,29.978280110169,26.308749999999996,26.140000000000004,25.968096219795736,25.93216194619886,25.586593992648005,25.54801349647434,14.021354166666665,17.018541666666668,15.965567266218592,16.98988613227359,17.550714002660193,17.91202001019406,27.563125,29.803749999999994,29.725345128526854,33.60299743003915,37.610985742285216,36.307517913479224
2006-11-30,POMKH,19.537857142857145,27.23,26.1,12.45,19.7,17.561644345238097,17.561644345238086,18.248226127275544,18.925722172891376,18.556121335673595,19.145282752468614,28.866666666666667,30.210416666666667,28.88027677220588,29.14009295180545,28.105072860779572,31.92988350197858,26.341249999999995,26.380000000000006,26.02085773187744,25.99831770380524,25.85276718915678,25.54069981309041,13.039583333333335,14.611041666666669,14.559340359731156,15.7601366653269,18.557651221017142,16.501001082497922,22.86,29.87874999999999,25.715207077116112,28.553636712624087,22.627522240353443,26.30632818605991
2007-02-28,POMRB,15.03809523809524,29.615,27.07,12.72,20.7,17.561644345238097,17.561644345238086,16.96417377160342,18.211469212874594,14.361978308920971,16.814776519154602,27.716874999999998,29.575833333333335,29.17416606332353,29.117579303644057,30.084052439215995,29.49675745314689,26.63125,26.237500000000008,26.440514639126466,26.34380321439406,27.3324776495961,27.385733289294805,12.545000000000002,13.431666666666668,13.823604215838694,14.89637275932277,15.31614889725735,15.220972050839379,20.41125,25.247499999999988,23.709124246269667,24.786376155742758,31.19323805079199,31.844377524835508
2007-05-31,PREMON,19.248958333333334,27.99,26.89,13.2,20.0,17.561644345238097,17.561644345238086,17.878087596295387,18.466597247155153,18.3704908251679,19.10769886136339,29.05125,28.157500000000006,28.700499637994113,28.696032935001558,28.580638528425325,28.25460709856651,26.95125,26.445000000000007,26.620308783475878,26.527100969391714,26.19316476346774,26.09091140285713,12.784999999999998,12.647500000000003,13.574162529503216,14.358342016946551,16.32370031774073,13.913306364857046,20.568749999999998,20.47249999999999,22.2254745477618,21.69980581008996,35.998760006634456,29.977750105490355
