Date,Season,Mumbai,Mumbai_Trend,Mumbai_SMA,Mumbai_EWMA,Mumbai_DES,Mumbai_TES,Mumbai_ARIMA
2016-08-31,MONSOON,2.6300000000000003,4.6254687500000005,4.162187500000002,4.2406298839016765,4.644447560746087,3.3698951943464035,3.1026002455498602
2016-11-30,POMKH,4.36,4.3343750000000005,4.6478125000000015,4.288377930341007,4.6399353678558155,4.515964707881865,4.552313233240618
2017-02-28,POMRB,4.5225,3.974375,4.603125000000002,4.382026758204605,4.651770513338352,5.096199616272889,5.0851508353176
2017-05-31,PREMON,4.75,3.968125,4.0656250000000025,4.529216054922763,4.68758434725993,5.456308167281296,5.301615546529924
2017-08-31,MONSOON,1.9,4.195,3.883125000000002,3.477529632953658,4.38905208355738,3.3232958630906593,3.294273843139268
2017-11-30,POMKH,5.04,4.47125,4.053125000000002,4.102517779772194,4.459713761845824,4.45620969292019,4.3042513848296355
2018-02-28,POMRB,5.6575,4.65125,4.336875000000002,4.724510667863316,4.601652590409648,5.04752179988539,5.13523576203714
2018-05-31,PREMON,5.825,4.736562500000001,4.605625000000002,5.164706400717989,4.760764750646742,5.460357443744282,5.607989151306566
2018-08-31,MONSOON,2.265,,4.696875000000002,4.004823840430793,4.500605629257202,3.346349052925348,3.3969644475583354
2018-11-30,POMKH,5.3575,,4.776250000000003,4.545894304258477,,4.60421769892359,4.367185748258348
