Date,Season,Keshorai Patan,Hindoli,Talera,Nainwa,Keshorai Patan_Trend,Keshorai Patan_SMA,Keshorai Patan_EWMA,Keshorai Patan_DES,Keshorai Patan_TES,Keshorai Patan_ARIMA,Hindoli_Trend,Hindoli_SMA,Hindoli_EWMA,Hindoli_DES,Hindoli_TES,Hindoli_ARIMA,Talera_Trend,Talera_SMA,Talera_EWMA,Talera_DES,Talera_TES,Talera_ARIMA,Nainwa_Trend,Nainwa_SMA,Nainwa_EWMA,Nainwa_DES,Nainwa_TES,Nainwa_ARIMA
2005-11-30,POMKH,4.15625,11.800000000000002,6.3980000000000015,9.16,4.216583333333333,4.713973214285716,4.393938320447698,4.650554457714051,4.258567634213375,4.654452031125135,11.383125000000001,10.844166666666666,11.428876423277503,11.312844424476136,10.490618164969712,11.207336872834045,7.062625000000001,7.367416666666669,7.2091109392967585,6.309443873476163,7.489353348493579,7.353134703578133,11.66375,12.435000000000002,11.117893154056778,11.52589132159982,13.31688393278771,12.98049252114221
2006-02-28,POMRB,3.498333333333333,9.04,7.056,12.255,4.0455625,4.381770833333334,4.035696325601952,4.170191612242869,4.472544989142318,4.53518963834912,11.110833333333334,11.184166666666666,10.4733258539665,10.549771959845076,9.762945977600038,9.987384518795697,6.530500000000001,7.291000000000001,7.147866563578055,6.259625808003681,7.6763954867603506,7.2149683037315455,11.43625,11.663750000000004,11.572735892434068,11.456317150537142,14.532989234179553,13.42921792435295
2006-05-31,PREMON,4.8260000000000005,13.275,6.725,15.87,3.9245729166666665,4.051395833333334,4.351817795361171,4.458794638594767,5.567217653212232,5.374309762236159,10.207500000000001,11.582083333333332,11.593995512379902,11.302161678835233,13.92593386046105,13.786920948072456,6.140250000000001,6.834250000000001,6.978719938146833,6.172298572005552,9.396415246202519,8.830948474750393,11.268749999999999,11.663750000000004,13.29164153546044,12.67844350505229,16.132071441697136,15.289421262354622
2006-08-31,MONSOON,3.6783333333333332,8.443333333333333,4.7280000000000015,7.55,3.9367678571428577,4.0397291666666675,4.082424010550036,4.123720852765749,3.19131773268753,2.693443472025984,9.792916666666667,10.639583333333333,10.333730640761274,10.385523512801509,10.258526422248465,10.393783862804199,6.012166666666667,6.226750000000001,6.0784319628881,5.395297614598033,4.225055463921397,4.450257152156157,11.630625,11.208750000000004,10.994984921276265,11.040501982562999,7.309288676317124,8.729888609358207
2006-11-30,POMKH,3.2350000000000008,8.343333333333334,5.706,9.64,4.096462797619048,3.8094166666666673,3.743454406330022,3.699156496918791,3.8422940514555437,4.292997708849983,9.710208333333334,9.775416666666665,9.537571717790097,9.57335565956093,9.86752028618103,10.653046502934464,5.7218333333333335,6.053750000000001,5.929459177732861,5.2031042027861725,5.751914864860373,5.409586122276159,11.932500000000001,11.328750000000003,10.45299095276576,10.314496626843102,11.129107146844095,10.952716530472784
2007-02-28,POMRB,4.517142857142857,9.18,6.723333333333334,14.67,4.458598214285715,4.064119047619048,4.052929786655156,4.009681703355808,3.8983068826711595,3.5029533543082527,9.796666666666667,9.810416666666665,9.394543030674058,9.18765794608331,8.200549769999029,8.370285065218017,5.531583333333334,5.970583333333334,6.24700883997305,5.525682967811142,6.407070993197833,6.121270801623351,12.0375,11.932500000000003,12.139794571659456,11.418303899546503,13.3023085005045,13.110039423238835
2007-05-31,PREMON,5.08475,12.473333333333334,4.734999999999999,15.87,5.171157738095238,4.128806547619048,4.465657871993093,4.491925851395538,5.491309768160303,5.448628215989967,10.191041666666667,9.61,10.626059151737769,9.99562696916187,12.92786413737921,12.753720549225477,5.560083333333334,5.473083333333333,5.64220530398383,5.073333499126905,8.546496236116502,7.126048573486391,12.14625,11.932500000000003,13.631876742995672,12.886659454727035,16.02766927991262,15.593959886653806
2007-08-31,MONSOON,6.316666666666667,9.936666666666666,5.1960000000000015,8.39,5.857675595238095,4.788389880952381,5.206061389862523,5.411873256973494,3.2200960700127568,3.4611006890164218,10.534375,9.983333333333333,10.350302157709327,9.9057102731571,9.325562252056168,9.310765958853354,5.543416666666666,5.590083333333333,5.463723182390298,4.921507576288014,2.864644569770948,2.7531650312154996,11.69625,12.142500000000004,11.535126045797403,11.666903020417074,7.3836754321979425,9.03787311909796
2007-11-30,POMKH,6.297142857142857,10.005,5.466,9.67,6.084269345238095,5.553925595238095,5.642493976774657,6.029917226607724,4.6873820166870255,5.100598334574145,11.323333333333334,10.39875,10.212181294625598,9.864907378857007,9.738848286316475,10.3278100819747,5.858208333333335,5.530083333333334,5.464633909434179,4.952804418943323,5.210208019341859,5.5646309780329775,10.9375,12.150000000000004,10.789075627478443,10.977714180533342,10.73107745757752,9.509570994853949
2008-02-29,POMRB,6.9471428571428575,10.265,6.83,11.04,5.622738095238096,6.161425595238095,6.1643535289219376,6.74953765055915,5.436924303384366,5.576945995437007,12.114583333333332,10.67,10.23330877677536,9.930431340890914,8.665356257316024,8.876477200592058,6.244666666666666,5.55675,6.010780345660507,5.5795474261320805,6.000458844783867,5.968970262972473,10.699375,11.242500000000003,10.889445376487064,10.84114775185613,13.899196266395391,13.144347291502445
2008-05-31,PREMON,4.4675,17.7,7.146666666666667,13.43,4.844970238095239,6.007113095238095,5.4856121173531625,6.025462795964696,7.308765604718024,6.421511698721354,12.758958333333332,11.976666666666665,13.219985266065216,12.5674854824273,13.598258268229616,13.385879906996518,6.517666666666667,6.159666666666667,6.465134874062971,6.279102385004232,8.369713960906065,6.724299305944966,10.818750000000001,10.632500000000004,11.905667225892238,11.558403316903446,15.586058486542886,14.710471114311801
2008-08-31,MONSOON,3.2416666666666667,11.04,5.876,8.925,4.198720238095238,5.238363095238095,4.588033937078564,4.9296323189013265,4.275937831857551,4.623004752188114,14.239791666666667,12.252499999999998,12.347991159639129,12.62393971950465,11.506312932809623,11.499516190234075,6.815166666666668,6.329666666666667,6.229480924437782,6.3333652275435535,3.8468871260145105,4.807029065712854,10.920000000000002,10.766250000000003,10.713400335535344,10.713989710061286,7.071778111722689,7.859362676668203
2008-11-30,POMKH,3.15,14.056666666666665,6.9700000000000015,10.09,3.999675595238095,4.451577380952381,4.012820362247139,4.144540845301565,4.451031849620741,4.096932148952803,14.69222222222222,13.265416666666663,13.031461362450145,13.604405587421619,11.56244641860577,12.108839785670808,7.498833333333334,6.7056666666666676,6.52568855466267,6.784744638881515,6.0571160043102426,6.442138634699643,11.20375,10.871250000000003,10.464040201321207,10.36415121363345,9.845925409951107,10.003052626468364
2009-02-28,POMRB,4.924285714285714,18.06,7.706,11.43,4.205422619047619,3.9458630952380958,4.377406503062568,4.435999747456727,4.290032644629598,4.553061548533839,15.040277777777778,15.214166666666664,15.042876817470088,15.805347656110644,11.227535736123928,11.521703587248679,8.447666666666667,6.924666666666669,6.997813132797602,7.440575092222221,7.141591664418505,7.82762612966355,11.131666666666668,10.968750000000004,10.850424120792724,10.53656668834262,12.587591108295848,12.792503751282652
2009-05-31,PREMON,4.898,13.524444444444445,11.74,15.31,4.577357142857142,4.053488095238095,4.585643901837541,4.626832550698447,5.887858237188945,4.350363440916558,15.567517361111111,14.170277777777773,14.435503868259831,16.079095500918825,17.895062857069096,17.943620595727015,8.929833333333333,8.073000000000002,8.89468787967856,9.740633588584817,9.392128765042314,8.504933779562126,11.298333333333334,11.438750000000004,12.634254472475636,12.052906234225713,14.721847799096595,13.903738863166172
2009-08-31,MONSOON,4.457142857142856,18.0,8.873333333333333,6.468333333333334,4.845571428571429,4.3573571428571425,4.534243483959667,4.553065601007749,3.4341796539337723,4.141792330579722,14.194600694444443,15.910277777777774,15.861302320955897,17.694590434979823,12.994619009567982,12.985857221284693,9.105833333333333,8.822333333333336,8.886146061140469,10.430785603410099,6.468245289414266,7.713603538109214,12.104583333333334,10.824583333333337,10.167886016818715,10.443460159299699,7.875799256177025,9.253643092292577
2009-11-30,POMKH,4.909999999999998,11.314583333333335,7.83,13.88,5.199749999999999,4.797357142857143,4.6845460903758,4.713162174966556,4.252808766679316,4.217523696728408,13.230138888888888,15.224756944444442,14.042614725906873,16.649513937902533,14.86456163237965,15.526871027514403,9.660583333333332,9.037333333333336,8.46368763668428,10.347558147514665,8.846823850371695,9.468527718566124,12.202083333333334,11.772083333333338,11.65273161009123,11.47734680051359,9.706443116668506,9.343491451382796
2010-02-28,POMRB,5.3100000000000005,9.81875,8.254,14.09,5.753928571428571,4.893785714285714,4.93472765422548,5.008052415059392,4.7043723781999764,5.52659730563982,12.730833333333335,13.164444444444442,12.353068835544123,15.023667994547493,12.526062535856154,13.290160587913148,10.154666666666667,9.174333333333335,8.379812582010569,10.224931589279139,9.06723791945266,9.83883272471981,11.846979166666667,12.437083333333339,12.627638966054738,12.49851074386451,12.485139454566607,12.270547331853175
2010-05-31,PREMON,7.345714285714287,14.05,15.63,13.43,6.037678571428572,5.505714285714286,5.899122306821003,6.181560522866897,6.29324348238365,4.821903622634055,12.44359375,13.29583333333333,13.031841301326475,14.900714156763936,16.031253720638823,15.868772311443635,10.2335,10.146833333333335,11.279887549206343,13.174464396078681,10.700908991668069,11.221182846582394,11.550625,11.967083333333338,12.948583379632842,13.157859208582328,15.544662974130038,14.717793567220271
2010-08-31,MONSOON,6.442857142857143,13.48,8.936,5.5075,5.806214285714286,6.002142857142858,6.116616241235459,6.547427689999821,4.478437374996899,5.595582376514162,12.219010416666666,12.165833333333332,13.211104780795885,14.565014199274305,11.922859204062908,12.278220642283438,9.915875,10.162500000000001,10.342332529523805,12.733562086054338,8.932813356527465,10.19809221248058,11.306875,11.726875000000005,9.972150027779705,11.018311403698121,7.698641357898738,8.089874579117996
2010-11-30,POMKH,5.194285714285714,13.536666666666667,8.398,12.47,5.12,6.073214285714288,5.747684030455561,6.174335516563707,5.591568829780457,5.58660310904645,11.260416666666668,12.721354166666664,13.341329535144197,14.26773536955154,12.649746374592295,13.087785194673351,8.942875,10.3045,9.564599517714283,11.829835608506617,10.235897121829751,9.665682960114278,11.709375000000001,11.374375000000004,10.971290016667822,11.395258075380731,11.267435574547267,11.063382257618589
2011-02-28,POMRB,3.1740000000000004,5.8,5.145,13.55,4.528553571428572,5.539214285714287,4.718210418273337,4.96077484838794,5.713276368141557,5.478846333227605,10.544166666666667,11.716666666666663,10.324797721086519,11.521292147268545,11.782032617544772,12.324353376724128,7.836,9.52725,7.79675971062857,9.589019327578917,10.088660782724595,10.468959153612408,11.752187500000002,11.239375000000003,12.002774010000694,12.117425455652878,12.823446627065401,12.686604409827401
