Date,Season,Shindkhede,Dhule,Sakri,Shirpur,Shindkhede_Trend,Shindkhede_SMA,Shindkhede_EWMA,Shindkhede_DES,Shindkhede_TES,Shindkhede_ARIMA,Dhule_Trend,Dhule_SMA,Dhule_EWMA,Dhule_DES,Dhule_TES,Dhule_ARIMA,Sakri_Trend,Sakri_SMA,Sakri_EWMA,Sakri_DES,Sakri_TES,Sakri_ARIMA,Shirpur_Trend,Shirpur_SMA,Shirpur_EWMA,Shirpur_DES,Shirpur_TES,Shirpur_ARIMA
2003-02-28,POMRB,9.8225,7.718333333333334,4.8671428571428565,10.8125,8.942916666666667,9.47854166666666,9.576974493749969,8.97634954407947,9.505527397606224,9.037586022770794,7.647244318181818,7.8711111111111105,7.5671345077570935,7.101151999042452,7.649193365293046,7.272207877168279,4.826785714285714,5.563214285714285,5.231868524234949,6.088560709804985,5.889734707880723,5.4298759004634185,10.000833333333333,10.214791666666663,10.256311492373708,10.62732586563136,10.653447828069648,9.579230059101157
2003-05-31,PREMON,8.326666666666668,9.582727272727274,5.8850000000000025,10.78,8.667291666666667,9.14354166666666,9.07685136291665,8.654992705191761,9.948493497731274,9.066322414394149,7.156346882284383,8.004015151515151,8.373371613745165,7.422745386473005,9.487114571078411,8.792501474520622,4.288571428571429,5.219464285714285,5.493121114540971,6.128916299458547,7.116508639679805,6.409079025905388,9.833291666666666,10.023124999999997,10.465786895424225,10.658039364092666,12.312257110505701,10.435480409644317
2003-08-31,MONSOON,7.52,5.131666666666667,2.948571428571429,9.971666666666666,8.461145833333333,8.74229166666666,8.454110817749989,8.21510499455663,8.1862145849623,9.039759205326597,7.223774766899768,7.290473484848485,7.076689634913766,7.122453436932232,7.399103276012823,7.138319891040073,4.267500000000001,4.434107142857141,4.475301240153154,5.617516813920203,4.247975082348186,4.002375667590657,9.593229166666667,9.978541666666663,10.268138803921202,10.554920985814633,9.867048808672651,10.25933692740853
2003-11-30,POMKH,8.7,5.656153846153848,2.8714285714285714,7.188,8.582416666666667,8.59229166666666,8.552466490649993,8.197012767886799,7.7109721869305154,8.986816414552232,7.388738344988346,7.022220279720281,6.508475319409799,6.9296909475742785,5.9967466883620855,4.960460566260053,4.471875000000001,4.143035714285713,3.833752172663321,5.140579459508723,3.515153992262264,3.3755203592067997,9.664041666666666,9.688041666666663,9.03608328235272,10.024122279007539,9.586853611332941,8.737860488266929
2004-02-29,POMRB,8.773333333333332,9.330769230769233,5.862857142857144,10.054,8.84540625,8.329999999999995,8.640813227723328,8.202609969716507,9.505527387498834,8.97697807689396,7.579685496794872,7.425329254079255,7.637392883953573,7.240838272640568,6.7901729475861945,6.774234874665322,4.657150297619048,4.391964285714285,4.6453941607408495,5.26044976435316,4.231662519143681,4.050135845829601,9.834385416666667,9.498416666666664,9.443249969411632,10.0348856150823,9.879776554960083,9.287051081914315
2004-05-31,PREMON,10.345999999999998,9.29,6.524285714285715,12.105,8.771526041666664,8.834833333333327,9.322887936633997,8.60879323612208,9.948493476825618,8.97012790925102,7.890299908424908,7.352147435897436,8.298435730372143,7.506060629371233,9.519043240313216,9.879073612971684,4.85436755952381,4.551785714285713,5.396950782158796,5.490943416337763,6.562300954253873,6.478537234662872,10.043354166666667,9.829666666666665,10.50794998164698,10.37112731897232,11.542138256592633,10.14524449172604
2004-08-31,MONSOON,7.604583333333332,6.951971153846153,3.791488095238096,10.009416666666667,8.84165625,8.85597916666666,8.635566095313731,8.203144274726757,8.18621458484009,9.014262119128832,7.740491643772894,7.807223557692307,7.759849899761747,7.4320529557492225,7.31399491167366,6.46328056252527,4.832291666666667,4.76251488095238,4.754765707390516,5.1961133111536455,4.190210879338253,4.396672300477315,10.300354166666667,9.839104166666665,10.308536655654855,10.319629510210751,9.587511203867702,10.786630219364273
2004-11-30,POMKH,8.024375,6.3207646520146525,3.60625,8.822000000000001,9.088614583333332,8.687072916666661,8.391089657188239,8.01556705813775,7.710972187678857,8.969828051141993,7.538752861721611,7.973376259157508,7.184215800662908,7.285468296609055,6.5985312423631415,6.14418113414275,4.781041666666667,4.946220238095237,4.295359424434309,4.898265359476725,3.832035470698411,3.83629211066192,10.532729166666668,10.247604166666665,9.713921993392912,10.0868916689388,9.381610287608297,8.436771765594328
2005-02-28,POMRB,10.01,7.467692307692308,4.951428571428571,10.476,9.263333333333334,8.996239583333328,9.038653794312943,8.386898374325176,9.505527381293488,8.940648925625656,7.766527300824175,7.507607028388277,7.297606403474668,7.307444993504517,7.414606088258751,7.772655811709059,4.755498511904762,4.718363095238094,4.557787083232014,4.879060611660777,4.722389589039033,4.803210689560615,11.000677083333334,10.353104166666665,10.018753196035746,10.154999379573674,10.105200105521407,10.156689582207672
2005-05-31,PREMON,11.085,9.539166666666668,7.025714285714287,13.542000000000002,9.484817708333335,9.180989583333329,9.857192276587766,8.931728306342803,9.948493483348331,8.972656919620428,8.167256753663002,7.569898695054944,8.194230508751469,7.596436126652987,9.24673998825267,8.676198977089946,4.721852678571429,4.843720238095237,5.544957964224924,5.245262122991781,6.469789749917729,6.275409039855154,11.655000000000001,10.712354166666664,11.428051917621449,10.701391268763457,11.813591043330543,10.69745225748833
