Date,Season,Parliament Street,Darya Ganj,Chanakya Puri,Connaught Place,Parliament Street_Trend,Parliament Street_SMA,Parliament Street_EWMA,Parliament Street_DES,Parliament Street_TES,Parliament Street_ARIMA,Darya Ganj_Trend,Darya Ganj_SMA,Darya Ganj_EWMA,Darya Ganj_DES,Darya Ganj_TES,Darya Ganj_ARIMA,Chanakya Puri_Trend,Chanakya Puri_SMA,Chanakya Puri_EWMA,Chanakya Puri_DES,Chanakya Puri_TES,Chanakya Puri_ARIMA,Connaught Place_Trend,Connaught Place_SMA,Connaught Place_EWMA,Connaught Place_DES,Connaught Place_TES,Connaught Place_ARIMA
2003-11-30,POMKH,8.25,5.43,15.441666666666668,3.58,7.9312499999999995,8.162499999999996,8.167895849931595,8.58624731007253,8.111963279140237,8.717364842392133,5.72875,5.904999999999999,5.7391536489996575,4.662008580001117,6.06621075373142,4.603758004815352,14.847541666666666,15.687499999999998,15.478257240123238,14.867950772009378,15.1855785381642,15.351193357662131,3.985625,3.9856249999999993,3.749549728489617,3.7786985579345096,3.607139858705146,3.58
2004-02-29,POMRB,6.35,5.65,13.2225,4.9575,9.23125,7.688749999999996,7.440737509958957,7.958962776205362,8.610840808766469,8.647769011272826,5.71375,5.792499999999999,5.703492189399794,4.646431379565871,6.160604629995748,4.641805591632007,15.016124999999999,15.025625,14.575954344073942,12.739833293310648,14.821282962980678,15.375432127117248,3.9856250000000006,3.9856249999999998,4.23272983709377,4.1301471784639645,4.984363824900499,4.9575
2004-05-31,PREMON,13.255,6.03,15.342,3.895000000000001,9.59625,8.173749999999997,9.766442505975375,9.577629034634537,9.347683529666842,8.782140449312351,5.82125,5.664999999999999,5.834095313639876,4.630909460671152,6.413091481183994,4.976624355618578,15.416583333333334,14.669458333333335,14.882372606444365,14.748394931352871,15.992024098217554,14.798638529836438,3.9856249999999998,3.9856249999999993,4.097637902256262,4.09309364785194,3.921590598577702,3.895000000000001
2004-08-31,MONSOON,13.3,5.94,17.445,3.51,9.696428571428571,10.288749999999997,11.179865503585226,10.734062317954503,8.973234130647343,8.88542181147776,5.726875,5.762499999999999,5.876457188183926,4.615438828310089,5.896060636267688,4.223282136648794,15.796590277777781,15.36279166666667,15.907423563866619,18.296787315511654,14.558322861717217,14.944210892594985,3.985625,3.9856249999999993,3.8625827413537572,3.9245865234664374,3.5363201511685247,3.51
2004-11-30,POMKH,2.71,5.9,15.872000000000005,3.58,10.367023809523811,8.903749999999997,7.791919302151136,8.388822577740518,10.493064803341024,11.099926318298575,5.298125000000001,5.879999999999999,5.885874312910356,4.600019715905047,5.855912382853696,4.1319679282888195,16.19218055555556,15.470375000000002,15.893254138319973,17.207435690074657,15.460124766913664,15.614199102781388,3.93875,3.9856249999999993,3.7495496448122543,3.796025858902667,3.606052454429937,3.58
2005-02-28,POMRB,12.691428571428574,4.425,15.832222222222226,4.9575,10.095565476190478,10.48910714285714,9.751723009862111,9.712903735582609,8.36227020358389,8.227144688903923,4.7625,5.573749999999999,5.301524587746213,4.5846403188253575,6.043377303647598,4.299377310282106,16.054805555555557,16.12280555555556,15.868841371880876,16.1940685263767,15.14367344392191,15.683266726731677,3.816875,3.9856249999999998,4.232729786887353,4.147203574784301,4.9832874803789,4.9575
2005-05-31,PREMON,12.278333333333334,3.825,15.896999999999995,3.52,11.05202380952381,10.244940476190473,10.7623671392506,10.524547303079668,11.286881521881073,11.08833554847398,4.26375,5.022499999999998,4.710914752647728,4.569307596553544,6.292660902324685,4.588538970088689,15.717578282828283,16.261555555555557,15.880104823128525,15.782893220652916,17.016884000632633,15.723173500745515,3.685625,3.8918749999999993,3.947637872132412,3.98418053030673,3.9205252013237466,3.895000000000001
2005-08-31,MONSOON,12.105,3.86,15.791,2.91,11.987886904761906,9.946190476190473,11.299420283550361,11.045925801090384,9.94441422788063,10.190733591283246,3.97875,4.502499999999998,4.370548851588637,4.554026539889762,5.8571188226547,4.52005331381871,15.424427398989899,15.848055555555556,15.844462893877115,15.5869004802813,15.438882658122614,15.769743483273063,3.4334375,3.741875,3.532582723279447,3.634242336386415,3.5144899665840654,3.51
2005-11-30,POMKH,11.556666666666665,3.99,14.82818181818182,3.13,11.747916666666667,12.15785714285714,11.402318836796884,11.2503747148894,10.745109637470158,10.739934157697244,3.9906249999999996,4.024999999999999,4.218329310953182,4.538797745760603,5.6928879553375475,4.4896152443653845,15.139003787878789,15.58710101010101,15.437950463598998,14.536459958292461,15.562288180254182,15.775438331969646,3.2493749999999997,3.629375,3.3715496339676685,3.4048877365387105,3.5511042212331567,3.58
2006-02-28,POMRB,11.331666666666665,4.055,14.530833333333335,3.39,11.624434523809523,11.817916666666662,11.374057968744797,11.327565482766865,11.467584552613232,11.690006188440789,3.99125,3.9324999999999983,4.152997586571908,4.5236205121531485,4.979355418189856,3.367211433274038,14.860399621212123,15.261753787878789,15.075103611492734,14.017623382089159,14.893890957406688,15.521658157533142,3.286875,3.2375,3.3789297803806013,3.306085673162462,4.903762228289332,4.9575
2006-05-31,PREMON,11.718333333333335,4.29,14.915,3.615,11.62782738095238,11.677916666666661,11.511768114580212,11.49751903509823,12.909865851745215,12.797812715173768,3.9075,4.048749999999998,4.207798551943146,4.508496044291206,4.843228760222646,2.9106403914741685,14.671126893939395,15.016253787878789,15.011062166895641,14.536086214958637,16.444139467048544,15.256205565694048,3.351875,3.2612499999999995,3.473357868228361,3.3141813246908254,3.4192501273701508,3.52
2006-08-31,MONSOON,11.677142857142856,3.4,14.54416666666667,3.115,11.78967261904762,11.570952380952374,11.57791801160527,11.605231101347185,10.842684573087714,11.21285792899,3.87125,3.933749999999998,3.8846791311658873,4.493415046219376,4.716992263287013,2.9372737022458275,14.659583333333334,14.704545454545457,14.824303966804052,14.450430436952809,14.740450431290615,15.164792936991939,3.4181250000000003,3.312499999999999,3.330014720937017,3.1779997611995188,2.8556110164048714,2.91
2006-11-30,POMKH,12.011666666666665,3.78,14.560833333333333,3.445,11.978065476190476,11.684702380952373,11.751417473629829,11.78116862159313,11.203128019746398,11.243794571343102,3.881875,3.8812499999999983,3.842807478699532,4.478387666711077,4.715471696640724,3.036197427969133,14.79,14.637708333333336,14.718915713415765,14.486511710170067,14.695434818300024,14.998520506187306,3.433125,3.3912499999999994,3.37600883256221,3.183258086617303,3.097675598501195,3.13
2007-02-28,POMRB,12.171428571428573,3.975,14.705833333333333,3.605,12.136845238095239,11.89464285714285,11.919421912749327,11.953104191532613,11.924600882923247,12.115488884011633,3.58125,3.8612499999999983,3.895684487219719,4.46341222651664,4.400775515806481,3.085659290830785,14.691770833333335,14.681458333333335,14.713682761382792,14.700271782232756,14.211153365205547,14.881259420664298,3.395625,3.4449999999999994,3.467605299537326,3.2579376755775944,3.5111654852864493,3.39
2007-05-31,PREMON,12.385714285714286,4.455,15.783333333333335,3.52,12.289494047619048,12.061488095238088,12.10593886193531,12.138492923608217,13.493947258479315,13.309137831767439,2.9175,3.902499999999998,4.119410692331831,4.448490861778523,4.457735307760934,3.2644829488690674,14.392395833333332,14.898541666666668,15.141542990163009,16.043420001347986,16.024824280463633,14.834260891337175,3.330625,3.4212499999999992,3.4885631797223953,3.308564676964812,3.64331001729355,3.615
2007-08-31,MONSOON,12.28,0.83,12.89,2.91,12.521607142857142,12.212202380952375,12.175563317161185,12.23783955388317,11.45442002438247,11.852665551392572,2.220625,3.2599999999999976,2.8036464153990983,4.433590116561112,3.991262915504721,2.5872359035325943,13.620937500000002,14.485000000000003,14.240925794097805,13.09972644557561,14.716588905735469,15.088527572407063,3.2643750000000002,3.3699999999999997,3.257137907833437,3.1594425005835998,3.1214175346267603,3.115
