Date,Season,Bangana,Haroli,Una,Amb,Bangana_Trend,Bangana_SMA,Bangana_EWMA,Bangana_DES,Bangana_TES,Bangana_ARIMA,Haroli_Trend,Haroli_SMA,Haroli_EWMA,Haroli_DES,Haroli_TES,Haroli_ARIMA,Una_Trend,Una_SMA,Una_EWMA,Una_DES,Una_TES,Una_ARIMA,Amb_Trend,Amb_SMA,Amb_EWMA,Amb_DES,Amb_TES,Amb_ARIMA
2001-05-31,PREMON,3.0636666666666668,23.7,11.277692307692304,6.39625,1.7926825396825399,1.7926825396825397,2.2490486954267555,2.2229622349531164,3.1681660302610863,3.0636666089235365,14.791249999999998,18.34625,19.649014657333673,16.970860626974197,20.74957647006437,19.438967434547692,11.03744391025641,12.381179029304024,12.215575423538446,7.814444511361778,14.782875601445234,13.55875155647276,5.010024801587302,5.397511160714286,5.637247145902043,5.374928386346567,6.033682314828915,5.718569197706048
2001-08-31,MONSOON,0.8816666666666666,7.8,6.385454545454548,3.33375,1.7926825396825397,1.7926825396825394,1.7020958839227198,1.9715071059693299,0.9861954518025708,0.8816666410177258,14.008125,14.80375,14.909408794400203,14.770661874330592,22.408513178628134,20.3411470797882,9.52393444055944,11.299328379953375,9.883527072304886,7.790762790076167,9.663830674228102,8.163112334696688,4.989275793650794,5.108015873015874,4.715848287541226,4.998345714682677,4.230328020385874,4.794820299421379
2001-11-30,POMKH,1.2309523809523808,10.13,7.789090909090911,4.678571428571429,1.7926825396825397,1.7926825396825392,1.5136384827345841,1.8131779674394446,1.3352197164745156,1.2309523496652166,14.42625,14.778749999999999,12.997645276640121,13.293530390013808,12.659527319055545,17.685900729968857,8.123327068764569,10.775559440559435,9.045752607019296,7.767152848727833,9.372660248239137,7.264338570972515,5.054625496031747,4.912033730158731,4.700937543953307,4.964315978425117,4.938848469823639,4.893282539925911
2002-02-28,POMRB,1.9944444444444445,11.32,7.6370000000000005,5.8575,1.7926825396825394,1.7926825396825394,1.7059608674185283,1.8541251405006673,2.0981744869917174,1.9944444124571707,17.703125,13.2375,12.326587165984073,12.278896515778895,16.37853670789054,16.086168816733924,8.057185606060607,8.272309440559436,8.482251564211577,7.743614456297926,9.931855843307666,9.36547948438371,5.457125496031747,5.066517857142858,5.163562526371984,5.173049902767194,5.5607146512193,5.122036521145986
2002-05-31,PREMON,3.0636666666666668,33.21,10.085833333333332,6.301111111111113,1.7926825396825399,1.7926825396825397,2.249043187117784,2.1683485022577513,3.1666006278816643,3.063666618790622,20.718750000000004,15.614999999999998,20.679952299590443,15.980030554893977,16.255652370504464,15.077087213472954,8.13576515151515,7.974344696969693,9.123684271860277,7.720147418507615,10.830317585928814,8.813108036127892,5.915724206349206,5.042733134920637,5.618581960267635,5.430085987766339,6.080113467971606,5.846437479126585
2002-08-31,MONSOON,0.8816666666666666,24.50500000000001,7.048181818181818,6.648888888888887,1.7926825396825397,1.7926825396825394,1.702092578937337,1.908059163864307,0.983561577009495,0.8816666452696418,22.011250000000004,19.79125,22.209971379754272,17.77342907499676,20.785800813283487,18.916120645697028,8.190060606060607,8.14002651515151,8.293483290388894,7.696751471545598,6.735291488639302,7.317510147415324,5.890381944444444,5.871517857142859,6.030704731716136,5.706842550065195,4.235924317776446,4.628933155752204
2002-11-30,POMKH,1.2309523809523808,17.55,7.755000000000001,5.032222222222222,1.7926825396825397,1.7926825396825392,1.5136364997433545,1.7467172525800458,1.3315809297971521,1.230952354635016,22.512500000000003,21.646250000000002,20.345982827852563,18.012625903149253,14.827392418680262,20.09937326351462,8.136410984848485,8.131503787878783,8.078089974233336,7.6734264324363135,7.776220078994061,7.659034520805894,5.868055555555555,5.959930555555557,5.63131172791857,5.60598932813394,5.899058415622422,5.842391546753345
2003-02-28,POMRB,1.9944444444444445,14.24,8.105454545454545,5.30111111111111,1.7926825396825394,1.7926825396825394,1.7059596776237904,1.7879084933718654,2.093593785855065,1.9944444169417497,23.705625,22.37625,17.90358969671154,17.5006647224059,19.656694486253286,19.559632544904762,7.950949675324675,8.248617424242418,8.08903580272182,7.6501720832027615,8.914933773338793,9.014473265599388,5.744583333333333,5.820833333333335,5.4992314811955865,5.578593457439115,6.345966992092693,6.008133761867391
2003-05-31,PREMON,3.0636666666666668,34.3,9.18818181818182,6.678888888888888,1.7926825396825399,1.7926825396825397,2.249042473240941,2.103893853040993,3.1611403015326003,3.0636666257757996,23.02375,22.64875,24.46215381802692,21.28676541235399,19.489779350764376,18.433387795030118,7.865998376623377,8.02420454545454,8.52869420890582,7.626988215967458,10.364362355010616,9.242358682189563,5.562777777777778,5.915277777777779,5.971094444272907,5.8325038133514795,6.478379089747275,6.294648412766227
2003-08-31,MONSOON,0.8816666666666666,32.96,6.462142857142857,5.283333333333334,1.7926825396825397,1.7926825396825394,1.7020921506112312,1.8486749367776731,0.9772830713665375,0.8816666483080748,20.9925,24.7625,27.861292290816152,24.695353259356658,23.605087197953736,21.792580920275817,8.04531655844156,7.8776948051948,7.702073668200635,7.603874584110177,6.109208291266215,6.900490074263322,5.521805555555556,5.573888888888891,5.695989999897078,5.7575343205775535,4.628280368979844,5.239856759096966
2003-11-30,POMKH,1.2309523809523808,3.64,7.661428571428572,4.943333333333333,1.7926825396825397,1.7926825396825392,1.513636242747691,1.6943089818109738,1.324544721641854,1.2309523582342807,17.955000000000002,21.285,18.17277537448969,21.571215038018547,18.84101547143314,24.156885066498802,8.254951298701299,7.854301948051942,7.68581562949181,7.5808310088159,7.1649903847713095,7.426947809867368,5.487083333333333,5.551666666666668,5.39492733327158,5.629026149732217,5.784357565120226,5.635155172606582
2004-02-29,POMRB,1.9944444444444445,11.9,9.633571428571429,5.062222222222221,1.7926825396825394,1.7926825396825394,1.7059595234263925,1.7431848842986324,2.0858592664329327,1.9944444203223983,15.079374999999999,20.700000000000003,15.663665224693812,20.145758631087556,19.990243648501774,19.813165205081752,8.21855357142857,8.236331168831164,8.464917949123658,7.557857284478288,8.495717697144102,8.799935286331975,5.471388888888889,5.491944444444446,5.261845288851836,5.5493022338588816,6.238711415421223,5.822908522289165
