Date,Season,Tinsukia,Tinsukia_Trend,Tinsukia_SMA,Tinsukia_EWMA,Tinsukia_DES,Tinsukia_TES,Tinsukia_ARIMA
2010-05-31,PREMON,2.9816235801235806,2.927252485939986,2.917432410182409,3.2051732077613657,3.2036271908229788,3.312929979998557,3.373231295258554
2010-08-31,MONSOON,1.8866666666666667,2.882008459133459,2.953474076849076,2.677770591323486,2.78735204260047,1.681101903000612,1.7866589112180395
2010-11-30,POMKH,2.5875,3.039129229566729,2.901030895030894,2.641662354794091,2.6524222698525954,3.0837750969793203,3.131718922898751
2011-02-28,POMRB,3.9961538461538453,3.2594391025641025,2.862986023236022,3.1834589513379927,3.011798297873208,4.032749746588399,4.181616149372
2011-05-31,PREMON,4.390769230769231,3.3290224358974356,3.2152724358974347,3.666383063110488,3.486593831520236,3.0366204219653024,3.2276632565211116
2011-08-31,MONSOON,2.24,3.420232371794872,3.303605769230768,3.095829837866293,3.1906151788740096,1.8660550671664726,1.8238336967407733
2011-11-30,POMKH,2.790833333333333,3.431148018648019,3.354439102564101,2.973831236053109,3.0881364428942977,3.1034787603889074,2.9294223945403393
2012-02-29,POMRB,4.5225,3.3045796911421914,3.4860256410256394,3.5932987416318656,3.573073849807585,4.260985241906802,4.112676377718066
2012-05-31,PREMON,3.951748251748252,3.182592511655012,3.376270396270395,3.73667854567842,3.8168965666494508,3.792916504661391,3.6600112802576303
2012-08-31,MONSOON,1.6664743589743591,3.0248681526806522,3.2328889860139847,2.9085968709967958,3.2557351845449425,2.136086606150991,1.9785304163377757
2012-11-30,POMKH,2.3884615384615384,2.97231789044289,3.132296037296036,2.7005427379826927,2.974241345961658,3.0144763359124678,2.87790627472754
2013-02-28,POMRB,3.663076923076922,3.015040064102564,2.917440268065266,3.0855564120203844,3.144682156060818,4.2869819369300775,4.265015322333587
2013-05-31,PREMON,4.390769230769231,3.051730769230769,3.0271955128205104,3.607641539519923,3.552498776062328,3.6077744377505687,3.7684552545086696
2013-08-31,MONSOON,1.5692307692307694,3.0903846153846155,3.002884615384613,2.7922772314042614,2.990539412543895,1.8276920264504621,1.8625334658083599
2013-11-30,POMKH,2.7792307692307694,2.970437062937063,3.100576923076921,2.787058646534865,2.8779755446488253,2.6719466847901376,2.6959707041149437
2014-02-28,POMRB,3.5815384615384622,2.7857779720279723,3.080192307692306,3.1048505725363036,3.0511769336407726,4.061099834437784,4.041263845477732
2014-05-31,PREMON,3.5127272727272727,2.5422202797202798,2.860681818181817,3.268001252612691,3.19340508854823,3.8527634481220376,3.9997807048010787
2014-08-31,MONSOON,0.97,2.3702010489510488,2.710874125874125,2.3488007515676146,2.5076561291169166,1.5422773597682014,1.7535075063313048
2014-11-30,POMKH,1.43,2.2460483266733267,2.3735664335664324,1.9812804509405688,2.0739164215307184,2.4204548261173415,2.7269199882207364
2015-02-28,POMRB,3.5546153846153845,2.1220879120879124,2.366835664335663,2.610614424410495,2.4019355267441367,3.391567899182783,3.870375553594506
2015-05-31,PREMON,2.546428571428572,2.2334981684981687,2.1252609890109877,2.584940083217726,2.39193875857455,3.2853841155202486,3.818734080075326
2015-08-31,MONSOON,0.9446153846153844,2.192504578754579,2.1189148351648335,1.9288102037767894,1.8942610344100832,0.7852535362101865,1.4622635069520362
2015-11-30,POMKH,2.3466666666666667,2.1379990842490844,2.3480815018315004,2.09595278893274,1.9224883277726537,1.6118193526278608,2.244831225583403
2016-02-29,POMRB,2.31,2.3664102564102563,2.0369276556776543,2.181571673359644,1.959755283906553,3.2275479255261508,3.753001756110996
2016-05-31,PREMON,3.3550000000000004,2.523143939393939,2.2390705128205113,2.6509430040157866,2.3589564948267534,2.646896184647603,3.3457949833175817
2016-08-31,MONSOON,1.9633333333333327,2.7101340326340324,2.4937499999999986,2.375899135742805,2.2643392350936047,0.6759995435740733,1.2698442855052716
2016-11-30,POMKH,2.5818181818181816,2.8099176864801865,2.552537878787877,2.4582667541729557,2.3783266008914055,1.9075913341802013,2.2826853110970866
2017-02-28,POMRB,3.5707692307692307,2.6899697698135197,2.8677301864801845,2.9032677448114654,2.8176356176875106,3.035620806939321,3.2166117668472336
2017-05-31,PREMON,2.8925000000000005,2.5736785089910095,2.7521051864801844,2.8989606468868794,2.9781405350526065,3.2776042634642795,3.349216655383153
2017-08-31,MONSOON,1.4662499999999996,2.5514577609890114,2.627834353146851,2.3258763881321274,2.6190712687928124,1.3696544361572252,1.527626773533247
2017-11-30,POMKH,2.148571428571429,2.3730803571428574,2.5195226648351627,2.254954404307848,2.4993489221308973,2.2425801017427203,2.393878437948822
2018-02-28,POMRB,3.826250000000001,2.1938355654761907,2.5833928571428553,2.8834726425847093,2.9511025354709455,3.209194933114264,3.3482585347558063
2018-05-31,PREMON,1.21,2.336054067460318,2.1627678571428555,2.214083585550825,2.4866194240905903,3.179352105842771,3.1794467714864014
2018-08-31,MONSOON,1.7147916666666665,,2.224903273809522,2.014366817997162,2.2276918282363236,1.139724333834498,1.5048119109836098
2018-11-30,POMKH,3.0377777777777784,,2.4472048611111092,2.4237312019094084,,2.006286737367713,2.3026933628914614
