Date,Season,Roorkee,Luksar,Gurukul Narsen,Bhagwanpur,Bahadrabad,Roorkee_Trend,Roorkee_SMA,Roorkee_EWMA,Roorkee_DES,Roorkee_TES,Roorkee_ARIMA,Luksar_Trend,Luksar_SMA,Luksar_EWMA,Luksar_DES,Luksar_TES,Luksar_ARIMA,Gurukul Narsen_Trend,Gurukul Narsen_SMA,Gurukul Narsen_EWMA,Gurukul Narsen_DES,Gurukul Narsen_TES,Gurukul Narsen_ARIMA,Bhagwanpur_Trend,Bhagwanpur_SMA,Bhagwanpur_EWMA,Bhagwanpur_DES,Bhagwanpur_TES,Bhagwanpur_ARIMA,Bahadrabad_Trend,Bahadrabad_SMA,Bahadrabad_EWMA,Bahadrabad_DES,Bahadrabad_TES,Bahadrabad_ARIMA
2006-11-30,POMKH,6.12,2.4,17.1,9.902,4.494999999999999,6.438750000000001,6.0974999999999975,6.127812065983818,6.058305731595702,5.935047213191208,5.65137853972629,2.62,2.672499999999999,2.9625405534482088,3.0110288898895625,3.7592906935153487,2.8151657465772106,16.8525,16.6375,16.602805372925094,18.754459176502557,16.83371303796627,16.5165257808378,9.838583333333332,7.381,7.996478381325716,8.180875896096753,8.27227294528267,8.568925532524343,4.84,4.518750000000002,4.913381316159054,5.682936450623327,5.6956316056500125,6.38256753266594
2007-02-28,POMRB,6.55,2.42,17.42,10.482000000000001,5.24,6.494999999999999,6.304999999999998,6.296687239590291,6.2495051857722395,5.777770357096587,6.136141426711902,2.26125,2.844999999999999,2.745524332068925,2.6249686278747557,2.670535061687224,2.4840384214131515,16.716250000000002,16.8525,16.929683223755056,18.6862436679088,13.978399781257828,16.84034766496337,10.718819444444444,9.01275,8.990687028795431,9.157235416506815,9.395528642830248,9.604976480350972,4.778125000000001,4.807500000000001,5.044028789695432,5.608053686977675,5.1103572241780615,4.2090095016343065
2007-05-31,PREMON,7.52,2.93,15.75,12.506666666666668,5.535,6.405625,6.572499999999999,6.786012343754175,6.845191681749619,7.704430305727129,7.222097901373416,2.2146875,2.3949999999999987,2.819314599241355,2.593953452157197,4.7705278950757135,4.091779683366629,16.516458333333333,16.8525,16.457809934253035,17.912504851307872,17.345577405082835,16.687655300859376,10.64135503472222,10.664416666666668,10.397078883943927,10.584685862860143,11.972027670770986,11.670067345407077,4.789453125,4.8725000000000005,5.240417273817259,5.6010644404942695,6.474839975921203,5.554379827166134
2007-08-31,MONSOON,5.48,0.76,16.05,10.20222222222222,3.465,6.225,6.417499999999999,6.263607406252505,6.427390723188172,5.7130980107231695,6.212258085837544,2.334375,2.1274999999999986,1.995588759544813,1.7309393187449167,2.4681021452443996,3.1556832177861196,16.04416666666667,16.58,16.29468596055182,17.295850983044257,18.039434284015865,16.964121098746478,10.537237847222222,10.773222222222223,10.319136219255245,10.3950601085963,10.178119836099475,10.518075708008434,4.90453125,4.68375,4.530250364290356,5.214913586825862,4.660559770715481,4.717471095257562
2007-11-30,POMKH,6.025,3.0975,16.59166666666667,8.8470625,5.340624999999998,6.09,6.393749999999998,6.168164443751503,6.282470121283625,6.043528636018692,5.746629736181725,2.430625,2.3018749999999986,2.436353255726888,2.127180435894356,2.4907354987515795,2.5321781870936904,15.078108974358974,16.452916666666667,16.41347824299776,16.95645053796417,17.254867465672653,16.718019627679556,10.56509201388889,10.509487847222223,9.730306731553148,9.701848970785512,10.633990606673901,11.141389490192669,4.89828125,4.895156249999999,4.854400218574213,5.244003433969599,4.917502021111665,4.5787626398479695
2008-02-29,POMRB,5.2,2.68,14.15,10.704,5.315,6.08875,6.056249999999998,5.780898666250902,5.80527008998261,5.85230647451332,6.137763488126551,2.538125,2.3668749999999985,2.5338119534361327,2.2524269967287562,1.8854674898546049,2.6697533154859654,14.588926282051283,15.635416666666668,15.508086945798654,15.800763604721418,15.362667362001979,16.804316897788972,10.623199652777778,10.564987847222223,10.119784038931888,10.113002602291518,9.423270182431551,9.783452738129254,4.82453125,4.91390625,5.038640131144528,5.2630708192084885,4.752123876204969,5.46413520077462
2008-05-31,PREMON,7.79,3.44,11.291538461538464,12.5075,5.41,6.045625,6.1237499999999985,6.584539199750541,6.556881918271912,7.5413215658705814,7.209489687052479,2.5609374999999996,2.4943749999999985,2.8962871720616796,2.6873462187338597,4.242460857843203,2.9859444907008776,14.72059294871795,14.520801282051284,13.821467552094578,13.856074836370398,15.82620244046413,15.515418430814426,10.8965703125,10.565196180555557,11.074870423359133,11.12531639511594,12.132470518102863,11.931540452639114,4.596328124999999,4.88265625,5.187184078686717,5.296115482048462,6.228638984374614,5.431456079074327
2008-08-31,MONSOON,5.2,1.11,16.595,10.666249999999998,3.0,6.157500000000001,6.053749999999998,6.030723519850325,6.067929377555034,5.622241608441979,5.5476856459714,2.6925,2.5818749999999984,2.181772303237008,2.0186308931049726,2.1953140877738258,0.7355187715619809,14.988509615384617,14.657051282051285,14.930880531256747,14.218573430815393,15.71494249532891,14.557447800803246,11.144874999999999,10.681203125000001,10.91142225401548,10.90132698964482,10.229530669100399,10.547694570410627,4.355,4.76640625,4.31231044721203,4.880199376498761,4.445700855550147,4.267997955634166
2008-11-30,POMKH,5.96,2.93,17.1,10.57,3.98,6.27125,6.037499999999998,6.002434111910194,5.978013321898269,5.921118801786673,5.934783518131083,2.89125,2.5399999999999983,2.4810633819422048,2.3292236444625845,2.371102000877558,2.6235135882732403,15.192884615384617,14.784134615384616,15.798528318754048,14.855051853335565,16.063939105450917,15.273246723953246,11.27955357142857,11.111937500000002,10.774853352409288,10.733089619920191,10.967267197534152,11.190966128690873,4.258125,4.4262500000000005,4.179386268327218,4.720356449271815,4.637957653389914,5.0482003739160035
2009-02-28,POMRB,6.16,3.9,15.785,10.9675,4.745,6.45375,6.277499999999998,6.065460467146117,6.0028348258150075,5.739473899507901,5.385698861548629,3.0075000000000003,2.8449999999999984,3.048638029165323,3.00021153773223,1.7540627754894134,3.2026381903976393,15.124759615384617,15.192884615384616,15.793116991252429,15.006481354489981,14.35042748792524,14.833074452935614,11.513013392857143,11.177812500000002,10.851912011445572,10.809882987876849,10.705848129831743,11.16283219074555,4.439375,4.28375,4.4056317609963305,4.730303722177162,4.193016517092834,5.055457756438431
