Date,Season,Nongpoh,Nongpoh_Trend,Nongpoh_SMA,Nongpoh_EWMA,Nongpoh_DES,Nongpoh_TES,Nongpoh_ARIMA
2012-11-30,POMKH,3.5250000000000004,3.0140624999999996,2.816250000000001,2.7728953724091205,2.497236122210686,2.426562971794158,2.235199958018221
2013-02-28,POMRB,4.025,3.0590625,3.0025000000000013,3.2737372234454725,2.7033246170075493,3.8225552448957636,3.4337639115224983
2013-05-31,PREMON,3.01,2.9275,3.025625000000001,3.1682423340672834,2.752904851881794,3.3099467067863495,3.01928927507489
2013-08-31,MONSOON,1.81,2.56875,3.092500000000001,2.62494540044037,2.641723481281169,2.1324463178970228,1.912618724461125
2013-11-30,POMKH,2.205,2.3518749999999997,2.762500000000001,2.4569672402642224,2.595323914104521,3.2699127242667405,2.7957891935795667
2014-02-28,POMRB,2.475,2.261875,2.375000000000001,2.4641803441585335,2.5895037327963126,3.8145495142327115,3.3456334462377524
2014-05-31,PREMON,2.825,2.250625,2.3287500000000008,2.60850820649512,2.6294916444965812,2.658064762516701,2.6791460652031107
2014-08-31,MONSOON,1.275,2.3356250000000003,2.1950000000000007,2.0751049238970722,2.464837524035309,1.4571045575170225,1.8641687321755058
2014-11-30,POMKH,2.65,2.150625,2.306250000000001,2.3050629543382435,2.4978775588549995,2.2433350547598057,2.5530740399114293
2015-02-28,POMRB,2.71,1.899375,2.3650000000000007,2.4670377726029464,2.5345132505952344,2.9545766857026003,2.9317221626004892
2015-05-31,PREMON,1.11,1.75875,1.9362500000000005,1.924222663561768,2.3604861556678536,2.590144870215343,2.721740421324249
2015-08-31,MONSOON,0.98,1.69125,1.8625000000000003,1.546533598137061,2.191480847757726,0.8473482119988893,1.3476754057831601
2015-11-30,POMKH,1.82,1.9443750000000002,1.6550000000000002,1.6559201588822368,2.15180567005026,1.8642195650955835,2.235348410556919
2016-02-29,POMRB,3.0,2.1837500000000003,1.7275000000000003,2.193552095329342,2.269077247861485,2.1680844951267173,2.3496359967322045
2016-05-31,PREMON,2.845,2.2667187500000003,2.1612500000000003,2.4541312571976053,2.3517174158070615,1.5502623296798692,1.9454449263688378
2016-08-31,MONSOON,1.16,2.3276041666666667,2.2062500000000003,1.936478754318563,2.2069929071232663,1.0840152420813312,1.5028879397600292
2016-11-30,POMKH,2.30375,2.3286458333333337,2.3271875,2.083387252591138,2.2276848240748564,2.1194575360094325,2.1134290446659563
2017-02-28,POMRB,3.0033333333333334,2.311770833333333,2.3280208333333334,2.451365684888016,2.335895410830862,2.9000087953204803,2.723891179770951
2017-05-31,PREMON,2.85,2.2513020833333335,2.329270833333333,2.61081941093281,2.4108225276078037,2.372812295820762,2.181853637585714
2017-08-31,MONSOON,1.02,2.2454166666666664,2.294270833333333,1.9744916465596858,2.2406735875835113,1.3227001019882036,1.4798577124938908
2017-11-30,POMKH,1.96,2.245,2.208333333333333,1.9686949879358115,2.2128778575608545,2.3388031970845917,2.0696936084789757
2018-02-28,POMRB,3.3,2.21625,2.2824999999999998,2.5012169927614867,2.3611511720123954,2.9665016549916525,2.780997246073632
2018-05-31,PREMON,2.55,2.328125,2.2075,2.520730195656892,2.3942793790149097,2.6312274115407526,2.790849308978059
2018-08-31,MONSOON,1.09,,2.225,1.9484381173941352,2.2352155475049673,1.1572029050636723,1.3207178910603712
2018-11-30,POMKH,2.785,,2.4312500000000004,2.2830628704364813,,2.1862597747294616,2.0795684288531238
