Date,Season,Newali,Thikri,Sendhawa,Barwani,Rajpur,Newali_Trend,Newali_SMA,Newali_EWMA,Newali_DES,Newali_TES,Newali_ARIMA,Thikri_Trend,Thikri_SMA,Thikri_EWMA,Thikri_TES,Thikri_ARIMA,Sendhawa_Trend,Sendhawa_SMA,Sendhawa_EWMA,Sendhawa_TES,Sendhawa_ARIMA,Barwani_Trend,Barwani_SMA,Barwani_EWMA,Barwani_DES,Barwani_TES,Barwani_ARIMA,Rajpur_Trend,Rajpur_SMA,Rajpur_EWMA,Rajpur_DES,Rajpur_TES,Rajpur_ARIMA
2007-08-31,MONSOON,3.24,6.795,2.82,4.395,4.8285714285714265,7.385,6.502499999999999,5.779434079585745,7.582674252213461,4.3719165279612175,4.060875272641569,8.390625,7.638749999999991,8.672970571802423,10.564817445031682,11.216965735962418,5.47375,5.3925,4.824396745765861,3.2520797332190714,3.3255831127589817,7.65875,7.3787499999999975,7.445676311845881,7.430669911482514,6.132710386790682,6.567646148385141,7.8149999999999995,7.703794642857144,7.546954623939262,8.52016910585063,6.256647722272286,5.4987747792786745
2007-11-30,POMKH,9.43,7.5699999999999985,6.49,6.315,7.047142857142857,7.955,6.9399999999999995,7.239660447751447,7.596313908799899,8.17029368823631,7.029110819756203,8.388125,8.046249999999992,8.231782343081454,9.684907150494707,8.997136093527962,5.06875,5.7925,5.490638047459516,5.447585438801367,6.197507881674959,7.80125,7.609999999999998,6.993405787107529,6.738955425567751,7.876296937302404,7.916288089836354,7.733888888888889,7.874642857142859,7.3470299172207,8.065795301444561,7.320351801326241,5.756346922435467
2008-02-29,POMRB,11.8,9.88,4.22,8.899999999999997,7.7628571428571425,8.731250000000001,7.83,9.063796268650869,7.614927411977744,9.330538348250887,9.025956716859236,9.2875,8.734999999999992,8.891069405848873,11.553433233939343,10.124815105711582,5.173750000000001,5.155,4.98238282847571,5.748989063896171,5.787178714315539,8.461875,7.707499999999998,7.7560434722645155,7.364734177014917,9.085883619916537,9.250911367575021,8.008067956349207,7.755357142857144,7.513360807475277,7.852729264596319,8.359036918189814,7.631631544308439
2008-05-31,PREMON,7.85,7.92,6.4,11.97,11.211111111111114,9.01625,8.08,8.57827776119052,7.625217390440396,10.601223176690198,12.012863219312214,11.557500000000001,8.041249999999993,8.502641643509325,13.68276949404753,12.970025968648681,5.27625,4.982500000000001,5.549429697085426,7.068478109157129,6.603672850666905,9.09625,7.894999999999998,9.44162608335871,9.150022006852394,14.48031577395658,11.326850237875059,8.47750992063492,7.712420634920636,8.992460928929612,8.582277304781188,11.547837029282164,11.239490485656722
2008-08-31,MONSOON,8.45,16.765,4.35,8.93,7.19375,8.61875,9.382499999999999,8.526966656714311,7.636760984741359,4.396982338136463,3.9795033997526987,17.371250000000003,10.533749999999992,11.807584986105596,10.043662662291688,10.52995034419663,5.49125,5.365,5.0696578182512555,2.801924666691585,3.115579874299183,9.22625,9.028749999999999,9.236975650015225,9.130351658582944,6.34862643972064,5.761255076786274,8.72188492063492,8.303715277777778,8.272976557357767,8.229184285029183,5.888443835099685,5.927854717651873
2008-11-30,POMKH,6.5,15.760000000000002,5.78,6.855,8.4375,8.73875,8.649999999999999,7.716179994028586,7.644193573443716,8.195359542983883,7.184631744798119,22.2025,12.581249999999992,13.388550991663358,9.708245194881911,8.825144095039574,5.83875,5.1875,5.353794690950753,5.833198635070855,5.347093355357277,10.762500000000001,9.16375,8.284185390009135,8.233679166225945,8.092212997555738,6.995904148835713,8.928020833333333,8.651304563492063,8.338785934414659,8.229041470447278,7.358029030691519,7.851221910219726
2009-02-28,POMRB,11.55,48.2,6.65,9.4,8.327499999999999,8.4525,8.587499999999999,9.24970799641715,7.662242115493954,9.355604177595213,9.14981081704561,20.918125,22.161249999999995,27.313130594998015,12.02142336635943,10.394514181962425,5.91375,5.795,5.872276814570451,5.15767322357468,5.101176456218321,11.900208333333335,9.28875,8.730511234005482,8.677097306611033,9.301799680719384,8.653799940849506,8.947951388888887,8.792465277777778,8.334271560648794,8.209942617876402,8.59757415961773,7.9825368281894145
2009-05-31,PREMON,9.06,8.25,6.75,23.76,12.295555555555556,8.98375,8.889999999999999,9.17382479785029,7.675038516737596,10.626289003669918,11.63271612216719,18.035000000000004,22.243749999999995,19.68787835699881,16.26219857862121,14.037886509692441,5.7787500000000005,5.8825,6.223366088742271,7.345225530310782,7.672955022661899,11.444791666666669,12.236250000000002,14.74230674040329,15.587291362182071,14.696231835241115,10.732033423150968,8.644960317460317,9.063576388888889,9.918785158611499,9.251629389344394,11.834797831415663,11.475576524924131
2009-08-31,MONSOON,4.95,6.16,4.6,6.241666666666667,6.26875,9.771249999999998,8.015,7.484294878710174,7.679179606475175,4.422048175302478,4.191648586320435,12.175625,19.592499999999994,14.276727014199285,12.619354887717364,12.94439942084459,5.325,5.945,5.574019653245362,3.7432045278727246,4.016209918107561,11.091666666666667,11.564166666666669,11.34205071090864,12.808977614181172,6.56454252063002,8.92066893257638,8.385962301587302,8.832326388888887,8.458771095166899,8.634732768892741,6.29382332033526,6.416724000025141
2009-11-30,POMKH,14.25,3.3,4.45,5.9,6.9385714285714295,10.188749999999999,9.9525,10.190576927226104,7.702878667451076,8.220425349846641,7.214970047553995,7.805000000000001,16.477499999999992,9.88603620851957,11.667043940418132,10.946884180564071,5.0562499999999995,5.6125,5.124411791947217,6.164283873468239,6.781631586308984,9.980729166666666,11.32541666666667,9.165230426545184,10.526242839951665,8.308129073540714,7.290725666464594,8.059469246031746,8.457594246031745,7.850691228528711,8.21829025684239,7.565859903881474,6.835015558750749
2010-02-28,POMRB,10.1,13.785,4.35,7.5299999999999985,7.754444444444442,10.781250000000002,9.59,10.154346156335663,7.717829374458183,9.380670050865428,9.343044612655861,7.552499999999999,7.8737499999999905,11.445621725111742,13.261303500620597,14.185580993012769,4.7375,5.0375,4.81464707516833,5.603100928508477,5.5296957153432444,9.218958333333335,10.85791666666667,8.51113825592711,9.532081330999755,9.517715754718973,9.024728585930749,7.750858134920635,8.314330357142854,7.812192514895003,8.046696711243658,8.55196760151684,7.935872199419338
2010-05-31,PREMON,13.85,7.7,6.9,16.7425,10.256666666666668,9.981250000000001,10.7875,11.632607693801397,7.740655509524614,10.651354864259718,11.384964232278099,7.3412500000000005,7.736249999999991,9.947373035067045,15.559272866778494,13.413143595385561,4.54625,5.074999999999999,5.648788245100999,6.619221663960074,6.4223965112056955,9.556874999999998,9.103541666666668,11.803682953556265,12.851815365282766,14.912147905703856,15.839576112809384,7.595255456349206,7.804608134920632,8.789982175603669,8.55340970486198,11.710870148757165,11.727374163027678
2010-08-31,MONSOON,4.9,4.69,1.9,7.165,5.83875,8.85625,10.774999999999999,8.939564616280839,7.744637820815279,4.447114076854072,4.35583978159649,6.591875000000001,7.368749999999991,7.844423821040227,11.863242668912653,11.790458863356504,4.89875,4.399999999999999,4.1492729470606,3.6213088149871293,3.114162009508795,10.003125,9.334375000000001,9.94820977213376,11.041528017552828,6.7804585788278855,7.883326876547423,7.481472222222223,7.697108134920632,7.609489305362201,7.882215709855572,5.885542238807995,5.85804463383847
2010-11-30,POMKH,7.9,3.08,5.62,7.68,6.12375,7.525,9.187499999999998,8.523738769768503,7.754926992883345,8.24549125075293,7.533241441237939,7.1625000000000005,7.313749999999991,5.938654292624136,10.80979987010582,9.73635599437366,4.89875,4.692499999999999,4.73756376823636,4.763358166473219,4.1475925678433,9.431562499999998,9.779375000000002,9.040925863280256,9.90998217208526,8.524045132938067,7.055981145073689,7.375652777777779,7.493402777777774,7.015193583217321,7.345274445741741,7.154353770970724,7.256886091440447
2011-02-28,POMRB,7.45,8.01,6.0,9.32,7.6590000000000025,6.46875,8.524999999999999,8.094243261861102,7.764261241417752,9.405735896968412,9.44337690910311,8.28125,5.869999999999991,6.767192575574482,12.376884843492201,13.435922254289727,4.61125,5.104999999999999,5.242538260941815,4.861399264762764,4.810834099163437,8.415625,10.226875000000001,9.152555517968153,9.777118062892724,9.733631816768362,8.531672003686236,7.03803125,7.469541666666665,7.272716149930393,7.2700441906300926,8.080573009892802,7.804393239882041
2011-05-31,PREMON,5.85,18.04,5.25,10.38,9.505555555555556,6.543749999999999,6.524999999999999,7.196545957116661,7.770222469425942,10.676420687366477,11.41658997903487,8.5675,8.454999999999991,11.276315545344689,14.341466755472903,12.15451231553529,4.59625,4.692499999999999,5.24552295656509,6.8145831331294335,6.039655922789246,8.143749999999999,8.636250000000002,9.643533310780892,10.122631218209312,15.12806397042224,16.26185496260676,6.792579861111112,7.281763888888888,8.16585191218046,7.709335229609575,11.295300553382619,10.777571038149873
2011-08-31,MONSOON,4.45,3.3,1.25,5.4,3.888888888888889,7.137499999999999,6.412499999999998,6.097927574269996,7.773234106997924,4.47217983097329,4.400670125364536,9.174375,8.107499999999991,8.085789327206813,11.210676689648519,10.707561629054595,4.83125,4.529999999999999,3.6473137739390538,2.8537583388244974,3.243288733627832,8.035,8.195000000000002,7.946119986468536,8.264180954037185,6.996374632392003,6.911051346544754,6.7174861111111115,6.794298611111109,6.455066702863831,6.694624883791716,5.420147941945585,6.148333932777813
2011-11-30,POMKH,8.95,6.76,6.15,7.27,6.109999999999999,7.95,6.674999999999999,7.238756544561998,7.785708455586298,8.270557000788243,7.750959774012519,9.071875,9.027499999999991,7.555473596324088,10.073189108936798,8.84072954369731,4.9125,4.662499999999999,4.648388264363433,4.77528383868864,4.846249164100733,9.2875,8.092500000000003,7.675671991881121,7.748779691555834,8.739961183143372,7.323658163866782,6.959388888888889,6.790861111111109,6.317040021718299,6.358760998148844,6.468530369452747,6.520815282118871
2012-02-29,POMRB,11.15,9.185,7.35,8.86,7.072,8.166875000000001,7.599999999999999,8.803253926737199,7.802800029688916,9.43080165581458,9.380755993497834,9.2228125,9.321249999999992,8.207284157794453,11.840121141317978,12.667459784053577,4.883125000000001,4.999999999999998,5.72903295861806,5.061564026688368,4.4575590851755,10.551041666666666,7.977500000000003,8.149403195128672,8.070512344421086,9.949547865912372,8.593255409067432,7.296971354166667,6.644111111111109,6.619024013030979,6.3363610574701985,7.4945460718170915,7.836124667802028
