Date,Season,Beohari,Jaysing Nagar,Burhar,Sohagpur,Gohparu,Beohari_Trend,Beohari_SMA,Beohari_EWMA,Beohari_DES,Beohari_TES,Beohari_ARIMA,Jaysing Nagar_Trend,Jaysing Nagar_SMA,Jaysing Nagar_EWMA,Jaysing Nagar_DES,Jaysing Nagar_TES,Jaysing Nagar_ARIMA,Burhar_Trend,Burhar_SMA,Burhar_EWMA,Burhar_DES,Burhar_TES,Burhar_ARIMA,Sohagpur_Trend,Sohagpur_SMA,Sohagpur_EWMA,Sohagpur_DES,Sohagpur_TES,Sohagpur_ARIMA,Gohparu_Trend,Gohparu_SMA,Gohparu_EWMA,Gohparu_DES,Gohparu_TES,Gohparu_ARIMA
2004-11-30,POMKH,3.6,3.648571428571429,4.46,5.666666666666668,5.83,5.4275,4.885000000000002,4.641280840628994,4.422267841254855,4.725066585594176,4.47683476160909,5.230736607142857,4.79339285714286,4.469913319819845,5.805503857162977,4.300630696835567,4.25975688081105,6.425,5.929999999999999,5.635816882303315,5.751451542781864,3.929539543473749,4.15102216935092,6.386666666666668,6.01625,5.875820617623729,6.202354040919882,5.426968087511343,5.109462986355727,7.470000000000001,7.220000000000008,6.567266540888468,7.149261611704955,5.862128673295972,5.974978659373084
2005-02-28,POMRB,5.68,5.8725000000000005,6.0,6.6000000000000005,8.16,5.236249999999999,5.335000000000002,5.056768504377397,5.070337739082503,5.521697915746469,4.635245834602255,5.066049107142858,5.1880803571428595,5.030947991891907,5.845643215751352,5.3169440510716095,5.181917155180213,6.43,6.254999999999999,5.781490129381989,5.799930493583578,6.450975798334905,5.225979302419182,6.389166666666667,6.191666666666667,6.165492370574238,6.25729437258856,6.5831854328875865,6.290345085041013,7.245,7.382500000000009,7.204359924533081,7.343133391085615,7.576482962074361,7.375870754913138
2005-05-31,PREMON,7.52,7.17125,9.12,8.951666666666666,11.01,5.0375,5.520000000000001,6.0420611026264375,6.978121554185113,7.200217408383834,7.179087717033234,4.8224776785714285,5.273392857142859,5.887068795135145,5.886060100862897,7.1565065034536754,7.438241190908938,6.1825,6.594999999999999,7.116894077629193,6.344243138102304,8.762655011456204,7.783321500264064,5.949791666666666,6.581666666666667,7.279962089011209,6.578488126720596,8.2101276826143,8.353879278908439,7.12875,7.557500000000008,8.726615954719849,8.25849900062512,10.961921230551537,10.748649313021783
2005-08-31,MONSOON,3.01,2.7425,5.48,3.5683333333333334,2.73,5.0825,4.952500000000001,4.829236661575862,4.981522254085465,4.498157701492008,4.529622073527642,4.834375,4.858705357142859,4.6292412770810865,5.926756420975467,4.147032425635066,3.938310732810559,6.1375,6.264999999999999,6.4621364465775155,6.213972200734497,5.914130851498152,6.528478899693982,5.704375,6.196666666666667,5.795310586740059,6.248834853679622,5.593250201934037,5.8605314203711405,7.40375,6.932500000000007,6.327969572831909,7.042795354010293,4.5902642099366755,4.9080857840989465
2005-11-30,POMKH,4.28,3.35875,3.8,3.6916666666666655,7.4,4.9625,5.1225000000000005,4.609541996945517,4.399030660878405,4.984517312524101,3.7153048361070673,4.847968750000001,4.786250000000002,4.121044766248652,5.967734117219498,3.417512670937459,3.0627662783083824,6.11,6.099999999999999,5.397281867946509,5.833375653055809,4.153750026373817,4.168306168070458,5.611041666666667,5.702916666666667,4.953853018710702,5.96391666800992,5.282437592309743,4.681280968726782,7.407499999999999,7.325000000000008,6.756781743699146,7.06103358697123,5.822857139638292,5.196961077841776
2006-02-28,POMRB,5.36,6.257500000000001,6.3,6.611666666666667,8.79,4.90625,5.0425,4.90972519816731,4.818129796419067,5.78114864543449,5.081505134634366,4.7878125,4.882500000000002,4.975626859749191,6.008995139156797,4.824583382011524,5.047742509966689,6.021249999999999,6.174999999999999,5.758369120767905,5.917172556048297,6.215534056972793,6.18088081159857,5.490208333333333,5.7058333333333335,5.616978477893088,6.041920544712359,5.938509157633847,5.603188980380962,7.45,7.482500000000008,7.570069046219487,7.438202657497359,7.720082450956645,7.996003708963745
2006-05-31,PREMON,6.88,6.8950000000000005,8.6,8.193333333333333,10.41,5.0325,4.8825,5.697835118900386,6.303992216977599,7.4596681342717455,7.190887790346291,4.92140625,4.813437500000002,5.7433761158495145,6.050541441621529,7.241993636317728,7.645534995353591,6.097499999999999,6.045,6.895021472460742,6.358800691263884,8.854202829384258,8.61351017989642,5.645416666666666,5.516249999999999,6.647520420069187,6.2950460626795195,7.744786354953168,8.407011109764282,7.50625,7.3325000000000085,8.706041427731693,8.212643268559724,11.048890534882448,10.99426952886969
2006-08-31,MONSOON,3.2,2.5375,5.29,3.36,3.67,5.1625,4.93,4.698701071340231,4.677465195530956,4.757608421481093,4.205450862856676,5.075312500000001,4.762187500000002,4.461025669509709,6.092374988025906,3.99427203260376,3.6003887280471676,6.11,5.9975,6.253012883476446,6.1955340159645855,5.662155702085911,5.2342675297606505,5.792291666666666,5.4641666666666655,5.332512252041512,5.967502593776628,5.047853612469815,5.255043533410078,7.397500000000001,7.567500000000009,6.691624856639016,7.2399078900098415,4.340169633540012,4.384074497857674
2006-11-30,POMKH,5.1,4.6325,4.6,5.141666666666667,6.91,5.1775,5.135,4.859220642804139,4.815647185840438,5.243968032057765,3.890156338369322,5.10046875,5.080625000000002,4.529615401705826,6.134497776033725,3.230346198480275,2.9373590208755727,5.984999999999999,6.197499999999999,5.591807730085867,5.947011838902329,3.936626979992784,3.5961046719148304,5.698333333333334,5.826666666666665,5.256174017891574,5.875719514781488,4.829138011153468,4.430704648015683,7.0375,7.445000000000009,6.77897491398341,7.125927529527054,6.1818539765367175,5.885052919905666
2007-02-28,POMRB,5.58,6.215,5.6,6.336666666666668,8.41,5.543749999999999,5.1899999999999995,5.147532385682483,5.293985228782299,6.040599368644327,5.4617017327927835,5.5096428571428575,5.070000000000002,5.203769241023496,6.176911804540451,5.599606582063085,6.024026751036475,6.36125,6.022499999999998,5.595084638051519,5.899647846464697,6.37015004572671,5.813881866366431,6.050833333333333,5.757916666666666,5.688371077401612,5.93013229043741,6.005254980862387,6.236422571302956,6.68625,7.35000000000001,7.431384948390045,7.401463479799258,7.955661616824234,8.000473837087846
