Date,Season,Dharampur,Valsad,Pardi,Kaprada,Umbergaon,Dharampur_Trend,Dharampur_SMA,Dharampur_EWMA,Dharampur_DES,Dharampur_TES,Dharampur_ARIMA,Valsad_Trend,Valsad_SMA,Valsad_EWMA,Valsad_DES,Valsad_TES,Valsad_ARIMA,Pardi_Trend,Pardi_SMA,Pardi_EWMA,Pardi_DES,Pardi_TES,Pardi_ARIMA,Kaprada_Trend,Kaprada_SMA,Kaprada_EWMA,Kaprada_DES,Kaprada_TES,Kaprada_ARIMA,Umbergaon_Trend,Umbergaon_SMA,Umbergaon_EWMA,Umbergaon_DES,Umbergaon_TES,Umbergaon_ARIMA
2007-05-31,PREMON,9.923333333333332,9.5475,5.6750000000000025,7.1675,4.4475,5.7225,6.063333333333333,7.468181011292042,8.166179855389366,9.381618918640344,9.306492224543778,6.564375,7.058749999999998,8.09929525449395,7.387407823346795,9.21997037978856,9.121606876127991,3.525000000000001,3.5424999999999995,4.46365166237832,4.480040058935543,5.284940022907465,5.2734959344131855,4.5365625000000005,4.81875,5.700462885626617,6.146234592794871,8.068726581065345,7.940417684339278,3.4315625,3.516249999999997,3.9454812633906577,3.7384597056467896,4.3349532596977625,4.507518630494031
2007-08-31,MONSOON,0.37,1.935,0.67,1.56,1.34,5.236249999999999,5.852499999999999,4.628908606775225,5.182301354444052,2.9974253138681415,3.5249703548448412,6.034479166666667,6.673124999999998,5.633577152696369,6.590245387703772,4.195209365539712,3.9249811265955366,3.5037500000000006,3.4712499999999995,2.946190997426992,3.150294850242676,1.6022673793668272,1.5480311900099955,4.366562500000001,4.593749999999999,4.044277731375971,4.872268960862321,2.3670435961982177,2.4983725098202565,3.3809375,3.463124999999997,2.9032887580343947,3.06786779184627,1.704893537737926,1.9431948470977976
2007-11-30,POMKH,5.4366666666666665,5.7875,3.65,4.0425,3.62,4.88,5.592499999999999,4.952011830731801,5.199199657844405,4.766596804295247,5.017364561297701,5.577083333333333,6.455624999999997,5.695146291617821,6.458856556917934,6.669613841573444,6.480372938566831,3.43875,3.578749999999999,3.2277145984561955,3.2306225860730855,3.79739880231499,3.7976608535725314,4.228125,4.479374999999999,4.043566638825583,4.7890362446447154,4.145798468318949,4.2572728276338205,3.4228125,3.3999999999999972,3.1899732548206368,3.184499803492816,3.614155242950782,3.6860786025939225
2008-02-29,POMRB,3.79,5.183333333333334,3.72,4.245,4.04,5.073333333333333,4.879999999999999,4.487207098439081,4.44221361084705,5.807405161682631,5.993288191884413,5.733645833333333,5.613333333333331,5.490421108304027,6.231801033698485,7.79598591706362,7.6657263323589016,3.546875,3.428749999999999,3.4246287590737174,3.355823167191805,3.9832476964257046,4.006825901443031,4.3259375,4.25375,4.12413998329535,4.7969110974413605,5.085946026160888,5.055035391954034,3.6540625,3.3618749999999977,3.529983952892382,3.4357928239800777,3.9671556724088117,4.179735133094911
2008-05-31,PREMON,9.923333333333334,9.2575,5.755,6.9625,4.9350000000000005,5.009166666666666,4.879999999999999,6.661657592396782,7.160424742786611,8.311251043150133,8.20754581398189,5.911770833333334,5.540833333333331,6.997252664982416,6.7033170228200065,9.133754778223878,9.099146846051664,3.5918750000000004,3.448749999999998,4.35677725544423,4.368532864545924,5.2663770446655045,5.379979902924339,4.603125,4.2025,5.25948398997721,5.6999853715803,7.759465222699124,7.782013113871319,3.87,3.4837499999999983,4.091990371735429,3.9642341849989946,4.3274546267942275,4.498589274772382
2008-08-31,MONSOON,1.9166666666666667,3.4775,1.455,2.5475000000000003,2.7025,4.861249999999999,5.266666666666666,4.763661222104736,5.218071203480897,2.2607807041282917,2.6248207439838187,6.172291666666667,5.926458333333331,5.58935159898945,6.190009532964078,3.505171926287364,3.369527717696358,3.58875,3.6449999999999982,3.196066353266538,3.418732896311151,1.2366327407881985,1.2738494201219284,4.76,4.449375,4.174690393986326,4.882058960520123,2.0710818019123494,2.3302527176429053,3.9678125,3.824374999999998,3.5361942230412575,3.7042272828068965,1.5986954270822031,1.8640989750958026
2008-11-30,POMKH,3.3766666666666665,5.670000000000001,3.225,5.2725,3.985,4.629583333333334,4.751666666666665,4.208863399929508,4.313580501787564,4.74185145213616,5.558866048648834,6.522812500000001,5.897083333333331,5.62161095939367,6.0638061804704,6.407392216680456,6.359604852531819,3.7887499999999994,3.538749999999998,3.2076398119599228,3.3097908366892184,3.762711548637011,3.7403777069663806,4.808437499999999,4.756875,4.6138142363917956,5.202200802365805,4.025001368940167,4.2207342225871685,4.2090625,3.9156249999999977,3.7157165338247546,3.8584904565420453,3.687778298882321,3.6765610873720114
2009-02-28,POMRB,4.666666666666667,7.385,4.12,4.27,4.4575000000000005,4.4037500000000005,4.970833333333332,4.391984706624371,4.2692793549862165,5.148100567527478,5.485168452872454,6.5884375,6.447499999999997,6.326966575636202,6.235989484044823,7.149110768684087,6.96129522587291,4.08625,3.6387499999999977,3.572583887175954,3.6007269051954633,3.875947131327171,3.9062152248475064,4.7993749999999995,4.763125,4.4762885418350775,5.0980594936860175,4.9200110865369355,4.907017135041279,4.2428125,4.019999999999998,4.012429920294853,4.140262322157115,4.079511518128772,4.160914529107567
2009-05-31,PREMON,7.1933333333333325,9.86,6.955,7.3249999999999975,6.4475,4.763958333333333,4.288333333333332,5.512524157307956,5.614281538792218,8.130837264951762,8.184057267337854,6.625624999999999,6.598124999999998,7.740179945381721,6.829108376998043,9.262994366591025,9.267263882263464,4.20375,3.938749999999998,4.925550332305573,5.142976314436491,5.414917087681353,5.477985209549501,4.584374999999999,4.85375,5.615773125101046,6.033189684080939,7.611290976067101,7.590573507850185,4.0025,4.398124999999997,4.986457952176911,5.056773695340558,4.603192462524767,4.553058940202825
2009-08-31,MONSOON,2.84,3.3999999999999995,2.635,2.1125000000000003,1.46,5.42625,4.519166666666665,4.4435144943847735,4.498690194725277,1.2854474783666223,1.875148614852122,6.634687499999998,6.578749999999998,6.004107967229032,6.313314111673638,3.6303199683349394,3.571681899755715,4.1775,4.233749999999999,4.009330199383344,4.5684431819700695,1.4409632358816276,1.3253750896814402,4.58375,4.745,4.214463875060628,4.974602310647433,2.153027445688633,2.320672218151592,3.83,4.087499999999997,3.5758747713061467,4.223496596156775,2.080157438400399,1.9704064019989609
