Date,Season,Tandwa,Itkhori,Chatra,Simaria,Tandwa_Trend,Tandwa_SMA,Tandwa_EWMA,Tandwa_DES,Tandwa_TES,Tandwa_ARIMA,Itkhori_Trend,Itkhori_SMA,Itkhori_EWMA,Itkhori_DES,Itkhori_TES,Itkhori_ARIMA,Chatra_Trend,Chatra_SMA,Chatra_EWMA,Chatra_DES,Chatra_TES,Chatra_ARIMA,Simaria_Trend,Simaria_SMA,Simaria_EWMA,Simaria_DES,Simaria_TES,Simaria_ARIMA
2005-11-30,POMKH,6.5,5.48,5.645,9.3,7.030000000000001,7.547499999999992,7.221290786772448,7.389851499591272,6.107637933618269,3.9686372722146483,5.45875,5.710000000000001,5.4168174064247285,5.771640115171982,4.509662706706796,4.1361442952911345,6.50625,6.175,6.030451351083724,5.5154791264700185,5.532283392707019,4.733708204489826,10.131458333333335,9.317916666666667,9.350499591712484,8.834018028985485,8.95109839736751,7.453537091200571
2006-02-28,POMRB,5.19,5.2,5.9,12.95,6.7749999999999995,7.029999999999992,6.4087744720634685,5.815010551127728,6.389712551736524,4.564131989078496,5.0075,5.605,5.3300904438548375,5.43730522471705,5.733479508119064,5.844073066001921,6.4275,6.595000000000001,5.978270810650235,5.5530711168306714,5.96380860100337,5.248105073877911,9.743333333333334,10.163749999999999,10.79029975502749,9.17633842828726,10.12409688411802,9.770004535503443
2006-05-31,PREMON,8.74,5.64,7.575,9.586666666666666,6.303125,7.029999999999992,7.341264683238082,7.34061455545464,9.349349827838083,6.493610275904386,4.52,5.3125,5.454054266312902,5.5151338756957715,7.531308523399786,6.9868936565907305,6.4643749999999995,6.417500000000001,6.6169624863901415,5.826883893437033,8.239698163709118,8.112968207548539,9.050416666666667,10.099166666666665,10.308846519683161,9.214819829346514,12.256930195771133,11.512419952279837
2006-08-31,MONSOON,5.65,2.49,6.63,5.713333333333334,6.345,6.519999999999992,6.66475880994285,6.322499468543642,5.866804964758871,4.08037408614651,4.3100000000000005,4.702500000000001,4.268432559787741,3.568001460842843,3.7668871704292193,3.7005792857993676,6.549375,6.437500000000001,6.622177491834085,5.923884582444372,5.256387014620817,5.924730443471997,8.09375,9.387499999999998,8.47064124514323,8.932388894483344,8.03236483369254,8.639264920806543
2006-11-30,POMKH,4.765,4.02,5.86,6.603333333333333,6.501250000000001,6.086249999999992,5.904855285965709,5.100741527833178,5.865572886331837,3.589969199916462,4.64125,4.3375,4.169059535872645,3.3996903229921087,3.883256831919986,3.9519526826705307,6.416874999999999,6.491250000000001,6.317306495100452,5.895427743583401,5.849155033174163,5.2959223465904275,7.700833333333333,8.713333333333331,7.723718080419271,8.745998100431104,8.530481761761118,6.915461027605467
2007-02-28,POMRB,7.26,4.98,6.365,7.993333333333332,6.14375,6.603749999999992,6.446913171579425,6.124087995041404,5.926413220850152,4.101278828319611,4.803750000000001,4.282500000000001,4.493435721523587,4.117732710693454,4.885506320350662,4.647346812774976,5.46875,6.607500000000002,6.336383897060271,5.944062266931894,6.238084227347278,5.85979417407942,7.682083333333333,7.474166666666664,7.831564181584896,8.688839481700576,9.127595112644991,8.24381925452163
2007-05-31,PREMON,7.92,8.51,6.05,11.4,5.671875,6.398749999999991,7.036147902947655,7.434374510108137,9.261453766594487,4.534818238688285,4.492500000000001,5.0,6.100061432914153,7.625226444985099,6.850249098132693,6.058002376628414,4.325,6.226250000000001,6.221830338236162,5.940051996864747,8.59372216950114,7.904543681822092,7.5600000000000005,7.927499999999998,9.258938508950937,8.915829508443554,10.25842931724263,9.072265037538282
2007-08-31,MONSOON,3.61,0.92,0.57,3.75,5.086250000000001,5.888749999999991,5.665688741768593,5.301564291986809,5.670420258302055,3.767686660676372,4.28,4.6075,4.028036859748491,4.3934013816201665,4.0296907970917974,3.5970703802904023,3.643125,4.7112500000000015,3.961098202941697,5.145652460943382,4.824726863960019,4.7817179305274315,7.434166666666667,7.436666666666665,7.055363105370562,8.49669582411478,6.99833250068909,6.564351921259749
2007-11-30,POMKH,3.03,3.1,2.77,7.59,4.615,5.454999999999991,4.611413245061155,3.6011001523056065,5.395987456722636,2.970136558718868,4.081250000000001,4.3775,3.656822115849095,3.4868197088016077,3.6589056640611037,3.9038369097203063,3.35375,3.9387500000000015,3.484658921765018,4.786042959430352,3.0640936249874944,2.0859462052838635,6.828749999999999,7.683333333333332,7.269217863222337,8.42676933527134,7.261318115502068,7.257550082972609
2008-02-29,POMRB,4.31,4.2,4.0,6.0,4.512499999999999,4.7174999999999905,4.490847947036693,3.5032887851845733,5.2693091820556415,3.3507038640200015,4.046250000000001,4.1825,3.8740932695094568,3.6891902574255515,4.476253366533457,4.336549171062493,3.4637499999999997,3.3475000000000015,3.690795353059011,4.657044799769483,3.3255175665539873,4.264635899931225,6.3308333333333335,7.184999999999999,6.761530717933403,8.232096486338063,8.429200618435974,7.573419404411413
