Date,Season,Dabra,Bhitarwar,Bhander,Ghatigaon,Morar,Dabra_Trend,Dabra_SMA,Dabra_EWMA,Dabra_DES,Dabra_TES,Dabra_ARIMA,Bhitarwar_Trend,Bhitarwar_SMA,Bhitarwar_EWMA,Bhitarwar_DES,Bhitarwar_TES,Bhitarwar_ARIMA,Bhander_Trend,Bhander_SMA,Bhander_EWMA,Bhander_DES,Bhander_TES,Bhander_ARIMA,Ghatigaon_Trend,Ghatigaon_SMA,Ghatigaon_EWMA,Ghatigaon_DES,Ghatigaon_TES,Ghatigaon_ARIMA,Morar_Trend,Morar_SMA,Morar_EWMA,Morar_DES,Morar_TES,Morar_ARIMA
2006-11-30,POMKH,12.4575,8.91,14.795,14.511111111111116,21.32,12.551354166666666,12.449166666666667,12.17062346883663,13.115663452104075,11.571709417869148,11.554518232758262,11.136875,10.153749999999999,9.771864214571934,9.59043953530736,9.347375924468274,9.446976399861853,14.825,12.274999999999999,12.92198763355034,11.73437493405691,11.424724178277732,11.157635022705847,12.726666666666667,13.234340277777779,13.140669322612624,12.393490048342636,11.605388097044537,12.48643469381311,19.041083333333336,18.81600000000001,18.752404885006918,18.34668524381726,17.03344295093885,17.159759269700483
2007-02-28,POMRB,12.85,12.59,16.634999999999998,11.864999999999998,20.405,12.575,12.725833333333334,12.442374081301978,13.254954947325116,12.000142150521164,12.133674269881146,11.322500000000002,11.0,10.899118528743161,10.386449925334476,10.066037533189387,9.922821583660141,14.899999999999999,14.693749999999996,14.407192580130204,12.987246540124449,13.35360828903625,13.149362122001051,11.955034722222223,12.966979166666667,12.630401593567573,12.341088257803603,14.491898602523921,14.568814401678816,20.092666666666666,18.86725000000001,19.413442931004152,18.932097339883413,19.2779430711047,19.2725574851334
2007-05-31,PREMON,12.9175,12.055,14.96,11.06375,20.206666666666667,13.187187499999999,12.376875000000002,12.632424448781187,13.37240637865279,15.07719239964233,14.393170773452745,11.64875,11.27375,11.361471117245896,10.833579999892,13.060057359741563,12.19473498981432,14.66625,14.956249999999997,14.628315548078124,13.52976123357693,16.649261990004714,16.547725808941994,10.783040674603173,12.486354166666667,12.003740956140543,12.148529981293384,15.078728546646587,14.59971198490343,21.095416666666665,19.214916666666674,19.730732425269156,19.32127082958059,20.833961090667046,20.414612868595988
2007-08-31,MONSOON,12.8675,11.93,12.985,8.254999999999999,21.95,13.734687500000001,12.773125000000002,12.726454669268712,13.444889282683913,10.678292645899234,11.56606264305693,11.775,11.37125,11.588882670347537,11.130835242053784,9.987292200392226,10.337179602095686,14.374375,14.843749999999996,13.970989328846873,13.45900928204522,11.682495510717594,12.251537348877626,10.032366071428571,11.423715277777777,10.504244573684325,11.467632936747764,9.133780125939527,9.57551271604426,21.39229166666667,20.970416666666676,20.618439455161493,20.0544401482586,17.861390385439393,18.89283960746826
2007-11-30,POMKH,15.77,11.13,13.375,9.385714285714286,22.32,14.8284375,13.601250000000004,13.943872801561227,14.110535169128715,12.316839966367343,12.3090896613181,11.651875,11.92625,11.405329602208523,11.140173131706828,10.426778268402442,11.057358435175507,14.456875,14.488749999999996,13.732593597308124,13.500628336769948,13.92887926111165,13.978119889882482,10.07595982142857,10.142366071428569,10.05683245849631,11.114448513158004,10.402582864862955,11.087100798563112,22.008333333333333,21.22041666666668,21.299063673096896,20.69830408421765,20.78665733398293,21.086410484647416
2008-02-29,POMRB,13.9175,11.38,15.72,10.985,21.78,15.789687500000001,13.868125000000004,13.933323680936736,14.320324877292437,13.435973277706992,13.699606168368614,11.28625,11.623750000000001,11.395197761325115,11.212724225683743,11.915593956614476,11.930209725809886,13.91,14.259999999999996,14.527556158384874,14.105836026891362,14.483005332436393,14.59213966744511,10.528095238095238,9.92236607142857,10.428099475097785,11.119066600849393,12.048658165428119,12.054667227874207,22.4125,21.56416666666668,21.491438203858138,21.04489865345272,21.717088866662657,22.411400075205545
2008-05-31,PREMON,20.6,12.28,16.535,12.2925,23.76,15.459375000000001,15.788750000000004,16.59999420856204,15.93652867141573,16.413931235086856,14.795915209292486,10.72375,11.680000000000001,11.74911865679507,11.502650852082652,13.479412681994981,12.89627157606659,12.674999999999997,14.653749999999997,15.330533695030924,14.765153414330019,17.06244083818019,16.892564495106107,11.073700396825396,10.229553571428571,11.173859685058671,11.365266574768658,13.129829267890027,13.478352984482974,22.378750000000004,22.452500000000015,22.398862922314883,21.805992859555303,22.693330883328436,22.257572012816134
2008-08-31,MONSOON,12.875,8.78,7.035,10.643333333333334,21.63000000000001,15.0384375,15.790625000000004,15.109996525137225,15.772568479195217,13.722234512059917,14.814343465318785,10.43,10.892500000000002,10.561471194077042,10.797476467989663,10.772541573946924,11.967483824885326,11.401250000000001,13.166249999999998,12.012320217018555,12.942593840896295,12.502697765241628,13.150526119933055,11.496666666666666,10.826636904761905,10.961649144368536,11.262419622474328,8.189744071031996,9.266071997795795,22.325750000000006,22.372500000000016,22.091317753388935,21.83827291878722,20.902942394531088,21.148186692125115
2008-11-30,POMKH,13.12,9.78,9.445,11.36222222222222,22.37,14.242500000000001,15.128125000000004,14.313997915082336,15.597001719951038,14.543886487418376,15.459139491074083,10.19875,10.555000000000001,10.248882716446225,10.539527233531771,9.847608080983065,10.100061664850648,10.943750000000001,12.183749999999998,10.985392130211133,12.146880466429332,12.37726139600922,12.447655236136582,11.97670138888889,11.320763888888889,11.12187837551001,11.310547002169239,10.512336939948659,11.471315518108677,22.084000000000003,22.38500000000002,22.20279065203336,22.04973162068787,22.399354038144047,23.551407804377
2009-02-28,POMRB,13.2,10.38,9.46,12.392222222222221,21.306,13.427109374999999,14.948750000000004,13.868398749049401,15.39011115030657,14.350945740851799,14.737667690823077,10.077499999999999,10.305000000000001,10.301329629867734,10.506680068064272,10.925739964565526,11.538544541836975,11.400000000000002,10.618749999999999,10.37523527812668,11.54578844813483,12.09816352695005,12.335847174373505,11.352291666666666,11.672569444444445,11.630015914194894,11.541211369984204,12.748732989840185,12.573872901730361,21.5215,22.26650000000002,21.84407439122002,21.93922285421104,22.627458247574076,23.384549692453596
