Date,Season,Silonijan,Silonijan_Trend,Silonijan_SMA,Silonijan_EWMA,Silonijan_DES,Silonijan_TES,Silonijan_ARIMA
2016-05-31,PREMON,6.305263157894737,4.161393914473685,3.923454678362571,4.6530101400008546,4.245147283382488,5.040368717815719,4.7308085316294965
2016-08-31,MONSOON,3.2188888888888894,4.634506761695906,4.022843567251461,4.079361639556068,3.9948166314898597,3.387935422163866,3.4420190705570337
2016-11-30,POMKH,4.605625000000002,4.844583241959064,4.299944261695905,4.289866983733642,4.116034808504726,4.447196537191789,4.322569065317051
2017-02-28,POMRB,5.7464999999999975,4.990652777777778,4.969069261695904,4.872520190240184,4.529467854628067,5.254468023511011,5.359693205211959
2017-05-31,PREMON,5.309375000000001,5.254602430555556,4.72009722222222,5.047262114144111,4.803907616760733,5.041658873386491,4.8851400700923815
2017-08-31,MONSOON,5.383333333333334,5.114831086601307,5.261208333333331,5.181690601819801,5.068547218811991,3.3880394959177083,3.4196031492996477
2017-11-30,POMKH,4.552777777777779,4.864243770424837,5.247996527777774,4.930125472202992,5.080588453654283,4.448115126650159,4.349855375975722
2018-02-28,POMRB,4.681176470588235,4.3326552287581706,4.981665645424833,4.830545871557089,5.100181698036872,5.255582609450151,5.396840367086146
2018-05-31,PREMON,4.37,3.992594464869281,4.746821895424834,4.6463275229342536,5.01706230994248,5.0423325824846845,4.926013085988437
2018-08-31,MONSOON,2.07,,3.9184885620915004,3.615796513760552,4.343284511906588,3.3895414338637835,3.6113390402777186
2018-11-30,POMKH,5.145625,,4.066700367647055,4.227727908256331,,4.447491751984061,4.369139579380714
