Date,Season,Bijapur,Asur,Bhopal Patnam,Bheramgarh,Bijapur_Trend,Bijapur_SMA,Bijapur_EWMA,Bijapur_DES,Bijapur_TES,Bijapur_ARIMA,Asur_Trend,Asur_SMA,Asur_EWMA,Asur_DES,Asur_TES,Asur_ARIMA,Bhopal Patnam_Trend,Bhopal Patnam_SMA,Bhopal Patnam_EWMA,Bhopal Patnam_DES,Bhopal Patnam_TES,Bhopal Patnam_ARIMA,Bheramgarh_Trend,Bheramgarh_SMA,Bheramgarh_EWMA,Bheramgarh_DES,Bheramgarh_TES,Bheramgarh_ARIMA
2003-11-30,POMKH,7.0233333333333325,2.4916666666666667,3.426,2.7966666666666664,9.144166666666667,6.840833333333332,7.251408444838407,7.161737590774684,5.808060635799383,7.28036498621074,3.4965625000000005,3.4965624999999996,2.919189387490816,2.9094961815937785,2.4922874768549774,2.5200146030812434,4.47275,4.619000000000001,3.8216658083026753,3.922217544497011,3.5719064509028557,3.6565867974846467,3.935416666666667,4.124999999999999,3.270574222119963,4.2563701184791745,2.8206453128994067,3.0318264288941004
2004-02-29,POMRB,13.203333333333333,4.147916666666667,5.1850000000000005,5.0725,10.11875,8.450416666666666,9.632178400236377,8.33673036812304,7.370892397475317,6.740304524751389,3.4965625000000005,3.4965624999999996,3.4106802991611564,3.466125399910287,4.206463034748124,4.1267758308257925,4.5387916666666674,4.5415,4.366999484981605,4.471700790764835,5.3931871271472005,5.352868260703198,4.020625,3.8993749999999996,3.9913445332719775,4.417509399126418,4.971372856577143,4.8442639108523045
2004-05-31,PREMON,10.03,6.030000000000001,7.905,7.016666666666668,10.668273809523809,9.837916666666665,9.791307040141826,8.699750016431373,10.991896661876076,10.206961275347876,3.4965625000000005,3.4965624999999996,4.458408179496695,5.194490535176103,6.021702286263704,6.038984124106414,4.673583333333333,4.404000000000001,5.782199690988963,6.749589639425346,8.191596577738487,8.11120801661738,4.073680555555556,3.971458333333333,5.2014733866298535,4.920201473475902,7.47728576670648,7.532402967912041
2004-08-31,MONSOON,11.341666666666667,1.3166666666666669,2.178333333333333,1.393333333333333,10.592485119047621,10.399583333333332,10.411450890751762,9.243210974272701,9.81325006144802,8.106615611014945,3.4965625000000005,3.4965624999999996,3.201711574364684,3.5314446467917713,1.3006204503267993,1.312848724624689,4.673583333333333,4.673583333333333,4.3406531479267105,4.842684589162173,1.0915697004053841,1.745509629750913,4.190381944444445,4.069791666666666,3.6782173653112453,4.40554961761522,1.5491420226344483,1.2431439898301269
2004-11-30,POMKH,9.172857142857145,2.4916666666666667,3.426,2.827777777777777,9.991755952380954,10.936964285714286,9.916013391593916,9.279194490358327,8.61857305879603,8.646869286695335,3.4965625000000005,3.4965624999999996,2.9176936112854768,2.907232678737047,2.4922471076246047,2.520104076411197,4.665726190476191,4.673583333333333,3.9747918887560263,4.040846271901502,3.5598358741160103,3.3701429747931493,4.368373015873016,4.0775694444444435,3.3380415302978577,4.151907324512195,2.8222323433168093,2.970361480071607
2005-02-28,POMRB,10.447500000000002,4.147916666666667,5.1850000000000005,5.975,9.33686011904762,10.248005952380954,10.12860803495635,9.5484497767024,9.95833050863013,8.969427943196761,3.4965625000000005,3.4965624999999996,3.409782833437953,3.466813334779492,4.206458299256977,4.127225162952587,4.657869047619048,4.673583333333333,4.458875133253616,4.519934723221839,5.364942931868399,5.190121621940629,4.457584325396825,4.303194444444443,4.3928249181787145,4.460522462846891,4.9729851583114755,4.8417771621247665
2005-05-31,PREMON,7.979999999999999,6.030000000000001,7.842142857142856,7.538095238095237,8.48702380952381,9.735505952380953,9.26916482097381,9.304160079285339,11.776056196178672,9.373963765252409,3.4965625000000005,3.4965624999999996,4.457869700062773,5.197680846834162,6.021701730763068,6.038793173492043,4.657869047619048,4.657869047619047,5.812182222809312,6.6860789185237115,8.14279669637278,7.902922338173954,4.481617063492063,4.433551587301586,5.650933046145323,5.043218521566401,7.4796812301189135,7.786512160433415
2005-08-31,MONSOON,8.1525,1.3166666666666669,2.178333333333333,1.5855952380952378,7.797118055555555,8.938214285714285,8.822498892584285,9.136997349797374,9.640920817956584,7.944067565237857,3.4965625000000005,3.4965624999999996,3.2013884867043303,3.5350238882011262,1.3006203851569866,1.3129298720320395,4.657869047619048,4.657869047619046,4.358642667018921,4.7623253766427895,1.702864863384196,2.064461073702253,4.351213417658729,4.481617063492061,4.0247979229252895,4.5472533632094265,1.5519892101943946,1.224987623555347
2005-11-30,POMKH,5.5633333333333335,2.4916666666666667,3.426,2.827777777777777,7.663263888888888,8.035833333333331,7.5188326688839044,8.513192790198614,7.428103831969408,7.558340085479856,3.4965625000000005,3.4965624999999996,2.9174997586892646,2.9102302524167514,2.4922470999727024,2.493254675154617,4.657869047619047,4.657869047619046,3.9855856002113526,3.9692754765929594,3.492967553516717,3.437727041806922,4.2208097718253965,4.481617063492061,3.545989864866285,4.276645087556903,2.8252449615438398,3.05444056493299
2006-02-28,POMRB,8.537777777777778,4.147916666666667,5.1850000000000005,4.931770833333333,7.933506944444445,7.558402777777775,7.926410712441454,8.563153564164372,7.951464556158887,7.693030106927708,3.4965625000000005,3.4965624999999996,3.409666521880226,3.4689793538090643,4.206458298352171,4.14724181797832,4.657869047619048,4.657869047619046,4.465351360126812,4.465307203778041,5.284995178323145,5.203577967329637,4.2208097718253965,4.220809771825394,4.100302252253105,4.3831376845861945,4.975995986664571,4.93473107424134
