Date,Season,Kalol,Gandhinagar,Mansa,Dehgam,Kalol_Trend,Kalol_SMA,Kalol_EWMA,Kalol_DES,Kalol_TES,Kalol_ARIMA,Gandhinagar_Trend,Gandhinagar_SMA,Gandhinagar_EWMA,Gandhinagar_DES,Gandhinagar_TES,Gandhinagar_ARIMA,Mansa_Trend,Mansa_SMA,Mansa_EWMA,Mansa_DES,Mansa_TES,Mansa_ARIMA,Dehgam_Trend,Dehgam_SMA,Dehgam_EWMA,Dehgam_DES,Dehgam_TES,Dehgam_ARIMA
2005-05-31,PREMON,59.685,38.76666666666667,8.25,40.49,53.04475,42.53999999999998,54.16843919479003,78.19769315387693,61.6928567686033,52.91786037919979,31.055833333333336,25.454999999999984,31.646161826813305,51.057586471827975,29.81908533920933,32.74315506592322,22.350625,7.151249999999999,7.278945086588719,7.921854161804574,8.202292580779286,7.069000342782447,39.01125,30.000000000000004,34.329945100453145,31.030530961151925,33.79271899657929,21.595391451219736
2005-08-31,MONSOON,46.55399999999999,35.06,47.973333333333336,36.35,50.934375,54.09849999999997,51.12266351687401,59.833268626822715,51.854907606244595,54.34442584063091,33.935,31.202499999999986,33.011697096087985,46.57844727475849,5.850040964827379,47.036888753663625,35.37666666666667,17.420833333333334,23.556700385286565,34.562826472788906,20.711461743979548,7.4879558193491205,45.032500000000006,32.417500000000004,35.13796706027189,31.10631683427913,31.369781763761615,13.593853276152261
2005-11-30,POMKH,46.68,35.85,46.18333333333334,63.9,48.376125,51.99099999999997,49.345598110124406,48.31351653774369,59.60451857618237,53.17755321766144,41.47625,30.90916666666665,34.14701825765279,39.56028668514868,34.40652933572061,39.81239622935374,48.59291666666666,27.280416666666667,32.607353564505274,53.28130277991997,25.81796236252314,24.097372076505117,44.088125,45.605000000000004,46.642780236163134,31.182352096594165,27.406395819584972,16.372062903389704
2006-02-28,POMRB,46.592,38.16666666666666,71.485,37.1,46.511,49.87774999999996,48.24415886607464,43.68253513704575,55.15688562394986,44.759449538162905,49.044666666666664,36.96083333333331,35.75487762125834,39.04850389883257,19.148530083271353,42.12684805188305,53.566250000000004,43.47291666666667,48.15841213870317,83.78965048151069,31.011297029991397,33.28701043231919,39.9875,44.46,42.82566814169788,31.25851010235464,31.71372995048325,34.19429419480176
2006-05-31,PREMON,47.672,74.89,49.21,37.515,45.86425,46.87449999999996,48.01529531964478,44.33346200777391,57.816265182318126,44.812759437364306,56.68954166666666,45.99166666666664,51.40892657275501,107.49068037666805,42.417792968692574,41.74361879665093,50.95468749999999,53.71291666666667,48.5790472832219,90.26046074029419,53.042191593053595,49.27754172377355,32.785,43.71625,40.70140088501873,31.334854871655143,34.136687884285884,2.090529596195375
2006-08-31,MONSOON,43.646,59.483999999999995,46.8,6.52,45.552499999999995,46.147499999999965,46.26757719178687,41.84288210607719,46.515169894626126,45.09786715853519,64.36958333333334,52.09766666666664,54.638955943653,80.15692446284369,38.77287288082468,57.45274738828996,40.422916666666666,53.41958333333334,47.86742836993314,91.07436496914613,63.79574134137664,59.95777540062265,29.216874999999998,36.258750000000006,27.028840531011237,31.411313317205238,31.713750651242137,25.486373629503877
2006-11-30,POMKH,44.41400000000001,72.585,26.46416666666667,36.11,45.38975000000001,45.58099999999997,45.526146315072126,42.47154511260793,54.70207302465066,44.51940080704881,65.78,61.28141666666664,61.8173735661918,80.41151342851045,52.72883983132468,47.16942907961615,29.796041666666667,48.489791666666676,39.30612368862655,76.5635667131992,48.87607007464597,54.061322969604845,29.15,29.31125000000001,30.661304318606746,31.48802756898424,27.75036470501017,-13.645485146515822
2007-02-28,POMRB,46.364,62.87200000000002,6.95,36.345,47.781000000000006,45.52399999999997,45.861287789043274,45.53139615499136,50.7285442345044,42.16921262409229,62.19862500000001,67.45774999999998,62.239224139715084,62.347522358385746,55.602119453862045,57.50594910191897,27.309375000000003,32.35604166666667,26.36367421317593,52.934915359591365,34.71307274034129,49.3435662852839,35.82625,29.12250000000001,32.93478259116405,31.56492951984122,32.05769883399207,35.796918630155126
2007-05-31,PREMON,46.598,61.468,28.73,37.735,51.5519375,45.25549999999998,46.155972673425964,47.254692670531014,54.14325869207524,43.281020914952734,58.543625000000006,64.10224999999998,61.93073448382905,57.23956931583783,87.74668223575642,51.27162105778898,34.16739583333334,27.236041666666665,27.310204527905558,48.48496928072583,25.867439881755637,26.297628480954888,42.6925,29.177500000000006,34.85486955469843,31.64202233197982,34.48065676771985,0.39432082998018464
2007-08-31,MONSOON,63.85,44.255,47.38666666666667,59.71,55.233125,50.30649999999997,53.23358360405558,67.4944989025106,43.309535011431024,44.61111540259784,57.784083333333335,60.29499999999999,54.86044069029742,37.45686217579269,65.87960836295571,53.88486361327034,48.354375000000005,27.38270833333333,35.34078938341,55.58482899249774,39.65030458001796,32.25627917064239,43.225625,42.475,44.79692173281906,31.719354668441074,32.05771953466766,26.86500292194478
