Date,Season,Baidhan,Deosar,Baidhan_Trend,Baidhan_SMA,Baidhan_EWMA,Baidhan_DES,Baidhan_TES,Baidhan_ARIMA,Deosar_Trend,Deosar_SMA,Deosar_EWMA,Deosar_DES,Deosar_TES,Deosar_ARIMA
2004-02-29,POMRB,4.21,6.42,5.2179166666666665,5.855000000000002,5.096779606892895,5.693576605157526,5.73016731652232,5.026052495487248,7.730625000000001,7.760625000000001,7.232970276290853,7.547017625524362,9.312785214788544,8.604838293415888
2004-05-31,PREMON,6.916666666666668,10.625,5.48,5.169166666666669,5.824734430802405,5.960046780921334,6.548214947594143,7.210700616165324,7.98,7.693750000000001,8.589782165774512,8.220039476172419,11.85387564072647,10.090359659629394
2004-08-31,MONSOON,6.18,7.5375,5.9312499999999995,5.266666666666669,5.966840658481443,6.016517649700675,4.250337558149777,4.399807394881121,8.467500000000001,7.767500000000002,8.168869299464706,7.942727908547436,8.481151392021674,8.07029095384981
2004-11-30,POMKH,5.466666666666666,8.1875,6.3133333333333335,5.693333333333335,5.766771061755533,5.911579282588507,5.818600397952517,5.465389915094795,8.751875,8.1925,8.176321579678824,7.90571976409027,7.242842191201689,6.878148997962386
2005-02-28,POMRB,6.113333333333332,8.62,6.44375,6.169166666666668,5.905395970386653,5.964147959346789,6.035306642513424,5.648210968279711,8.6,8.7425,8.353792947807294,8.024367292772078,8.9591852231235,8.507603288236657
2005-05-31,PREMON,8.07,10.7,6.465416666666666,6.4575000000000005,6.771237582231992,6.41629273270682,7.616457305948429,8.01002907433948,8.464375,8.76125,9.292275768684377,8.784846265882017,11.890203305430076,11.061416349168528
2005-08-31,MONSOON,6.07,6.2475,6.654583333333333,6.430000000000001,6.4907425493391955,6.35475394658532,5.359209016125748,5.686083031269787,8.51625,8.43875,8.074365461210625,8.131728996971743,8.539184005719413,8.099059561803188
2005-11-30,POMKH,5.75,8.3925,6.801666666666667,6.500833333333334,6.1944455296035175,6.2388826830212425,6.345487128022754,5.4445963039155725,8.555625,8.49,8.201619276726376,8.173562584121122,7.3593588459631905,7.020083792929668
2006-02-28,POMRB,7.343333333333334,8.83,6.616250000000001,6.8083333333333345,6.654000651095444,6.481406568017571,6.4459019001295195,5.954245561388085,8.725,8.5425,8.452971566035824,8.350516692358362,8.925634044533538,8.705224523405573
2006-05-31,PREMON,8.016666666666667,10.805,6.355,6.795000000000002,7.1990670573239335,6.814735572631952,8.418300585174821,8.588617394303697,8.7321875,8.568750000000001,9.393782939621495,9.120956926760353,11.768081772220848,11.019189137535726
2006-08-31,MONSOON,4.6400000000000015,7.4975,6.128750000000001,6.437500000000002,6.175440234394361,6.370274598344709,5.752723981575258,5.863856808907446,8.681562499999998,8.881250000000001,8.635269763772897,8.803196568964639,8.302264795590396,7.6645367733951755
2006-11-30,POMKH,5.09,7.2,5.952916666666668,6.272500000000002,5.741264140636616,6.11270411458633,5.868313183432054,4.82135833828655,8.75875,8.583125000000003,8.061161858263738,8.396421410752264,7.5998740359203225,8.045135218308218
2007-02-28,POMRB,6.1933333333333325,9.617499999999998,6.172083333333333,5.985000000000001,5.9220918177153035,6.1402088569907045,5.88143247312032,6.042530195371016,9.104999999999999,8.780000000000003,8.683697114958242,8.749488360984996,8.902085509949448,8.428081715648233
2007-05-31,PREMON,7.7600000000000025,10.635,6.8029166666666665,5.920833333333334,6.657255090629183,6.490681681737858,7.574252987384981,7.698740253654174,9.946562499999999,8.737500000000002,9.464218268974946,9.385102422684636,11.712939533559842,11.232435713360912
2007-08-31,MONSOON,6.65,10.4375,7.427083333333333,6.423333333333334,6.65435305437751,6.535350353204161,5.189138058069032,5.398316329663737,10.658125,9.472500000000002,9.853530961384967,9.891728482036038,8.241495875514754,7.7118915180152126
2007-11-30,POMKH,8.126666666666667,10.9925,7.696666666666666,7.1825,7.243278499293172,6.88053354922868,6.533558809651225,5.9963668602315,11.0303125,10.420625000000001,10.30911857683098,10.492033409286886,7.858571204899715,8.928783806654351
2008-02-29,POMRB,8.15,11.517499999999998,7.651666666666667,7.671666666666668,7.605967099575903,7.158789682899638,7.678980296574455,7.685301739988351,10.82125,10.895625,10.792471146098586,11.157085635484155,9.630316473167536,10.342151186140688
