Date,Season,Barkot,Tileibani,Barkot_Trend,Barkot_SMA,Barkot_EWMA,Barkot_DES,Barkot_TES,Barkot_ARIMA,Tileibani_Trend,Tileibani_SMA,Tileibani_EWMA,Tileibani_DES,Tileibani_TES,Tileibani_ARIMA
2001-05-31,PREMON,5.28,6.85,3.2975,3.3324999999999987,4.137408167214376,3.7278850090262865,5.348125135826052,5.390555951536448,3.7993749999999995,4.070000000000001,5.013165165791108,4.949152741241904,6.260916420263918,6.395596902100726
2001-08-31,MONSOON,1.2,1.01,3.2624999999999997,3.3324999999999987,2.9624449003286255,3.4406154285485346,1.2841904751776685,1.242096745103665,3.7456249999999995,3.9475000000000016,3.4118990994746645,4.338699637561207,1.5033573109591485,1.1799709990197107
2001-11-30,POMKH,2.43,2.615,3.2625,3.2624999999999984,2.749466940197175,3.353140914257994,2.682677894154651,2.7068934845743,3.819375,3.651250000000002,3.0931394596847985,4.079552440873059,3.0663030496767107,3.1835605385311303
2002-02-28,POMRB,4.14,4.885,3.2624999999999997,3.2624999999999984,3.305680164118305,3.5507195258378785,4.137373471455878,4.18967488898963,3.8904166666666664,3.8400000000000025,3.809883675810879,4.327128523277225,4.834387652550545,3.9982369148600068
2002-05-31,PREMON,5.28,6.6850000000000005,3.3324999999999996,3.2624999999999984,4.095408098470983,3.935507267869537,5.292399907430193,5.381427242119863,4.192083333333334,3.7987500000000023,4.959930205486527,4.970893957137316,6.26091642052534,6.3909535974915945
2002-08-31,MONSOON,1.2,1.7433333333333334,3.4025,3.2624999999999984,2.9372448590825897,3.6006570806312257,1.2194457180663019,1.2386207770703321,4.543333333333334,3.982083333333336,3.6732914566252495,4.448120870549872,1.5033573112149123,1.4279169026353362
2002-11-30,POMKH,2.99,4.295,3.4025,3.402499999999998,2.958346915449554,3.564279270922465,2.505278625110131,2.4730666710432834,4.733958333333334,4.402083333333335,3.9219748739751497,4.4965863628074985,3.066303049932696,3.224191478288366
2003-02-28,POMRB,4.14,6.0150000000000015,3.4025000000000003,3.402499999999998,3.4310081492697324,3.717082918213409,4.174728793167816,4.185885962457971,4.683541666666668,4.684583333333336,4.7591849243850906,4.9219448429933115,4.834387652809159,4.780085094122401
2003-05-31,PREMON,5.28,7.08,3.3799999999999994,3.402499999999998,4.170604889561839,4.05684687258926,5.318666309381662,5.373690931550932,4.355625,4.783333333333335,5.687510954631055,5.567448706484342,6.26091642078591,6.807150875065296
2003-08-31,MONSOON,1.2,0.945,3.5225,3.402499999999998,2.9823629337371034,3.6822703710888205,1.240594499234339,1.2356749972227796,4.0575,4.583750000000002,3.7905065727786327,4.771946897859162,1.5033573114745207,1.2590097259782091
2003-11-30,POMKH,2.81,2.47,3.4837499999999997,3.3574999999999977,2.913417760242262,3.579681104595301,2.8712986868695167,2.9344224076128715,3.938125,4.127500000000001,3.2623039436671797,4.331064369357273,3.0663030501974697,3.2869313671363494
2004-02-29,POMRB,5.46,5.455,3.2800000000000002,3.6874999999999973,3.932050656145357,3.9273816788193305,4.156111325982652,4.182634002302156,3.9274999999999998,3.9875000000000007,4.139382366200308,4.572445561210155,4.834387653073676,5.1253814546827865
2004-05-31,PREMON,3.65,6.685,3.30375,3.2799999999999967,3.819230393687214,3.9528211912904547,5.371030727893524,5.367051010319166,4.12625,3.8887500000000004,5.157629419720184,5.082873497436813,6.2609164210485355,6.565664004506021
2004-08-31,MONSOON,1.2,1.255,3.3275,3.2799999999999967,2.7715382362123284,3.5548626372421017,1.2016567151043143,1.2331466930680277,4.314375,3.9662500000000005,3.59657765183211,4.349100282102668,1.5033573117299448,1.4593583444534977
2004-11-30,POMKH,3.0,3.75,3.3274999999999997,3.3274999999999966,2.862922941727397,3.467782092819912,2.8189141540784224,2.7899851668627056,4.365,4.286250000000001,3.657946591099266,4.200028986552667,3.0663030504526967,3.368579382611495
2005-02-28,POMRB,5.46,5.68,3.3611111111111116,3.327499999999996,3.9017537650364384,3.8007120223105284,5.04990320673807,5.261714341468188,4.434375,4.342500000000001,4.466767954659559,4.493000760163764,4.834387653335267,5.315913066746839
2005-05-31,PREMON,3.65,6.865,3.3959722222222224,3.3274999999999957,3.801052259021863,3.8159352312587225,4.144959547993592,4.0253048593180205,4.32,4.387500000000002,5.426060772795736,5.0463424485534185,6.260916421309101,6.861894226663803
2005-08-31,MONSOON,1.4688888888888894,1.63,3.397222222222222,3.394722222222218,2.8681869109686735,3.4591583596231397,1.2167940262882961,1.230952986616301,4.126250000000001,4.481250000000002,3.907636463677442,4.397183039309141,1.5033573119869956,0.949708763433105
2005-11-30,POMKH,3.01,2.46,3.397222222222222,3.3972222222222186,2.924912146581204,3.371850180140919,2.9734064014381185,2.9470380921814536,4.045208333333333,4.158750000000002,3.328581878206465,3.9636084626252117,3.066303050714621,2.8466222198148525
2006-02-28,POMRB,5.46,5.42,3.3736111111111113,3.3972222222222186,3.9389472879487224,3.704090387105694,5.354047409674832,5.274022950871098,3.8879166666666674,4.093750000000002,4.165149126923879,4.215548766204406,4.834387653598034,5.011050953813502
2006-05-31,PREMON,3.65,6.476666666666668,3.375,3.397222222222218,3.823368372769233,3.7207451017634643,3.813567674917495,4.002007758788592,3.7610416666666673,3.9966666666666684,5.0897561428209945,4.703011899116666,6.260916421570604,6.477186360281941
2006-08-31,MONSOON,1.28,0.76,3.3125,3.3499999999999956,2.8060210236615397,3.3368889900369103,1.4146276847273138,1.4483147813709794,3.7075,3.7791666666666686,3.3578536856925965,3.9012952616424457,1.5033573122460018,1.7696829376924479
2006-11-30,POMKH,3.21,2.315,3.3724999999999996,3.3999999999999955,2.967612614196924,3.2904027450210465,3.003006542438399,2.9584808704011274,3.7025,3.7429166666666687,2.940712211415558,3.4960712706915538,3.0663030509697933,3.4280824927807787
2007-02-28,POMRB,4.76,5.136666666666667,3.5449999999999995,3.224999999999995,3.6845675685181543,3.51022085392194,5.440113052670942,5.28489304167464,3.7841666666666667,3.6720833333333354,3.8190939935160015,3.749801136308257,4.834387653859436,5.358752544383271
2007-05-31,PREMON,4.829999999999999,6.72,3.5700000000000003,3.5199999999999947,4.142740541110892,3.73832680441802,3.6717157895544195,3.9814334120102894,3.798958333333333,3.7329166666666684,4.979456396109601,4.3633340071241395,6.260916421830073,6.757277133422822
2007-08-31,MONSOON,1.48,1.17,3.5699999999999994,3.569999999999995,3.0776443246665353,3.3935399723434387,1.363672839107256,1.2961604070181165,3.8275,3.8354166666666685,3.4556738376657603,3.717646523260669,1.5033573125004578,0.815374363617748
2007-11-30,POMKH,3.21,2.023333333333333,3.7437499999999995,3.569999999999995,3.1305865947999214,3.349631963759142,3.201221560250022,3.1238699848789877,3.7449999999999997,3.7625000000000015,2.8827376359327896,3.3036292761600365,3.0663030512242093,2.0591637166642207
2008-02-29,POMRB,4.76,5.656666666666666,3.8925,3.5699999999999945,3.7823519568799524,3.5709155061838627,5.022597879392954,4.728498485592718,3.6487499999999997,3.892500000000001,3.9923092482263405,3.7285308290087054,4.834387654119358,4.7958754636907415
2008-05-31,PREMON,6.22,5.54,3.8925,3.917499999999995,4.757411174127972,4.039267528600956,4.536856895908803,4.917353675717586,3.855833333333333,3.597500000000001,4.611385548935804,4.119668297170638,6.260916422090816,6.403992346790106
2008-08-31,MONSOON,1.28,1.58,3.8299999999999996,3.8674999999999953,3.366446704476783,3.6524090431985896,1.5478001257092107,1.4570006752048137,4.107708333333333,3.700000000000001,3.3988313293614825,3.6108816788711153,1.5033573127570552,1.3921100728644655
2008-11-30,POMKH,3.41,3.27,3.5425,3.917499999999995,3.3838680226860696,3.6298035766433,3.294763397648963,3.128626300971039,4.4075,4.011666666666668,3.3472987976168893,3.50306608150172,3.0663030514770995,3.047872514776115
2009-02-28,POMRB,4.06,6.425,3.3925,3.742499999999995,3.6543208136116414,3.7156971314022225,4.939576483580971,4.73014708993312,4.559583333333333,4.203750000000001,4.578379278570134,4.116947214311117,4.8343876543820015,5.4453926156109205
2009-05-31,PREMON,4.62,7.17,3.4425,3.342499999999995,4.040592488166985,3.8924748979527997,5.754466489209916,6.032809412161703,4.555833333333334,4.611250000000002,5.61502756714208,4.889820596716588,6.260916422345396,6.280133723548925
2009-08-31,MONSOON,1.68,1.1666666666666667,3.4425,3.442499999999995,3.0963554929001913,3.5642008508457748,1.2762537476748381,1.2970493154934322,4.413541666666667,4.507916666666668,3.835683206951915,4.255847403148556,1.5033573130158082,1.2799172883277279
2009-11-30,POMKH,3.41,3.6533333333333338,3.5425000000000004,3.4424999999999946,3.221813295740115,3.534860637082336,3.3164979705904463,3.294039932047303,4.118333333333333,4.603750000000002,3.7627432575044826,4.184585866108492,3.0663030517365146,2.5357272585500943
2010-02-28,POMRB,4.06,4.903333333333333,3.6174999999999997,3.4424999999999946,3.557087977444069,3.6166782396380426,4.27530177030836,4.16940999890966,4.077500000000001,4.2233333333333345,4.218979287836023,4.388766973059481,4.834387654648667,5.553245103521641
2010-05-31,PREMON,5.42,6.330000000000001,3.5590624999999996,3.642499999999994,4.3022527864664415,3.928294754507558,4.948392765206819,4.757040644068391,4.237500000000001,4.013333333333335,5.063387572701614,4.903722285497338,6.260916422608495,6.521750101047126
2010-08-31,MONSOON,1.48,1.68,3.515416666666667,3.592499999999994,3.173351671879865,3.5633602369826076,1.6092613939725,1.6174709823433724,4.418541666666667,4.141666666666668,3.7100325436209682,4.3348628418432416,1.5033573132723936,1.4141259319813482
2010-11-30,POMKH,3.1425,4.42,3.5633333333333335,3.5256249999999936,3.161011003127919,3.4873074398846473,3.409790821176383,3.299806978230161,4.465000000000001,4.333333333333335,3.994019526172581,4.389012252074626,3.06630305199793,3.8972824923223404
2011-02-28,POMRB,3.9783333333333335,5.585,3.6195833333333334,3.5052083333333277,3.487939935210085,3.5556683454555533,4.137929746574804,4.164226327281918,4.431666666666667,4.503750000000002,4.6304117157035485,4.697928510256738,4.834387654907378,5.188813320448693
2011-05-31,PREMON,5.885,6.0200000000000005,3.528020833333333,3.621458333333328,4.4467639611260505,3.948573896747987,5.283709950534892,5.391203336965873,4.253333333333334,4.426250000000001,5.1862470294221295,5.086273976504556,6.260916422867208,6.7907100315532904
2011-08-31,MONSOON,1.465,1.7233333333333334,3.4127083333333337,3.617708333333328,3.25405837667563,3.5814902385531533,1.5404073185694367,1.4602696425580965,3.9706249999999996,4.437083333333335,3.801081550986611,4.477187080309961,1.5033573135316667,1.3159437426251102
2011-11-30,POMKH,2.425,2.95,3.501458333333333,3.4383333333333277,2.9224350260053775,3.3856407190985514,3.2496039782553114,3.090808578623488,3.78625,4.069583333333334,3.4606489305919665,4.160257029723916,3.066303052263356,3.256022698970143
2012-02-29,POMRB,3.773333333333333,4.793333333333334,3.6295833333333327,3.3870833333333272,3.2627943489365596,3.424715637676331,4.020826932998768,4.094286113137529,3.7173567708333333,3.871666666666667,3.9937226916885136,4.269846041319322,4.834387655169646,5.056538245971626
2012-05-31,PREMON,6.799999999999999,5.336666666666666,3.699583333333333,3.615833333333327,4.677676609361935,3.9828325956180626,5.681075649614833,5.763891148888451,3.7063802083333335,3.7008333333333336,4.5309002816797745,4.4993259965748855,6.260916423124291,5.920606694129328
2012-08-31,MONSOON,1.575,1.8555208333333333,3.7712499999999998,3.6433333333333273,3.436605965617161,3.6391389716565454,1.5019329537144723,1.4491820150790335,3.5776302083333333,3.733880208333334,3.4607485023411977,3.947858133131008,1.5033573137911573,1.7244033679224873
2012-11-30,POMKH,2.875,2.73,3.8304166666666664,3.755833333333327,3.2119635793702965,3.5204966349398545,2.7066666065072806,2.520095664912903,3.470546875,3.678880208333334,3.1684491014047187,3.62773796388534,3.0663030525210893,3.600909650228502
2013-02-28,POMRB,3.896666666666667,3.983333333333334,3.833541666666667,3.786666666666661,3.4858448142888445,3.577414114666684,3.9280980636877363,3.9259397008007393,3.5296484375,3.4763802083333344,3.494402794176165,3.615257651883421,4.834387655427772,5.177691200057035
2013-05-31,PREMON,7.15,5.29,3.680416666666667,3.8741666666666617,4.951506888573308,4.1922498472810235,6.538319838151605,6.49813298608709,3.439583333333333,3.4647135416666677,4.212641676505699,3.907212740103879,6.2609164233777985,6.2038092062667385
2013-08-31,MONSOON,1.25,2.375,3.5370833333333334,3.7929166666666623,3.4709041331439843,3.784870084352229,1.6191680729655111,1.5375059920544378,3.2647916666666665,3.5945833333333344,3.4775850059034195,3.5508673168330764,1.5033573140513363,1.4499033129139658
2013-11-30,POMKH,1.975,1.49,3.41875,3.5679166666666626,2.8725424798863903,3.505659556813512,2.866859833704111,2.874504545141546,3.1703571428571427,3.2845833333333343,2.6825510035420517,3.0410968654928134,3.0663030527776707,2.369652671516745
2014-02-28,POMRB,3.65,3.8249999999999993,3.412499999999999,3.5062499999999956,3.183525487931834,3.5164675022560345,3.893924442227978,4.01764963976611,3.0043080357142857,3.245000000000001,3.1395306021252307,3.090792068130266,4.83438765568166,4.222606589541222
2014-05-31,PREMON,6.4499999999999975,4.692857142857143,3.6781249999999996,3.331249999999995,4.4901152927591,4.006342600297498,6.930512585809202,6.788881101063723,3.168058035714286,3.095714285714287,3.7608612184179955,3.347253227361699,6.260916423631059,5.494161349368201
2014-08-31,MONSOON,1.9,1.6437499999999998,4.021874999999999,3.493749999999995,3.4540691756554596,3.7099519492701107,1.277268487281774,1.2807100267663638,3.5068080357142852,2.912901785714287,2.914016731050797,2.9360631441996006,1.503357314314226,2.0658440986260254
2014-11-30,POMKH,3.45,3.53125,4.215625,3.862499999999995,3.452441505393276,3.679006243898012,2.2167805638334994,2.1590902683476565,3.6904017857142857,3.423214285714287,3.1609100386304783,2.975713904823781,3.066303053027763,2.777217923133595
2015-02-28,POMRB,4.925,4.49375,4.137499999999999,4.181249999999995,4.0414649032359655,3.897799270729752,3.8021508613010977,3.817155306186965,3.752901785714286,3.5904017857142874,3.694046023178287,3.2400965043566448,4.834387655934722,4.569321860981557
2015-05-31,PREMON,6.725,5.492857142857144,4.028125,4.2499999999999964,5.114878941941579,4.421006612397658,6.755718661670592,6.247972899416446,3.730245535714286,3.7904017857142875,4.41357047104983,3.7283295299518424,6.260916423881204,5.787603945538992
2015-08-31,MONSOON,1.0,1.3437500000000002,4.046875,4.024999999999997,3.468927365164947,3.949923303029787,1.8891681503891595,1.795116461136862,3.7583705357142865,3.7154017857142874,3.1856422826298982,3.2664067152145515,1.5033573145733024,1.4361848396437258
2015-11-30,POMKH,3.475,3.65,4.125625000000001,4.031249999999997,3.471356419098968,3.9009580037529257,3.1707890494566433,3.32183989024743,3.898325892857143,3.745089285714287,3.371385369577939,3.336235222866907,3.0663030532885354,2.685236163673685
2016-02-29,POMRB,5.050000000000002,4.6,4.304375,4.062499999999997,4.1028138514593815,4.11742815931661,4.6331527662897285,4.820235324107046,4.12765625,3.7716517857142864,3.862831221746763,3.618157805508291,4.834387656191283,4.443931005382743
2016-05-31,PREMON,7.23,6.5062500000000005,4.357500000000001,4.188749999999997,5.353688310875629,4.703543258508794,6.759726704643995,6.473444627531279,4.2284375,4.025,4.920198733048059,4.329532352446126,6.260916424135532,5.5235533692337455
2016-08-31,MONSOON,1.925,2.165,4.3100000000000005,4.419999999999997,3.9822129865253775,4.360569091889737,1.3330194637235273,1.0865577778873297,4.2556875000000005,4.2303125,3.8181192398288353,4.013575439794684,1.5033573148308133,1.5069649249969121
2016-11-30,POMKH,2.975,3.6349999999999993,4.37125,4.294999999999997,3.579327791915227,4.1911182455350975,3.514060142304028,3.3465436592486273,4.32678125,4.2265625,3.744871543897301,4.019120440121915,3.0663030535499343,3.935507719010167
2017-02-28,POMRB,5.17,4.833,4.42375,4.324999999999997,4.215596675149136,4.392288701291766,5.011712779989222,4.922893571684894,4.282152777777777,4.284812499999999,4.180122926338381,4.282578758503158,4.834387656448406,4.953423978786891
2017-05-31,PREMON,7.6,6.841999999999999,4.331250000000001,4.417499999999996,5.569358005089482,5.0052938781476515,7.163121075578255,6.881848579363496,4.0365972222222215,4.368749999999999,5.244873755803028,4.9910387007153885,6.2609164243951625,6.675287618206681
2017-08-31,MONSOON,1.975,1.4722222222222223,4.153124999999999,4.429999999999996,4.131614803053689,4.632291649100489,1.819725256693725,1.814428474219562,3.8043472222222214,4.195555555555554,3.7358131423707057,4.428433635525097,1.5033573150926203,1.6904618622597791
2017-11-30,POMKH,2.185,2.3633333333333333,4.050625,4.2324999999999955,3.3529688818322136,4.290923018997338,3.204495228625997,2.956113536564885,3.710071180555555,3.8776388888888875,3.1868212187557567,4.064028121620592,3.066303053811253,2.8258214858557946
2018-02-28,POMRB,4.535,4.246666666666666,3.9068750000000003,4.073749999999995,3.8257813290993283,4.350272240258475,5.1532502013836226,5.022100433239095,3.651170138888889,3.7310555555555545,3.6107593979201207,4.127312383527011,4.834387656706741,4.628246507054996
2018-05-31,PREMON,7.415,6.674125,3.8356250000000003,4.0274999999999945,5.261468797459598,4.899639722066213,7.4515075478470365,7.186179081999008,3.692732638888889,3.6890868055555543,4.8361056387520724,4.737194739208239,6.26091642465654,6.286515005324683
2018-08-31,MONSOON,1.01,1.1688888888888889,,3.786249999999995,3.5608812784757586,4.3425441106663705,1.8863116599708079,1.8578148927032796,,3.6132534722222207,3.369218938806799,4.076004641823092,1.5033573153507982,1.6269460652986119
2018-11-30,POMKH,2.58,2.9991666666666665,,3.884999999999995,3.168528767085455,,2.405929935059497,2.3334530484119145,,3.7722118055555542,3.221198029950746,,3.0663030540659184,3.2612767793502244
