Date,Season,Shahpur,Shorapur,Yadgir,Shahpur_Trend,Shahpur_SMA,Shahpur_EWMA,Shahpur_DES,Shahpur_TES,Shahpur_ARIMA,Shorapur_Trend,Shorapur_SMA,Shorapur_EWMA,Shorapur_DES,Shorapur_TES,Shorapur_ARIMA,Yadgir_Trend,Yadgir_SMA,Yadgir_EWMA,Yadgir_DES,Yadgir_TES,Yadgir_ARIMA
2001-05-31,PREMON,7.495714285714286,5.1971428571428575,8.655000000000001,5.799791666666668,5.649571886446887,6.142485502454845,6.130235230210186,7.017467423037931,7.002222508278639,4.375089285714286,3.8550000000000013,4.328408788688941,3.8966527588382784,5.294321409545475,5.42497276975159,7.491618055555556,6.637187499999998,7.290262875895252,7.012039864905085,8.485793017924916,8.69664418924002
2001-08-31,MONSOON,5.282857142857141,4.92,9.19375,5.91453869047619,5.745863095238095,5.798634158615763,6.002130492462207,5.023823498572544,5.009558312445007,4.564821428571428,4.2475000000000005,4.565045273213364,4.026479019689261,4.1328321666206005,4.023950495397461,7.7423680555555565,7.377187499999998,8.05165772553715,7.419043104511698,6.550978592073104,6.577616353257971
2001-11-30,POMKH,5.577142857142858,4.086428571428572,6.520999999999999,5.917678571428572,5.853720238095239,5.710037638026601,5.965071287450568,4.923209954409333,5.224031008974264,4.619821428571429,4.5026785714285715,4.373598592499447,4.02511804219279,3.5645854164861883,3.3464499028366737,7.957281249999999,7.606048611111109,7.43939463532229,7.250152707967496,6.568860961363869,7.017721867633268
2002-02-28,POMRB,5.545714285714285,4.304285714285714,7.145000000000001,5.8584821428571425,5.975357142857144,5.644308297101675,5.887714201537837,5.76302158576341,5.162974797373042,4.505892857142857,4.626964285714286,4.345873441213954,4.057833185891173,4.12264582766299,4.456486088801524,7.81259375,7.878687499999998,7.321636781193375,7.229536059581465,7.883736682465764,6.7043191880050585
2002-05-31,PREMON,7.034285714285714,5.139999999999999,9.28375,5.818928571428571,5.860000000000001,6.200299263975291,6.43060788457714,7.35309184972557,7.5519615107715055,4.336636904761905,4.612678571428571,4.663524064728373,4.216739045160873,5.396127588996348,5.544851078336132,7.573651785714286,8.035874999999997,8.106482068716025,7.612671901352227,9.496949082268992,9.34372012747622
2002-08-31,MONSOON,5.270714285714285,4.065714285714286,7.4075000000000015,5.801607142857142,5.856964285714287,5.828465272670888,6.128424086330571,5.131567302408218,5.024945121963976,4.191041666666666,4.399107142857142,4.424400153122738,4.204376578614928,4.223915763964277,4.187861129740569,7.637209821428573,7.589312499999997,7.826889241229615,7.573306280451802,7.38434544509767,7.4173696956628845
2002-11-30,POMKH,5.272857142857141,3.5866666666666664,6.395714285714287,5.724841269841269,5.780892857142858,5.606222020745389,5.837820456623524,4.996677685293875,5.476738420352756,3.9815416666666668,4.274166666666666,4.089306758540309,4.119058460581191,3.5918951131960446,3.2041548366841806,7.875998883928572,7.557991071428567,7.254419259023484,7.352126613347232,6.1843088057738775,5.834612847597539
2003-02-28,POMRB,5.711428571428571,3.639285714285714,7.77875,5.672792658730157,5.822321428571429,5.648304641018662,5.765031841124639,5.72848810336538,5.324080555097201,3.9268273809523806,4.107916666666665,3.909298340838471,4.045787281845433,4.114399671728091,4.251082432095673,8.204006696428571,7.716428571428567,7.464151555414091,7.430925899700392,7.619723347871937,6.579635590800226
2003-05-31,PREMON,6.254444444444442,4.129,10.560312499999998,5.818387896825396,5.62736111111111,5.890760562388974,5.935573575868188,7.375810000697761,6.97172845788032,4.066859307359307,3.855166666666666,3.9971790045030824,4.050897173004283,5.343577314155685,5.234677184265008,8.631417410714286,8.035569196428568,8.702615933248454,8.015066697408663,9.650326187476326,9.33359889658501
2003-08-31,MONSOON,5.634166666666667,4.6389999999999985,8.755,5.943194444444444,5.7182242063492055,5.7881230041000515,5.82679818200634,4.924830522904152,4.870328953773296,4.1846948051948045,3.998488095238094,4.253907402701849,4.133822283165385,4.106709193660127,3.814830390281393,9.241588541666667,8.37244419642857,8.723569559949073,8.15236004406852,8.059916794548137,9.10640662706463
