Date,Season,Nohar,Bhadra,Hanumangarh,Nohar_Trend,Nohar_SMA,Nohar_EWMA,Nohar_DES,Nohar_TES,Nohar_ARIMA,Bhadra_Trend,Bhadra_SMA,Bhadra_EWMA,Bhadra_DES,Bhadra_TES,Bhadra_ARIMA,Hanumangarh_Trend,Hanumangarh_SMA,Hanumangarh_EWMA,Hanumangarh_DES,Hanumangarh_TES,Hanumangarh_ARIMA
2004-05-31,PREMON,32.78008012820513,16.712500000000002,15.95162878787879,30.827967678155183,32.168107829670326,32.77083011910073,30.307342526602007,31.67208892771894,31.902338321701297,16.468822916666667,16.817989583333336,17.252273951662207,16.167834204874783,18.210950760957825,17.638777145556237,17.18777139241384,18.623160885167472,18.23341469645264,18.480452242532653,17.21239192772841,21.446548428589505
2004-08-31,MONSOON,29.385619047619052,14.183833333333334,16.459090909090907,29.471352080211457,31.330732829670332,31.41674569050806,28.905637420355117,29.839177193188753,30.132513315515883,16.166765625,16.56861458333334,16.02489770433066,16.107988496785385,16.227569069902327,16.299061553764247,16.073557886502325,17.62566088516747,17.523685181507947,17.719005902224524,19.624177039682007,18.25594119308076
2004-11-30,POMKH,28.862878787878785,17.269166666666667,16.634005270092228,27.56509578442391,30.325202526640027,30.39519892945635,27.849222922004827,29.14357490694818,27.570041644712234,15.772937500000001,16.369031250000006,16.522605289265062,16.048364417240712,17.06788513248494,17.10573727033936,15.101196941526247,16.749881899660224,17.16781321694166,17.19064320783468,18.479666525465618,17.54842488545855
2005-02-28,POMRB,23.44142857142857,15.6925,12.544210526315787,25.782969696969698,28.61750163378288,27.613690786245236,24.837110027222643,28.56358093727189,26.603931328526627,15.428895833333334,15.964500000000005,16.19056317355904,15.988960985532739,17.31152731078353,17.380198816407514,14.436807736980793,15.397233873344437,15.318372140691311,15.722608565195532,16.69829093224326,16.297255921990647
2005-05-31,PREMON,24.36083333333333,15.18,13.583333333333336,24.57788961038961,26.512689935064927,26.31254780508047,23.25095726154351,25.741691971240208,25.151780721892578,15.024958333333334,15.581375000000001,15.786337904135422,15.929777421519551,17.113341922865295,16.73163513360675,13.643125260037445,14.805160009708072,14.62435661774812,14.883845342305499,12.857001451107312,14.002838275498721
2005-08-31,MONSOON,23.547857142857147,12.964,13.512272727272727,24.11610119047619,25.053249458874447,25.206671540191138,22.049364610167192,22.54795735523737,25.24756639474091,15.012562500000001,15.276416666666668,14.657402742481255,15.870812852760595,15.02284120839715,15.2313220731682,13.3697687400319,14.068455464253528,14.179523061557962,14.237239660864208,15.379052305221013,14.788441169279555
2005-11-30,POMKH,25.06,15.2575,13.231363636363636,24.206587683150182,24.10252976190475,25.148002924114685,22.196398853637266,21.8631112242,24.60552502129101,15.256625,14.773500000000002,14.897441645488755,15.812066623723984,15.843207863307642,16.262681800002696,13.555473484848486,13.21779505582138,13.80025929148023,13.683373372718133,14.592862811462304,14.58347160789142
2006-02-28,POMRB,23.55,17.604999999999997,13.760000000000002,24.795520604395605,24.129672619047607,24.508801754468813,21.94057449453512,21.798125246366524,24.326915224433925,15.342062499999999,15.251625000000002,15.980464987293253,15.75353792806949,15.904085050472297,16.09591839159486,13.550170454545457,13.521742424242435,13.784155574888139,13.412408304291386,12.513342760059661,12.88787854206003
2006-05-31,PREMON,24.97615384615385,15.22,13.85318181818182,25.18924300699301,24.283502747252736,24.695742591142825,22.65615352866904,21.565472774567038,23.42391159175083,15.3690625,15.261625000000004,15.676278992375952,15.695225797822912,16.386725706490314,16.525998270614117,13.600422430830042,13.589204545454555,13.81176607220561,13.243406068555828,10.673622618790986,14.095463481794853
2006-08-31,MONSOON,27.644,13.6075,13.2,25.111676719114218,25.30753846153845,25.875045554685695,24.70543837900026,20.613890335427385,23.425000233569314,15.22825,15.422500000000003,14.848767395425572,15.63712945792261,14.44894279495914,14.627821826713786,13.781867588932808,13.511136363636371,13.567059643323365,12.956488158107552,13.541255040881719,13.613578272339653
2006-11-30,POMKH,24.113636363636363,14.83,13.945652173913045,25.07890938228438,25.07094755244754,25.17048187826596,24.70459195605882,22.96135405668875,24.04912423663002,15.104624999999999,15.315625000000002,14.841260437255343,15.579248207109968,15.51946677301399,15.981957989571441,13.843085474308301,13.689708498023723,13.718496655559237,12.945470752825972,13.27499611990005,13.310527593624176
2007-02-28,POMRB,23.87583333333333,16.906,14.497272727272728,24.344287878787878,25.152405885780873,24.65262246029291,24.515452069807807,23.18163756868827,23.949046288640393,15.171687499999999,15.140875000000003,15.667156262353204,15.521581278573809,15.555689296205053,15.785387024275485,13.890513833992095,13.874026679841904,14.030007084244634,13.094461288353918,12.15275981671676,14.269888241483434
2007-05-31,PREMON,24.38818181818182,14.93,13.605652173913045,23.784640151515152,25.005412878787865,24.546846203448474,24.55904721594385,23.654340285452058,24.95852885439788,15.321250000000001,15.068375000000003,15.372293757411924,15.464127739629985,15.961300114172044,15.920541352217136,13.966245059288537,13.81214426877471,13.860265120111997,12.986406599725418,10.963320336529078,13.967594013543223
2007-08-31,MONSOON,22.355,14.434000000000001,13.82695652173913,23.762471590909094,23.68316287878787,23.670107722069083,23.595729563249254,22.873470956535833,25.814630294374666,15.08925,15.275000000000002,14.996976254447155,15.406886851304865,14.047887927389384,14.144849583311148,13.888404150197628,13.968883399209492,13.84694168076285,12.973038107628021,13.360268630689419,13.76315054301447
2007-11-30,POMKH,24.925454545454546,15.2,13.92454545454545,23.604053030303028,23.886117424242414,24.17224645142327,24.05085228566254,22.77657593069492,25.58499946171693,14.7400625,15.367500000000003,15.078185752668293,15.349857869862657,15.373502852358392,15.821877956246542,13.890592885375492,13.963606719367593,13.877983190275891,12.999352592481152,13.558823385557863,14.175471742705136
2008-02-29,POMRB,22.88666666666667,14.68,13.895652173913044,23.898314393939394,23.63882575757575,23.65801453752063,23.479351413955097,23.48010431026311,25.718981428545586,14.6355,14.811000000000002,14.918911451600975,15.293039966688998,15.518576327009288,15.751885307461178,13.999088308716454,13.813201581027673,13.885050783730751,13.022351720340907,12.685377833537462,14.007964036759148
2008-05-31,PREMON,24.11,14.3625,14.22478260869565,24.160984848484844,23.569280303030293,23.838808722512375,23.62255551609876,23.710525492963036,24.32965696462194,14.498125,14.669125000000003,14.696346870960586,15.236432367429618,15.46426431425192,15.029989162052138,13.929683769700933,13.967984189723325,14.02094351371671,13.136662517321344,11.331824942072759,13.753936767212917
2008-08-31,MONSOON,24.987272727272725,14.165,14.075789473684216,24.11503787878788,24.227348484848473,24.298194324416514,24.198584899073936,22.8527633051999,23.537874986229248,14.421249999999999,14.601875000000003,14.48380812257635,15.180034297759194,13.530843348675553,13.684744857477027,13.810254304238859,14.030192427709595,14.042881897703712,13.19465992748719,13.62500137872701,14.024376329876103
2008-11-30,POMKH,24.39454545454545,14.37,13.12047619047619,23.950454545454548,24.0946212121212,24.336734776468088,24.3859797231666,24.008640835453537,22.76185678258486,14.56875,14.394375000000004,14.438284873545811,15.123844995934437,14.903395088791296,15.37349763370626,13.742298170698486,13.82917511169228,13.673919614812704,12.99605499336513,13.908283503235356,13.913422209293374
2009-02-28,POMRB,23.05,14.895,13.744285714285715,23.498295454545456,24.135454545454532,23.82204086588085,23.86379930135409,24.183717329294986,22.22535573469866,14.7209375,14.448125000000003,14.620970924127487,15.067863700194335,14.967979359705009,15.123220305550422,13.636005069491912,13.791333496785446,13.702066054601907,13.016194804410977,12.914911351185399,13.716708925488922
2009-05-31,PREMON,22.63000000000001,15.3275,13.8325,23.120047348484853,23.765454545454535,23.345224519528514,23.227137623455434,24.455120900900575,22.190198990019876,14.7575,14.689375000000002,14.903582554476491,15.012089637410758,15.069393867266974,14.705562754940113,13.777062770562772,13.693262844611535,13.754239632761145,13.063215894088003,11.741081575723374,13.95789308347909
