Date,Season,Model Town,Narela,Saraswati Vihar,Model Town_Trend,Model Town_SMA,Model Town_EWMA,Model Town_DES,Model Town_TES,Model Town_ARIMA,Narela_Trend,Narela_SMA,Narela_EWMA,Narela_DES,Narela_TES,Narela_ARIMA,Saraswati Vihar_Trend,Saraswati Vihar_SMA,Saraswati Vihar_EWMA,Saraswati Vihar_DES,Saraswati Vihar_TES,Saraswati Vihar_ARIMA
2004-05-31,PREMON,2.89,4.457272727272726,7.577142857142856,2.5025,2.0650000000000004,2.386087961007518,2.510724823961927,2.412499803392234,2.316443404137126,4.0454823232323225,3.678272727272728,4.0374836614294765,4.324496396894586,5.024061586079169,4.352848665538226,6.821473214285714,6.963571428571425,7.329615064012243,7.257345363246894,7.396291377926001,7.3208928004509035
2004-08-31,MONSOON,2.6,4.7989999999999995,6.328571428571429,2.7731250000000003,2.3600000000000003,2.4716527766045107,2.5967485991321984,2.0204744538918438,2.0357890514671717,4.246782828282828,4.147022727272728,4.342090196857686,4.461360500535228,4.255579440321104,4.183796126983768,6.737767857142857,6.918214285714283,6.929197609835918,6.815037793342031,6.64112072822058,7.22567092073743
2004-11-30,POMKH,3.14,2.802222222222221,6.1975,2.95875,2.6450000000000005,2.7389916659627067,2.9132592673924367,2.8261793325434015,2.558982468633776,4.734744058229352,3.9439419191919196,3.7261430070035004,4.255469982965526,4.233206010648665,4.025001346251221,6.685848214285714,6.72473214285714,6.636518565901551,6.515168024346412,6.543898584637972,6.581821027062326
2005-02-28,POMRB,2.975,6.14,6.9,3.1037500000000002,2.9012500000000006,2.8333949995776244,2.9919579941563743,3.4503137291336325,3.2435830202725953,5.093371732026143,4.549623737373738,4.6916858042021,4.619143217254903,4.1195187789137515,3.8911803256917317,6.6027901785714285,6.750803571428569,6.741911139540931,6.670766806495571,6.7430472050495815,6.840674329609356
2005-05-31,PREMON,3.35,5.938235294117646,7.0575,3.191875,3.0162500000000003,3.0400369997465746,3.2214589953221977,3.454104577016221,3.416790167397224,5.627630718954248,4.919864379084967,5.190305600168319,4.8965415883997245,5.481526700015758,4.917287274544282,6.55828125,6.620892857142855,6.868146683724559,6.826775709240512,7.198794561279669,7.228057445371881
2005-08-31,MONSOON,3.3,6.187058823529411,6.18375,3.20625,3.1912500000000006,3.144022199847945,3.31366510440256,2.590207546380299,2.6750504210088013,5.920808823529412,5.266879084967321,5.589006889512756,5.173186604859567,4.918042493169381,4.259400625827039,6.492291666666667,6.584687499999998,6.594388010234736,6.515312490627263,6.245510620375981,6.506708398840413
2005-11-30,POMKH,3.145,5.688235294117647,5.98625,3.2681249999999995,3.1925000000000003,3.144413319908767,3.2826321856667784,3.5016014888359055,3.295165202615866,5.8936029411764705,5.988382352941177,5.628698251354713,5.328417432161936,5.040999788800155,4.658653845018463,6.393020833333333,6.531874999999998,6.351132806140842,6.256439173638143,6.302518435836593,6.372865794205452
2006-02-28,POMRB,3.085,5.599411764705882,6.583333333333332,3.3266666666666667,3.22,3.12064799194526,3.2364756087249273,3.5818042558677363,3.3562044928603405,5.923823529411764,5.853235294117647,5.61698365669518,5.446386100253593,5.343562421758911,5.531080596113771,6.325642361111111,6.452708333333332,6.444013017017838,6.386513644314559,6.520196487647119,6.518646297498524
2006-05-31,PREMON,3.735,6.261176470588237,6.58,3.4589583333333334,3.3162500000000006,3.366388795167156,3.540856515761881,3.5681592598518073,3.5249331575116067,5.984338235294118,5.933970588235295,5.874660782252403,5.653840099445342,6.352129407935042,5.842142792161415,6.362031249999999,6.333333333333331,6.498407810210702,6.45570671939573,6.9182489349091165,6.903492265175662
2006-08-31,MONSOON,3.3833333333333333,6.105882352941173,6.122222222222222,3.758541666666667,3.337083333333334,3.373166610433627,3.5191536638313257,2.9240874959636227,3.0682797561162296,6.117279411764705,5.913676470588235,5.967149410527911,5.805585763945539,5.678953203706685,6.1353037454841255,6.408333333333333,6.317951388888887,6.34793357501531,6.285705614756357,5.843842042739818,6.045725914672878
2006-11-30,POMKH,4.12,6.253529411764706,6.338888888888889,4.121875,3.5808333333333344,3.671899966260176,3.8797809289592404,3.632206188270363,3.41405320210928,6.209897875816993,6.055,6.08170141102263,5.958782273384313,5.633247514454775,5.147239883009113,6.356024305555556,6.406111111111109,6.344315700564742,6.291561007745214,6.110029561917522,6.222959505860264
2007-02-28,POMRB,4.506666666666667,6.0976470588235285,6.601111111111113,4.4245833333333335,3.936250000000001,4.005806646422773,4.259433376194528,4.397489697617821,4.133543044195244,6.504501633986927,6.179558823529412,6.088079670142989,6.0641844883353695,5.930411564913621,6.878884524603574,6.321193576388889,6.410555555555553,6.4470338647832905,6.41366750533569,6.6629501485468206,6.657827800674377
2007-05-31,PREMON,5.22,6.503888888888889,6.14375,4.612916666666666,4.307500000000001,4.491483987853664,4.813661862627083,4.875493660275826,4.83945305065507,7.0995751633986925,6.240236928104575,6.2544033576413485,6.2196508093470255,6.921229940876199,6.725949613977376,6.31994357638889,6.301493055555554,6.325720318869974,6.272617613729047,6.984144958527174,6.8113362713202275
2007-08-31,MONSOON,4.32,8.22,6.279826388888888,4.801666666666667,4.541666666666668,4.4228903927121985,4.643110312485578,4.3755668033578985,4.5456412307127385,7.556072841417268,6.768766339869282,7.040642014584809,6.629382429519464,6.182680943246464,6.758754895176893,6.262291666666667,6.34089409722222,6.30736274687754,6.257660568093531,5.600928430820453,5.741259734820428
2007-11-30,POMKH,4.69,8.899999999999997,6.171284722222223,4.935833333333333,4.684166666666668,4.52973423562732,4.742545598306549,4.66600407793929,4.519275471579602,7.773321039340775,7.430383986928105,7.784385208750884,7.088477301041531,6.459522813986773,6.897675324070928,6.341267361111111,6.298993055555554,6.252931537015413,6.200304254383702,6.113426272964003,6.355741533887103
2008-02-29,POMRB,5.446666666666666,7.103157894736844,6.307499999999999,5.029999999999999,4.919166666666667,4.896507208043058,5.175252159791478,5.054995814932412,4.833164098320009,7.59738038277512,7.681761695906434,7.511894283145268,7.189549235949139,7.121256676017173,7.2907575138726965,6.391757812500001,6.225590277777775,6.274758922209247,6.2309036683761585,6.561184782697652,6.447242350679588
2008-05-31,PREMON,5.3533333333333335,7.236363636363637,7.069166666666668,5.126666666666667,4.952500000000001,5.079237658159168,5.349572963334488,5.762194705333359,5.7560232019261335,7.0101076555023925,7.864880382775121,7.401682024432615,7.297219275945318,8.074954152708656,7.615414670313014,6.3137022569444445,6.456944444444442,6.592522019992216,6.592969598570027,6.7643983443182,6.567968387047399
