Date,Season,Kharar,Dera Bassi,Majari,Kharar_Trend,Kharar_SMA,Kharar_EWMA,Kharar_DES,Kharar_TES,Kharar_ARIMA,Dera Bassi_Trend,Dera Bassi_SMA,Dera Bassi_EWMA,Dera Bassi_DES,Dera Bassi_TES,Dera Bassi_ARIMA,Majari_Trend,Majari_SMA,Majari_EWMA,Majari_DES,Majari_TES,Majari_ARIMA
2003-11-30,POMKH,7.683333333333334,4.825,13.95,7.709583333333333,7.6778333333333375,7.69208801746659,8.092568751230752,7.427336461589056,6.7124356559133505,4.54175,4.513750000000001,4.54253502075179,4.735561897567452,5.69576436286054,4.19532549297281,14.304374999999999,14.454999999999998,14.214974855366451,14.377964059239112,15.729918760463447,15.808673057300156
2004-02-29,POMRB,7.942,4.456,14.4,7.921583333333333,7.687833333333337,7.792052810479954,8.13852810537217,7.781470697379149,8.229997861805154,4.7160625,4.5908750000000005,4.507921012451074,4.7410154268035845,5.177259416127272,4.509345180859315,14.540833333333332,14.241249999999999,14.28898491321987,14.33627537776077,15.540910901103729,14.097297484811808
2004-05-31,PREMON,8.7,5.122000000000001,15.5,8.154666666666666,7.731333333333338,8.155231686287973,8.383075614415628,8.973073744118764,8.889426941626466,4.900437500000001,4.492625,4.7535526074706445,4.885293747098015,5.023555984693715,4.4435469781752355,15.647604166666667,14.367500000000001,14.773390947931922,14.375371140188053,15.311609982224303,15.183542821886245
2004-08-31,MONSOON,8.122000000000002,5.355,15.006666666666668,8.187458333333334,8.111833333333339,8.141939011772784,8.401445577228051,7.765684499882429,7.591937100157887,4.940875,4.939500000000001,4.994131564482387,5.0501637468237774,4.327022430227353,4.679014927224157,16.581041666666668,14.714166666666669,14.866701235425822,14.381898516091818,13.858756450613207,13.81711012090734
2004-11-30,POMKH,8.026,4.5125,21.4175,8.079916666666668,8.197500000000005,8.09556340706367,8.388197301691818,7.990647017745671,8.899943653729204,5.2016875,4.861375000000001,4.801478938689432,5.00566528837044,6.11880045791742,4.84932690100187,16.581041666666664,16.581041666666668,17.487020741255492,14.84418861992855,14.65710363092309,14.690933215540635
2005-02-28,POMRB,7.861666666666667,5.0920000000000005,14.4,7.727479166666668,8.177416666666671,8.002004710904869,8.332773445594322,8.249220692967501,7.686934671972898,5.4558125,5.0203750000000005,4.917687363213659,5.0916375851489475,5.427397155453423,4.655988837010317,16.581041666666668,16.581041666666668,16.252212444753294,14.80818129820905,15.943320142473517,18.58974345938043
2005-05-31,PREMON,7.92,6.5725000000000025,15.5,7.256791666666666,7.982416666666672,7.969202826542921,8.30839512253662,9.156748529534807,8.452968428717888,5.698,5.383000000000001,5.579612417928196,5.471702071913886,5.364396207361475,4.829936170154045,16.581041666666668,16.581041666666668,15.951327466851975,14.850589378155158,16.75355507298442,12.890355166624284
2005-08-31,MONSOON,6.0825000000000005,5.9375,15.006666666666668,6.947916666666667,7.472541666666672,7.214521695925752,7.779342876990493,7.780723964890099,7.170307845518237,6.039312500000001,5.528625000000001,5.722767450756917,5.643698175008372,4.9287041700016685,5.400362226542976,16.581041666666668,16.58104166666667,15.57346314677785,14.85812976494909,15.922449404537549,16.63212326619118
2005-11-30,POMKH,6.3,5.8675,21.4175,6.925416666666667,7.041041666666671,6.8487130175554505,7.45223795201228,7.250886886517762,7.0763676215318245,6.316875,5.867375000000001,5.78066047045415,5.76719277034138,6.715973253413786,5.4132178584831365,16.581041666666664,16.58104166666667,17.91107788806671,15.320163791488893,21.069124682713902,20.40505986901096
2006-02-28,POMRB,7.116666666666667,6.4675,14.4,7.189166666666667,6.85479166666667,6.955894477199937,7.4397787192621845,7.083228670266237,6.972449701105836,6.4703125,6.2112500000000015,6.05539628227249,5.992453172157709,6.202708153095476,5.4938362486167005,16.581041666666668,16.58104166666667,16.506646732840025,15.281760658969732,14.864741107364738,15.0306135882908
2006-05-31,PREMON,8.485,7.4175,15.5,7.3547916666666655,6.99604166666667,7.567536686319962,7.81131984387049,7.927922654467001,7.730984917248755,6.590104166666667,6.4225,6.600237769363494,6.373001277643418,6.280790276701499,5.778630195313298,16.581041666666668,16.58104166666667,16.103988039704014,15.3199184504494,16.03184580842926,15.107212826156431
2006-08-31,MONSOON,7.627499999999999,6.32,15.006666666666668,7.204375,7.38229166666667,7.591522011791977,7.844975716362062,7.0346024580921025,7.470324584831126,6.7003125,6.518125000000001,6.488142661618097,6.448235672913702,5.828316034796228,6.249047125275638,17.300916666666666,16.58104166666667,15.665059490489075,15.321434544887907,15.55691538503157,15.251320075347852
2006-11-30,POMKH,6.080000000000001,6.4433333333333325,21.4175,6.842708333333333,7.32729166666667,6.986913207075186,7.4391203846078415,7.439049951319632,7.515507058772982,6.7101041666666665,6.662083333333335,6.470218930304192,6.534593059902672,7.494030524555242,6.099378346036134,17.99552380952381,16.58104166666667,17.966035694293446,15.776421803215197,21.775755810842455,21.265113938628353
2007-02-28,POMRB,6.133333333333334,6.7733333333333325,20.159000000000002,6.382708333333333,7.081458333333337,6.645481257578444,7.15660535246555,7.370584549007187,6.782653670084453,7.471666666666667,6.738541666666668,6.591464691515848,6.6732990445871865,6.933229774292093,6.186750070580868,17.970255952380953,18.02079166666667,18.843221416576068,16.13846493089232,14.829081507959687,14.49491595406555
2007-05-31,PREMON,6.575,7.19,15.297857142857142,6.132395833333334,6.603958333333338,6.617288754547067,7.072490411329122,7.92011491934049,7.147098962738448,8.631,6.6816666666666675,6.830878814909509,6.872271731839221,6.911482797513884,6.353624578899588,17.970255952380953,17.970255952380956,17.425075707088496,16.15026814420561,16.588669683396567,19.027960079079516
2007-08-31,MONSOON,5.8575,12.64,15.006666666666668,6.141666666666667,6.161458333333339,6.3133732527282405,6.811255057759351,6.407119026295374,6.028804053879526,9.387416666666667,8.261666666666668,9.154527288945706,8.176943832586245,6.2572780399397745,6.583518081241423,17.970255952380953,17.97025595238096,16.457712090919763,16.13690893850235,16.013953499737084,12.683315857757764
2007-11-30,POMKH,5.8475,9.398,21.4175,6.19125,6.103333333333339,6.127023951636945,6.617077423120884,5.970252058825853,5.772548128447551,10.45675,9.000333333333336,9.251916373367424,8.544247182952295,9.307765880324297,8.611549330533025,17.970255952380953,17.97025595238096,18.441627254551857,16.57525895704753,22.33837888533245,22.864634053282828
